CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
523654907126144,21961870010497,2005,2,1,122,14652.0,3.0,1,PHAR3,1,PHAR3,1,2018-03-28 11:17:59,2021-06-04 14:18:17,2,2
523654908126144,21961870010497,2005,2,1,122,14652.0,1.0,1,PHAR3,1,PHAR3,6,2018-03-28 11:17:59,2021-06-04 14:18:17,2,2
523654909126144,21961870010497,2005,2,1,122,14652.0,2.0,1,PHAR3,1,PHAR3,2,2018-03-28 11:17:59,2021-06-04 14:18:17,2,2
523654891126144,21961612010497,2005,2,1,122,1525.0,2.0,1,MADI6,1,MADI6,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654892126144,21961612010497,2005,2,1,122,1525.0,2.0,2,MADI6,1,MADI6,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654893126144,21961612010497,2005,2,1,122,1525.0,4.0,2,MADI6,1,MADI6,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654894126144,21961612010497,2005,2,1,122,1525.0,2.0,1,PHPR3,1,PHPR3,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654895126144,21961612010497,2005,2,1,122,1525.0,4.0,2,PHPR3,1,PHPR3,15,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654896126144,21961612010497,2005,2,1,122,1525.0,2.0,2,PHPR3,1,PHPR3,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654897126144,21961612010497,2005,2,1,122,1525.0,4.0,2,PLMA2,1,PLMA2,2,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654898126144,21961612010497,2005,2,1,122,1525.0,2.0,1,PLMA2,1,PLMA2,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654899126144,21961612010497,2005,2,1,122,1525.0,2.0,2,PLMA2,1,PLMA2,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654900126144,21961612010497,2005,2,1,122,1525.0,2.0,2,TAOF,1,TAOF,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654901126144,21961612010497,2005,2,1,122,1525.0,4.0,2,TAOF,1,TAOF,18,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654902126144,21961612010497,2005,2,1,122,1525.0,2.0,1,TAOF,1,TAOF,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654903126144,21961612010497,2005,2,1,122,1525.0,2.0,2,TRIFO,1,TRIFO,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654904126144,21961612010497,2005,2,1,122,1525.0,2.0,1,TRIFO,1,TRIFO,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654905126144,21961612010497,2005,2,1,122,1525.0,4.0,2,TRIFO,1,TRIFO,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654877126144,21918178010497,2006,2,1,100,55467.0,2.0,2,LEVU,1,LEVU,2,2018-03-28 11:17:58,2021-06-04 14:27:59,2,3
523654878126144,21918178010497,2006,2,1,100,55467.0,2.0,2,RARE3,1,RARE3,2,2018-03-28 11:17:58,2021-06-04 14:27:59,2,3
523654879126144,21918178010497,2006,2,1,100,55467.0,2.0,2,TAOF,1,TAOF,3,2018-03-28 11:17:58,2021-06-04 14:27:59,2,3
523654880126144,21918178010497,2006,2,1,100,55467.0,2.0,2,TRIFO,1,TRIFO,5,2018-03-28 11:17:58,2021-06-04 14:27:59,2,3
523654937126144,37332436010760,2007,2,1,280,53697.0,3.0,2,TRIFO,1,TRIFO,1,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654938126144,37332436010760,2007,2,1,280,53697.0,3.0,1,TRIFO,1,TRIFO,1,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654930126144,37329812010760,2007,2,1,20,30527.0,2.0,2,2PLANT,2,TRIFO,1,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654931126144,37329812010760,2007,2,1,20,30527.0,1.0,1,MADI6,1,MADI6,10,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654932126144,37329812010760,2007,2,1,20,30527.0,1.0,1,PLMA2,1,PLMA2,10,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654933126144,37329812010760,2007,2,1,20,30527.0,1.0,1,STME2,1,STME2,10,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654934126144,37329812010760,2007,2,1,20,30527.0,2.0,2,TAOF,1,TAOF,30,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654935126144,37329812010760,2007,2,1,20,30527.0,1.0,1,TAOF,1,TAOF,1,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654936126144,37329812010760,2007,2,1,20,30527.0,2.0,2,TRIFO,1,TRIFO,1,2018-03-28 11:17:59,2021-06-04 14:52:49,2,4
523654914126144,36218607010760,2009,2,1,282,13803.0,1.0,1,PHPR3,1,PHPR3,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654915126144,36218607010760,2009,2,1,282,13803.0,4.0,1,PHPR3,1,PHPR3,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654916126144,36218607010760,2009,2,1,282,13803.0,4.0,1,PLMA2,1,PLMA2,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654917126144,36218607010760,2009,2,1,282,13803.0,4.0,1,TAOF,1,TAOF,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654918126144,36218607010760,2009,2,1,282,13803.0,1.0,1,TAOF,1,TAOF,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654906126144,21961870010497,2005,2,1,122,14652.0,4.0,1,PHAR3,1,PHAR3,1,2018-03-28 11:17:58,2021-06-04 14:18:17,2,2
523654919126144,36218607010760,2009,2,1,282,13803.0,1.0,1,TRIFO,1,TRIFO,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654920126144,36218607010760,2009,2,1,282,13803.0,4.0,1,TRIFO,1,TRIFO,1,2018-03-28 11:17:59,2021-06-04 13:58:48,2,6
523654921126144,36222855010760,2010,2,1,280,14700.0,3.0,1,PHAR3,1,PHAR3,4,2018-03-28 11:17:59,2021-06-04 14:08:18,2,7
523654922126144,36222855010760,2010,2,1,280,14700.0,1.0,1,PHAR3,1,PHAR3,1,2018-03-28 11:17:59,2021-06-04 14:08:18,2,7
523654923126144,36222855010760,2010,2,1,280,14700.0,2.0,1,PHAR3,1,PHAR3,1,2018-03-28 11:17:59,2021-06-04 14:08:18,2,7
523654924126144,36222855010760,2010,2,1,280,14700.0,4.0,1,PHAR3,1,PHAR3,1,2018-03-28 11:17:59,2021-06-04 14:08:18,2,7
