CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1934129800290487,1559923774290487,2025,5,3,139,98.0,4.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129805290487,1559923775290487,2025,5,3,27,68.0,1.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129810290487,1559923776290487,2025,5,3,139,118.0,1.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129811290487,1559923776290487,2025,5,3,139,118.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129812290487,1559923776290487,2025,5,3,139,118.0,4.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129817290487,1559923777290487,2025,5,3,139,96.0,2.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129818290487,1559923777290487,2025,5,3,139,96.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129828290487,1559923779290487,2025,5,5,49,67.0,2.0,2,ROSA5,1,ROSA5,5,2026-03-10 11:44:53,,12,5
1934129835290487,1559923780290487,2025,5,5,5,61.0,2.0,2,LECU,1,LECU,5,2026-03-10 11:44:53,,12,5
1934129836290487,1559923780290487,2025,5,5,5,61.0,4.0,2,LECU,1,LECU,5,2026-03-10 11:44:53,,12,5
1934129837290487,1559923780290487,2025,5,5,5,61.0,2.0,2,ROSA5,1,ROSA5,10,2026-03-10 11:44:53,,12,5
1934129897290487,1559923782290487,2025,5,5,49,68.0,3.0,1,AIAL,1,AIAL,1,2026-03-10 11:44:53,,12,5
1934129898290487,1559923782290487,2025,5,5,49,68.0,3.0,2,AIAL,1,AIAL,1,2026-03-10 11:44:53,,12,5
1934129903290487,1559923783290487,2025,5,5,5,58.0,1.0,1,LOJA,1,LOJA,2,2026-03-10 11:44:53,,12,5
1934129904290487,1559923783290487,2025,5,5,5,58.0,2.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:53,,12,5
1934129905290487,1559923783290487,2025,5,5,5,58.0,3.0,1,LOJA,1,LOJA,2,2026-03-10 11:44:53,,12,5
1934129906290487,1559923783290487,2025,5,5,5,58.0,4.0,2,LOJA,1,LOJA,2,2026-03-10 11:44:53,,12,5
1934136046290487,1559924442290487,2025,5,4,149,84.0,1.0,1,LECU,1,LECU,1,2026-03-10 11:45:23,,12,5
1934136047290487,1559924442290487,2025,5,4,149,84.0,3.0,1,LECU,1,LECU,1,2026-03-10 11:45:23,,12,5
1934136048290487,1559924442290487,2025,5,4,149,84.0,4.0,1,LECU,1,LECU,1,2026-03-10 11:45:23,,12,5
1934136049290487,1559924442290487,2025,5,4,149,84.0,1.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:23,,12,5
1934136050290487,1559924442290487,2025,5,4,149,84.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:23,,12,5
1934136051290487,1559924442290487,2025,5,4,149,84.0,4.0,1,LOJA,1,LOJA,2,2026-03-10 11:45:23,,12,5
1934136056290487,1559924443290487,2025,5,4,149,96.0,1.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:23,,12,5
1934136057290487,1559924443290487,2025,5,4,149,96.0,2.0,2,LOJA,1,LOJA,1,2026-03-10 11:45:23,,12,5
1934136058290487,1559924443290487,2025,5,4,149,96.0,1.0,1,NADO,1,NADO,1,2026-03-10 11:45:23,,12,5
1934136059290487,1559924443290487,2025,5,4,149,96.0,2.0,2,NADO,1,NADO,12,2026-03-10 11:45:23,,12,5
1934136060290487,1559924443290487,2025,5,4,149,96.0,4.0,1,NADO,1,NADO,1,2026-03-10 11:45:23,,12,5
1934136065290487,1559924444290487,2025,5,5,129,72.0,1.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:23,,12,5
1934136066290487,1559924444290487,2025,5,5,129,72.0,2.0,1,LOJA,1,LOJA,20,2026-03-10 11:45:23,,12,5
1934136067290487,1559924444290487,2025,5,5,129,72.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:23,,12,5
1934136074290487,1559924445290487,2025,5,5,137,64.0,2.0,2,ROSA5,1,ROSA5,1,2026-03-10 11:45:23,,12,5
1934136079290487,1559924446290487,2025,5,5,137,60.0,3.0,1,AIAL,1,AIAL,1,2026-03-10 11:45:23,,12,5
1934136097290487,1559924450290487,2025,5,3,109,63.0,1.0,1,ALJU,1,ALJU,1,2026-03-10 11:45:24,,12,5
1934136098290487,1559924450290487,2025,5,3,109,63.0,4.0,1,LECU,1,LECU,1,2026-03-10 11:45:24,,12,5
1934136099290487,1559924450290487,2025,5,3,109,63.0,4.0,1,LESPE,1,LESPE,2,2026-03-10 11:45:24,,12,5
1934136100290487,1559924450290487,2025,5,3,109,63.0,1.0,1,LIGUS2,1,LIGUS2,3,2026-03-10 11:45:24,,12,5
1934136101290487,1559924450290487,2025,5,3,109,63.0,1.0,1,LOJA,1,LOJA,3,2026-03-10 11:45:24,,12,5
1934136102290487,1559924450290487,2025,5,3,109,63.0,3.0,1,LOJA,1,LOJA,2,2026-03-10 11:45:24,,12,5
1934136103290487,1559924450290487,2025,5,3,109,63.0,4.0,1,LOJA,1,LOJA,4,2026-03-10 11:45:24,,12,5
1934136108290487,1559924451290487,2025,5,3,109,66.0,2.0,2,LESPE,1,LESPE,1,2026-03-10 11:45:24,,12,5
1934136109290487,1559924451290487,2025,5,3,109,66.0,1.0,1,VINCA,1,VINCA,2,2026-03-10 11:45:24,,12,5
1934136110290487,1559924451290487,2025,5,3,109,66.0,3.0,1,VINCA,1,VINCA,1,2026-03-10 11:45:24,,12,5
1934136111290487,1559924451290487,2025,5,3,109,66.0,4.0,1,VINCA,1,VINCA,1,2026-03-10 11:45:24,,12,5
1934136117290487,1559924452290487,2025,5,3,109,62.0,2.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:24,,12,5
1934136118290487,1559924452290487,2025,5,3,109,62.0,2.0,2,LOJA,1,LOJA,1,2026-03-10 11:45:24,,12,5
1934136128290487,1559924454290487,2025,5,3,109,67.0,3.0,1,LIGUS2,1,LIGUS2,1,2026-03-10 11:45:24,,12,5
1934136129290487,1559924454290487,2025,5,3,109,67.0,4.0,1,LIGUS2,1,LIGUS2,1,2026-03-10 11:45:24,,12,5
1934136130290487,1559924454290487,2025,5,3,109,67.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:24,,12,5
1934136139290487,1559924456290487,2025,5,3,57,76.0,1.0,1,LIGUS2,1,LIGUS2,1,2026-03-10 11:45:24,,12,5
1934136144290487,1559924457290487,2025,5,5,101,73.0,4.0,1,ROSA5,1,ROSA5,1,2026-03-10 11:45:24,,12,5
1934136165290487,1559924462290487,2025,5,5,49,64.0,2.0,1,ROSA5,1,ROSA5,1,2026-03-10 11:45:24,,12,5
1934136174290487,1559924464290487,2025,5,5,49,65.0,3.0,1,LECU,1,LECU,1,2026-03-10 11:45:24,,12,5
1934136175290487,1559924464290487,2025,5,5,49,65.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:45:24,,12,5
1934136176290487,1559924464290487,2025,5,5,49,65.0,3.0,1,ROSA5,1,ROSA5,2,2026-03-10 11:45:24,,12,5
1934136185290487,1559924466290487,2025,5,4,105,60.0,2.0,1,LECU,1,LECU,1,2026-03-10 11:45:24,,12,5
1934136190290487,1559924467290487,2025,5,4,51,69.0,2.0,1,LECU,1,LECU,5,2026-03-10 11:45:25,,12,5
1934136195290487,1559924468290487,2025,5,4,149,92.0,1.0,1,LECU,1,LECU,5,2026-03-10 11:45:25,,12,5
1934136196290487,1559924468290487,2025,5,4,149,92.0,2.0,1,LECU,1,LECU,5,2026-03-10 11:45:25,,12,5
1934136197290487,1559924468290487,2025,5,4,149,92.0,2.0,1,LIGUS2,1,LIGUS2,1,2026-03-10 11:45:25,,12,5
1934136198290487,1559924468290487,2025,5,4,149,92.0,3.0,1,LOJA,1,LOJA,3,2026-03-10 11:45:25,,12,5
1934136199290487,1559924468290487,2025,5,4,149,92.0,4.0,1,LOJA,1,LOJA,3,2026-03-10 11:45:25,,12,5
1934136320290487,1559924473290487,2025,5,4,51,71.0,4.0,3,LIGUS2,1,LIGUS2,90,2026-03-10 11:45:25,,12,5
1934136326290487,1559924474290487,2025,5,4,51,79.0,3.0,2,LECU,1,LECU,25,2026-03-10 11:45:25,,12,5
1934136453290487,1559924480290487,2025,5,5,9,53.0,4.0,2,LIGUS2,1,LIGUS2,1,2026-03-10 11:45:25,,12,5
1934136470290487,1559924484290487,2025,5,5,129,65.0,2.0,2,LOJA,1,LOJA,1,2026-03-10 11:45:25,,12,5
1934129936290487,1559923790290487,2025,5,4,125,74.0,1.0,1,LOJA,1,LOJA,15,2026-03-10 11:44:54,,12,5
1934129937290487,1559923790290487,2025,5,4,125,74.0,2.0,1,LOJA,1,LOJA,5,2026-03-10 11:44:54,,12,5
1934129938290487,1559923790290487,2025,5,4,125,74.0,3.0,1,LOJA,1,LOJA,5,2026-03-10 11:44:54,,12,5
1934129939290487,1559923790290487,2025,5,4,125,74.0,4.0,1,LOJA,1,LOJA,5,2026-03-10 11:44:54,,12,5
1934129948290487,1559923792290487,2025,5,3,53,70.0,2.0,1,LIGUS2,1,LIGUS2,2,2026-03-10 11:44:54,,12,5
1934129949290487,1559923792290487,2025,5,3,53,70.0,3.0,1,LIGUS2,1,LIGUS2,3,2026-03-10 11:44:54,,12,5
1934129950290487,1559923792290487,2025,5,3,53,70.0,4.0,2,LIGUS2,1,LIGUS2,1,2026-03-10 11:44:54,,12,5
1934129951290487,1559923792290487,2025,5,3,53,70.0,1.0,1,LOJA,1,LOJA,5,2026-03-10 11:44:54,,12,5
1934129952290487,1559923792290487,2025,5,3,53,70.0,2.0,1,LOJA,1,LOJA,5,2026-03-10 11:44:54,,12,5
1934129953290487,1559923792290487,2025,5,3,53,70.0,3.0,1,LOJA,1,LOJA,5,2026-03-10 11:44:54,,12,5
1934129954290487,1559923792290487,2025,5,3,53,70.0,4.0,2,LOJA,1,LOJA,2,2026-03-10 11:44:54,,12,5
1934130105290487,1559923804290487,2025,5,3,139,107.0,3.0,1,LIGUS2,1,LIGUS2,2,2026-03-10 11:44:54,,12,5
1934130106290487,1559923804290487,2025,5,3,139,107.0,2.0,2,LOJA,1,LOJA,1,2026-03-10 11:44:54,,12,5
1934130236290487,1559923805290487,2025,5,3,139,106.0,1.0,1,LIGUS2,1,LIGUS2,3,2026-03-10 11:44:55,,12,5
1934130237290487,1559923805290487,2025,5,3,139,106.0,4.0,1,LIGUS2,1,LIGUS2,1,2026-03-10 11:44:55,,12,5
1934130250290487,1559923808290487,2025,5,4,119,77.0,2.0,1,LIGUS2,1,LIGUS2,1,2026-03-10 11:44:55,,12,5
1934130251290487,1559923808290487,2025,5,4,119,77.0,3.0,1,LIGUS2,1,LIGUS2,2,2026-03-10 11:44:55,,12,5
1934130252290487,1559923808290487,2025,5,4,119,77.0,1.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:55,,12,5
1934130253290487,1559923808290487,2025,5,4,119,77.0,2.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:55,,12,5
1934130254290487,1559923808290487,2025,5,4,119,77.0,3.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:55,,12,5
1934130255290487,1559923808290487,2025,5,4,119,77.0,4.0,1,LOJA,1,LOJA,1,2026-03-10 11:44:55,,12,5
1934130276290487,1559923813290487,2025,5,1,69,91.0,3.0,1,LOJA,1,LOJA,2,2026-03-10 11:44:55,,12,5
1934130281290487,1559923814290487,2025,5,1,69,100.0,1.0,1,LOJA,1,LOJA,20,2026-03-10 11:44:55,,12,5
1934130282290487,1559923814290487,2025,5,1,69,100.0,2.0,1,LOJA,1,LOJA,20,2026-03-10 11:44:55,,12,5
1934130283290487,1559923814290487,2025,5,1,69,100.0,3.0,1,LOJA,1,LOJA,20,2026-03-10 11:44:55,,12,5
1934130284290487,1559923814290487,2025,5,1,69,100.0,4.0,1,LOJA,1,LOJA,20,2026-03-10 11:44:55,,12,5
1934130289290487,1559923815290487,2025,5,1,69,94.0,1.0,1,LOJA,1,LOJA,20,2026-03-10 11:44:55,,12,5
1934130290290487,1559923815290487,2025,5,1,69,94.0,2.0,1,LOJA,1,LOJA,20,2026-03-10 11:44:55,,12,5
1934130291290487,1559923815290487,2025,5,1,69,94.0,3.0,1,LOJA,1,LOJA,15,2026-03-10 11:44:55,,12,5
