CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
549524073126144,188779353020004,2016,4,2,5,87507.0,4.0,1,CEDI3,1,CEDI3,1,2018-08-10 11:32:49,,4,6
469564582489998,188779536020004,2016,4,1,9,81920.0,1.0,1,CUME,1,CUME,1,2017-05-12 10:45:27,,4,6
469564583489998,188779536020004,2016,4,1,9,81920.0,4.0,1,CUME,1,CUME,1,2017-05-12 10:45:27,,4,6
469564584489998,188779536020004,2016,4,1,9,81920.0,1.0,1,POOL,1,POOL,1,2017-05-12 10:45:27,,4,6
469564585489998,188779536020004,2016,4,1,9,81920.0,4.0,1,POOL,1,POOL,1,2017-05-12 10:45:27,,4,6
469581441489998,188779020020004,2016,4,2,5,86061.0,1.0,1,LIDA,1,LIDA,1,2017-05-12 10:46:13,,4,6
469568297489998,188778482020004,2016,4,2,5,90905.0,2.0,1,LIDA,1,LIDA,1,2017-05-12 10:45:39,,4,6
469568298489998,188778482020004,2016,4,2,5,90905.0,3.0,1,LIDA,1,LIDA,1,2017-05-12 10:45:39,,4,6
469568299489998,188778482020004,2016,4,2,5,90905.0,4.0,1,LIDA,1,LIDA,1,2017-05-12 10:45:39,,4,6
469581098489998,188779016020004,2016,4,2,5,92125.0,1.0,1,LIDA,1,LIDA,1,2017-05-12 10:46:12,,4,6
469581099489998,188779016020004,2016,4,2,5,92125.0,2.0,1,LIDA,1,LIDA,1,2017-05-12 10:46:12,,4,6
469581100489998,188779016020004,2016,4,2,5,92125.0,3.0,2,LIDA,1,LIDA,1,2017-05-12 10:46:12,,4,6
469581101489998,188779016020004,2016,4,2,5,92125.0,4.0,1,LIDA,1,LIDA,1,2017-05-12 10:46:12,,4,6
469581062489998,188779015020004,2016,4,2,5,83245.0,3.0,2,LIDA,1,LIDA,1,2017-05-12 10:46:12,,4,6
469573974489998,188778715020004,2016,4,2,15,86763.0,1.0,1,HAGL,1,HAGL,1,2017-05-12 10:45:54,,4,6
469573975489998,188778715020004,2016,4,2,15,86763.0,2.0,1,HAGL,1,HAGL,1,2017-05-12 10:45:54,,4,6
469573976489998,188778715020004,2016,4,2,15,86763.0,3.0,1,HAGL,1,HAGL,1,2017-05-12 10:45:54,,4,6
549526022126144,188779601020004,2016,4,1,11,87466.0,3.0,1,CEDI3,1,CEDI3,1,2018-08-10 11:32:51,,4,6
469569976489998,188778543020004,2016,4,1,19,84608.0,1.0,1,IPOMO,1,IPOMO,1,2017-05-12 10:45:43,,4,6
469569977489998,188778543020004,2016,4,1,19,84608.0,4.0,1,IPOMO,2,IPOMO,1,2017-05-12 10:45:43,,4,6
550396953126144,188780239020004,2017,4,2,5,82372.0,1.0,1,LIDA,1,LIDA,1,2018-08-13 15:50:32,,4,7
550396954126144,188780239020004,2017,4,2,5,82372.0,2.0,1,LIDA,1,LIDA,2,2018-08-13 15:50:32,,4,7
550396955126144,188780239020004,2017,4,2,5,82372.0,3.0,2,LIDA,1,LIDA,1,2018-08-13 15:50:32,,4,7
550396956126144,188780239020004,2017,4,2,5,82372.0,4.0,1,LIDA,1,LIDA,2,2018-08-13 15:50:32,,4,7
550396957126144,188780239020004,2017,4,2,5,82372.0,1.0,1,ONAC,1,ONAC,1,2018-08-13 15:50:32,,4,7
550396958126144,188780239020004,2017,4,2,5,82372.0,4.0,1,ONAC,1,ONAC,1,2018-08-13 15:50:32,,4,7
550381834126144,188779681020004,2017,4,2,5,80531.0,2.0,1,ONAC,1,ONAC,1,2018-08-13 15:50:09,,4,7
550381835126144,188779681020004,2017,4,2,5,80531.0,3.0,1,ONAC,1,ONAC,1,2018-08-13 15:50:09,,4,7
550381836126144,188779681020004,2017,4,2,5,80531.0,4.0,1,ONAC,1,ONAC,1,2018-08-13 15:50:09,,4,7
1586257940290487,547679307126144,2021,4,2,5,86378.0,4.0,1,POOL,1,POOL,1,2024-05-06 11:14:20,,5,1
1586251834290487,547679086126144,2021,4,2,5,89937.0,4.0,2,CIAR4,1,CIAR4,1,2024-05-06 11:14:15,,5,1
1586253087290487,547679122126144,2021,4,2,5,81930.0,3.0,1,EUES,1,EUES,1,2024-05-06 11:14:16,,5,1
1586253088290487,547679122126144,2021,4,2,5,81930.0,3.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:16,,5,1
1586259481290487,547679346126144,2021,4,2,5,81299.0,1.0,1,POOL,1,POOL,1,2024-05-06 11:14:21,,5,1
1586259482290487,547679346126144,2021,4,2,5,81299.0,2.0,1,POOL,1,POOL,1,2024-05-06 11:14:21,,5,1
1586259483290487,547679346126144,2021,4,2,5,81299.0,3.0,1,POOL,1,POOL,1,2024-05-06 11:14:21,,5,1
1586259484290487,547679346126144,2021,4,2,5,81299.0,4.0,1,POOL,1,POOL,1,2024-05-06 11:14:21,,5,1
1586242300290487,547678680126144,2021,4,2,5,90187.0,2.0,1,POOL,1,POOL,5,2024-05-06 11:14:07,,5,1
1586242301290487,547678680126144,2021,4,2,5,90187.0,3.0,1,POOL,1,POOL,1,2024-05-06 11:14:07,,5,1
1586242302290487,547678680126144,2021,4,2,5,90187.0,4.0,1,POOL,1,POOL,15,2024-05-06 11:14:07,,5,1
1586267015290487,547679546126144,2021,4,2,7,88469.0,1.0,1,POOL,1,POOL,1,2024-05-06 11:14:26,,5,1
1586250423290487,547679030126144,2021,4,2,5,86068.0,1.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:14,,5,1
1586250424290487,547679030126144,2021,4,2,5,86068.0,3.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:14,,5,1
1586250425290487,547679030126144,2021,4,2,5,86068.0,4.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:14,,5,1
1586259834290487,547679349126144,2021,4,2,5,83081.0,1.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:21,,5,1
1586259835290487,547679349126144,2021,4,2,5,83081.0,2.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:21,,5,1
1586259836290487,547679349126144,2021,4,2,5,83081.0,3.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:21,,5,1
1586259717290487,547679348126144,2021,4,2,5,87882.0,4.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:21,,5,1
1586266897290487,547679545126144,2021,4,2,17,83623.0,4.0,1,POOL,1,POOL,3,2024-05-06 11:14:26,,5,1
1586246585290487,547678829126144,2021,4,2,25,81791.0,1.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:11,,5,1
1586263069290487,547679439126144,2021,4,2,17,82848.0,1.0,1,POOL,1,POOL,1,2024-05-06 11:14:23,,5,1
1586263070290487,547679439126144,2021,4,2,17,82848.0,2.0,1,POOL,1,POOL,1,2024-05-06 11:14:23,,5,1
1586263071290487,547679439126144,2021,4,2,17,82848.0,3.0,1,POOL,1,POOL,1,2024-05-06 11:14:23,,5,1
1586263072290487,547679439126144,2021,4,2,17,82848.0,4.0,1,POOL,1,POOL,1,2024-05-06 11:14:23,,5,1
1586243974290487,547678729126144,2021,4,2,17,81755.0,3.0,1,POOL,1,POOL,1,2024-05-06 11:14:08,,5,1
1586249603290487,547678984126144,2021,4,2,15,82925.0,1.0,1,POOL,1,POOL,1,2024-05-06 11:14:13,,5,1
1586249604290487,547678984126144,2021,4,2,15,82925.0,2.0,1,POOL,1,POOL,1,2024-05-06 11:14:13,,5,1
1586249605290487,547678984126144,2021,4,2,15,82925.0,3.0,1,POOL,1,POOL,1,2024-05-06 11:14:13,,5,1
1586242560290487,547678687126144,2021,4,2,17,82481.0,1.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:07,,5,1
1586242561290487,547678687126144,2021,4,2,17,82481.0,2.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:07,,5,1
1586242562290487,547678687126144,2021,4,2,17,82481.0,3.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:07,,5,1
1586237254290487,547678539126144,2021,4,2,25,82972.0,1.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:03,,5,1
1586237255290487,547678539126144,2021,4,2,25,82972.0,2.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:03,,5,1
1586237256290487,547678539126144,2021,4,2,25,82972.0,4.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:03,,5,1
1586237257290487,547678539126144,2021,4,2,25,82972.0,1.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:03,,5,1
1586237258290487,547678539126144,2021,4,2,25,82972.0,2.0,1,LIDA,1,LIDA,1,2024-05-06 11:14:03,,5,1
1586239623290487,547678603126144,2021,4,2,17,92057.0,1.0,1,POOL,1,POOL,3,2024-05-06 11:14:05,,5,1
1586239624290487,547678603126144,2021,4,2,17,92057.0,2.0,1,POOL,1,POOL,1,2024-05-06 11:14:05,,5,1
1586239625290487,547678603126144,2021,4,2,17,92057.0,3.0,1,POOL,1,POOL,1,2024-05-06 11:14:05,,5,1
1586239626290487,547678603126144,2021,4,2,17,92057.0,4.0,1,POOL,1,POOL,1,2024-05-06 11:14:05,,5,1
1586255737290487,547679209126144,2021,4,2,25,86720.0,1.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:18,,5,1
1586255738290487,547679209126144,2021,4,2,25,86720.0,2.0,1,CIAR4,1,CIAR4,1,2024-05-06 11:14:18,,5,1
1586254743290487,547679185126144,2021,4,2,5,80650.0,4.0,1,POOL,1,POOL,5,2024-05-06 11:14:18,,5,1
1586269006290487,547679588126144,2021,4,2,17,91226.0,1.0,1,ACRE3,1,ACRE3,1,2024-05-06 11:14:27,,5,1
1586269007290487,547679588126144,2021,4,2,17,91226.0,4.0,1,ACRE3,1,ACRE3,1,2024-05-06 11:14:27,,5,1
1859342578290487,667885911126144,2022,4,2,5,82657.0,1.0,1,LIDA,1,LIDA,1,2025-05-20 11:17:53,,5,2
1859342579290487,667885911126144,2022,4,2,5,82657.0,3.0,1,LIDA,1,LIDA,1,2025-05-20 11:17:53,,5,2
1859342580290487,667885911126144,2022,4,2,5,82657.0,4.0,1,LIDA,1,LIDA,1,2025-05-20 11:17:53,,5,2
1859342462290487,667885910126144,2022,4,2,5,91581.0,1.0,1,ONAC,1,ONAC,1,2025-05-20 11:17:53,,5,2
1859332500290487,667885576126144,2022,4,2,5,87194.0,3.0,1,ONAC,1,ONAC,1,2025-05-20 11:17:47,,5,2
1859319305290487,667885137126144,2022,4,2,5,87810.0,2.0,1,LIDA,1,LIDA,1,2025-05-20 11:17:37,,5,2
1859319306290487,667885137126144,2022,4,2,5,87810.0,4.0,1,LIDA,1,LIDA,1,2025-05-20 11:17:37,,5,2
1859330827290487,667885462126144,2022,4,2,5,83768.0,3.0,1,POOL,1,POOL,1,2025-05-20 11:17:45,,5,2
1859317814290487,667885101126144,2022,4,2,5,90259.0,3.0,1,ONAC,1,ONAC,1,2025-05-20 11:17:36,,5,2
1859347019290487,667886014126144,2022,4,2,5,83770.0,1.0,1,ONAC,1,ONAC,1,2025-05-20 11:17:56,,5,2
1859347020290487,667886014126144,2022,4,2,5,83770.0,3.0,1,ONAC,1,ONAC,1,2025-05-20 11:17:56,,5,2
1859346661290487,667886010126144,2022,4,2,5,82543.0,1.0,1,POOL,1,POOL,1,2025-05-20 11:17:56,,5,2
1859346662290487,667886010126144,2022,4,2,5,82543.0,2.0,1,POOL,1,POOL,2,2025-05-20 11:17:56,,5,2
1859346663290487,667886010126144,2022,4,2,5,82543.0,3.0,1,POOL,1,POOL,1,2025-05-20 11:17:56,,5,2
1859346664290487,667886010126144,2022,4,2,5,82543.0,4.0,1,POOL,1,POOL,6,2025-05-20 11:17:56,,5,2
1859339888290487,667885859126144,2022,4,2,5,89977.0,4.0,1,ONAC,1,ONAC,1,2025-05-20 11:17:52,,5,2
1859343046290487,667885917126144,2022,4,2,5,90265.0,1.0,1,POOL,1,POOL,1,2025-05-20 11:17:54,,5,2
1859343047290487,667885917126144,2022,4,2,5,90265.0,2.0,1,POOL,1,POOL,1,2025-05-20 11:17:54,,5,2
1859343048290487,667885917126144,2022,4,2,5,90265.0,3.0,1,POOL,1,POOL,1,2025-05-20 11:17:54,,5,2
1859343049290487,667885917126144,2022,4,2,5,90265.0,4.0,1,POOL,1,POOL,1,2025-05-20 11:17:54,,5,2
1859334547290487,667885643126144,2022,4,2,5,87644.0,1.0,1,POOL,1,POOL,1,2025-05-20 11:17:48,,5,2
1859334548290487,667885643126144,2022,4,2,5,87644.0,2.0,1,POOL,1,POOL,1,2025-05-20 11:17:48,,5,2
1859334549290487,667885643126144,2022,4,2,5,87644.0,3.0,1,POOL,1,POOL,1,2025-05-20 11:17:48,,5,2
1859342224290487,667885908126144,2022,4,2,5,87614.0,2.0,2,POOL,1,POOL,1,2025-05-20 11:17:53,,5,2
1859342225290487,667885908126144,2022,4,2,5,87614.0,3.0,1,POOL,1,POOL,1,2025-05-20 11:17:53,,5,2
