CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
250098002489998,44542313020004,2013,6,2,49,84877.0,2.0,2,TACA8,1,TACA8,1,2014-04-08 08:40:46,2021-06-04 00:59:30,6,3
250098003489998,44542313020004,2013,6,2,49,84877.0,3.0,2,TACA8,1,TACA8,1,2014-04-08 08:40:46,2021-06-04 00:59:30,6,3
250098004489998,44542313020004,2013,6,2,49,84877.0,4.0,1,TACA8,1,TACA8,2,2014-04-08 08:40:46,2021-06-04 00:59:30,6,3
250098005489998,44542313020004,2013,6,2,49,84877.0,4.0,2,TACA8,1,TACA8,1,2014-04-08 08:40:46,2021-06-04 00:59:30,6,3
250100447489998,44542400020004,2013,6,2,49,74248.0,1.0,1,TACA8,1,TACA8,60,2014-04-08 08:40:53,2021-06-04 00:59:30,6,3
250100448489998,44542400020004,2013,6,2,49,74248.0,2.0,1,TACA8,1,TACA8,45,2014-04-08 08:40:53,2021-06-04 00:59:30,6,3
250100449489998,44542400020004,2013,6,2,49,74248.0,2.0,2,TACA8,1,TACA8,15,2014-04-08 08:40:53,2021-06-04 00:59:30,6,3
250100450489998,44542400020004,2013,6,2,49,74248.0,3.0,1,TACA8,1,TACA8,80,2014-04-08 08:40:53,2021-06-04 00:59:30,6,3
250100451489998,44542400020004,2013,6,2,49,74248.0,4.0,1,TACA8,1,TACA8,20,2014-04-08 08:40:53,2021-06-04 00:59:30,6,3
250115762489998,44543201020004,2013,6,2,35,80998.0,1.0,1,TACA8,1,TACA8,15,2014-04-08 08:41:36,2021-06-04 00:59:30,6,3
250115763489998,44543201020004,2013,6,2,35,80998.0,3.0,1,TACA8,1,TACA8,23,2014-04-08 08:41:36,2021-06-04 00:59:30,6,3
303597596489998,216959273020004,2014,6,2,105,68974.0,2.0,1,CESO3,1,CESO3,5,2015-02-17 12:51:08,2021-06-04 01:18:24,6,4
303726937489998,216959462020004,2014,6,4,111,93286.0,1.0,1,GEMO2,1,GEMO2,1,2015-02-17 12:58:46,2021-06-04 01:18:24,6,4
303670804489998,216959975020004,2014,6,2,89,96723.0,2.0,2,HYPE,1,HYPE,1,2015-02-17 12:55:58,2021-06-04 01:18:24,6,4
303777237489998,216961715020004,2014,6,2,49,67806.0,2.0,1,TACA8,1,TACA8,1,2015-02-17 13:01:17,2021-06-04 01:18:24,6,4
303777238489998,216961715020004,2014,6,2,49,67806.0,3.0,1,TACA8,1,TACA8,1,2015-02-17 13:01:17,2021-06-04 01:18:24,6,4
