CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1593405476290487,431919237489998,2020,8,2,55,86243.0,4.0,1,BRTE,1,BRTE,1,2024-05-09 10:46:08,,3,9
1593354779290487,431918359489998,2020,8,2,43,84983.0,1.0,1,ARMI2,1,ARMI2,1,2024-05-09 10:45:32,,3,9
1593354780290487,431918359489998,2020,8,2,43,84983.0,1.0,1,BRTE,1,BRTE,1,2024-05-09 10:45:32,,3,9
336426474489998,188756925020004,2014,8,4,77,90918.0,1.0,1,BRTE,1,BRTE,1,2015-06-17 16:23:15,,3,3
336426475489998,188756925020004,2014,8,4,77,90918.0,2.0,1,BRTE,1,BRTE,2,2015-06-17 16:23:15,,3,3
336426476489998,188756925020004,2014,8,4,77,90918.0,3.0,1,BRTE,1,BRTE,1,2015-06-17 16:23:15,,3,3
336426477489998,188756925020004,2014,8,4,77,90918.0,4.0,1,BRTE,1,BRTE,1,2015-06-17 16:23:15,,3,3
336426478489998,188756925020004,2014,8,4,77,90918.0,2.0,1,HAGL,1,HAGL,1,2015-06-17 16:23:15,,3,3
336430583489998,188757004020004,2014,8,4,81,81578.0,1.0,1,BRTE,1,BRTE,2,2015-06-17 16:23:25,,3,3
336430584489998,188757004020004,2014,8,4,81,81578.0,2.0,1,BRTE,1,BRTE,1,2015-06-17 16:23:25,,3,3
336430585489998,188757004020004,2014,8,4,81,81578.0,3.0,2,BRTE,1,BRTE,3,2015-06-17 16:23:25,,3,3
336430586489998,188757004020004,2014,8,4,81,81578.0,4.0,1,BRTE,1,BRTE,5,2015-06-17 16:23:25,,3,3
336434724489998,188757071020004,2014,8,4,85,80238.0,3.0,2,BRTE,1,BRTE,3,2015-06-17 16:23:35,,3,3
408983419489998,188758681020004,2015,8,2,55,84505.0,4.0,1,VETH,1,VETH,1,2016-06-20 15:26:34,,3,4
408948904489998,188757987020004,2015,8,4,33,83758.0,3.0,3,CANU4,1,CANU4,1,2016-06-20 15:25:16,,3,4
408948905489998,188757987020004,2015,8,4,33,83758.0,3.0,3,CIAR4,1,CIAR4,1,2016-06-20 15:25:16,,3,4
408970419489998,188758330020004,2015,8,4,45,81041.0,2.0,1,BRTE,1,BRTE,2,2016-06-20 15:26:05,,3,4
408970420489998,188758330020004,2015,8,4,45,81041.0,3.0,1,BRTE,1,BRTE,3,2016-06-20 15:26:05,,3,4
408970421489998,188758330020004,2015,8,4,45,81041.0,4.0,1,BRTE,1,BRTE,1,2016-06-20 15:26:05,,3,4
408948343489998,188757979020004,2015,8,4,45,84451.0,4.0,1,BRTE,1,BRTE,4,2016-06-20 15:25:14,,3,4
408967906489998,188758293020004,2015,8,4,45,80125.0,1.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:59,,3,4
408967907489998,188758293020004,2015,8,4,45,80125.0,2.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:59,,3,4
408967908489998,188758293020004,2015,8,4,45,80125.0,3.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:59,,3,4
408967909489998,188758293020004,2015,8,4,45,80125.0,4.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:59,,3,4
408966600489998,188758271020004,2015,8,3,51,86528.0,1.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:55,,3,4
408963390489998,188758229020004,2015,8,3,21,84096.0,3.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:47,,3,4
408963391489998,188758229020004,2015,8,3,21,84096.0,4.0,1,CIAR4,1,CIAR4,1,2016-06-20 15:25:47,,3,4
408960032489998,188758178020004,2015,8,4,29,82557.0,3.0,1,BRTE,1,BRTE,1,2016-06-20 15:25:40,,3,4
