CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
306746508489998,168249086020004,2014,9,1,3,3.0,4.0,1,CEOR7,1,CEOR7,3,2015-02-25 05:58:56,,7,2
306746509489998,168249086020004,2014,9,1,3,3.0,1.0,1,ROMU,1,ROMU,2,2015-02-25 05:58:56,,7,2
306746510489998,168249086020004,2014,9,1,3,3.0,2.0,1,ROMU,1,ROMU,1,2015-02-25 05:58:56,,7,2
306746511489998,168249086020004,2014,9,1,3,3.0,4.0,1,ROMU,1,ROMU,2,2015-02-25 05:58:56,,7,2
306747077489998,168249054020004,2014,9,1,5,32.0,3.0,1,CEOR7,1,CEOR7,7,2015-02-25 05:59:01,,7,2
306747079489998,168249054020004,2014,9,1,5,32.0,3.0,1,FRAL4,1,FRAL4,5,2015-02-25 05:59:01,,7,2
306747080489998,168249054020004,2014,9,1,5,32.0,4.0,1,FRAL4,1,FRAL4,7,2015-02-25 05:59:01,,7,2
306747081489998,168249054020004,2014,9,1,5,32.0,1.0,1,LONIC,1,LONIC,30,2015-02-25 05:59:01,,7,2
306747082489998,168249054020004,2014,9,1,5,32.0,3.0,1,LONIC,1,LONIC,50,2015-02-25 05:59:01,,7,2
306747083489998,168249054020004,2014,9,1,5,32.0,4.0,1,LONIC,1,LONIC,10,2015-02-25 05:59:01,,7,2
306747084489998,168249054020004,2014,9,1,5,32.0,2.0,1,PHAU7,1,PHAU7,80,2015-02-25 05:59:01,,7,2
306747085489998,168249054020004,2014,9,1,5,32.0,4.0,1,PHAU7,1,PHAU7,60,2015-02-25 05:59:01,,7,2
306747086489998,168249054020004,2014,9,1,5,32.0,3.0,1,ROMU,1,ROMU,2,2015-02-25 05:59:01,,7,2
306747087489998,168249054020004,2014,9,1,5,32.0,4.0,1,ROMU,1,ROMU,10,2015-02-25 05:59:01,,7,2
306747277489998,168249085020004,2014,9,1,5,341.0,1.0,1,BETH,1,BETH,25,2015-02-25 05:59:02,,7,2
306747278489998,168249085020004,2014,9,1,5,341.0,2.0,1,BETH,1,BETH,10,2015-02-25 05:59:02,,7,2
306747279489998,168249085020004,2014,9,1,5,341.0,3.0,1,BETH,1,BETH,20,2015-02-25 05:59:02,,7,2
306747280489998,168249085020004,2014,9,1,5,341.0,4.0,1,BETH,1,BETH,20,2015-02-25 05:59:02,,7,2
306747281489998,168249085020004,2014,9,1,5,341.0,3.0,1,LONIC,1,LONIC,1,2015-02-25 05:59:02,,7,2
306747723489998,168249059020004,2014,9,1,1,154.0,1.0,1,AIAL,1,AIAL,60,2015-02-25 05:59:04,,7,2
306747724489998,168249059020004,2014,9,1,1,154.0,2.0,1,AIAL,1,AIAL,80,2015-02-25 05:59:04,,7,2
306747725489998,168249059020004,2014,9,1,1,154.0,1.0,1,ALPE4,1,ALPE4,1,2015-02-25 05:59:04,,7,2
306747726489998,168249059020004,2014,9,1,1,154.0,2.0,1,ALPE4,1,ALPE4,1,2015-02-25 05:59:04,,7,2
306747727489998,168249059020004,2014,9,1,1,154.0,1.0,1,CEOR7,1,CEOR7,35,2015-02-25 05:59:04,,7,2
306747728489998,168249059020004,2014,9,1,1,154.0,2.0,1,CEOR7,1,CEOR7,45,2015-02-25 05:59:04,,7,2
306747729489998,168249059020004,2014,9,1,1,154.0,1.0,1,LONIC,1,LONIC,4,2015-02-25 05:59:04,,7,2
306747730489998,168249059020004,2014,9,1,1,154.0,2.0,1,LONIC,1,LONIC,5,2015-02-25 05:59:04,,7,2
306747731489998,168249059020004,2014,9,1,1,154.0,1.0,1,PHAU7,1,PHAU7,2,2015-02-25 05:59:04,,7,2
306747732489998,168249059020004,2014,9,1,1,154.0,2.0,1,POCU6,1,POCU6,1,2015-02-25 05:59:04,,7,2
306747733489998,168249059020004,2014,9,1,1,154.0,1.0,1,ROMU,1,ROMU,1,2015-02-25 05:59:04,,7,2
306747734489998,168249059020004,2014,9,1,1,154.0,2.0,1,ROMU,1,ROMU,10,2015-02-25 05:59:04,,7,2
306747850489998,168249114020004,2014,9,1,11,8.0,1.0,1,BETH,1,BETH,6,2015-02-25 05:59:04,,7,2
306747851489998,168249114020004,2014,9,1,11,8.0,2.0,1,BETH,1,BETH,25,2015-02-25 05:59:04,,7,2
306747852489998,168249114020004,2014,9,1,11,8.0,4.0,1,BETH,1,BETH,15,2015-02-25 05:59:04,,7,2
306747853489998,168249114020004,2014,9,1,11,8.0,1.0,1,CEOR7,1,CEOR7,15,2015-02-25 05:59:04,,7,2
306747854489998,168249114020004,2014,9,1,11,8.0,2.0,1,CEOR7,1,CEOR7,5,2015-02-25 05:59:04,,7,2
306747855489998,168249114020004,2014,9,1,11,8.0,4.0,1,CEOR7,1,CEOR7,2,2015-02-25 05:59:04,,7,2
306747856489998,168249114020004,2014,9,1,11,8.0,1.0,1,LONIC,1,LONIC,4,2015-02-25 05:59:04,,7,2
306747857489998,168249114020004,2014,9,1,11,8.0,1.0,1,ROMU,1,ROMU,60,2015-02-25 05:59:04,,7,2
306747858489998,168249114020004,2014,9,1,11,8.0,2.0,1,ROMU,1,ROMU,20,2015-02-25 05:59:04,,7,2
306747859489998,168249114020004,2014,9,1,11,8.0,4.0,1,ROMU,1,ROMU,40,2015-02-25 05:59:04,,7,2
306747990489998,168249073020004,2014,9,1,1,595.0,3.0,1,BETH,1,BETH,1,2015-02-25 05:59:05,,7,2
306747991489998,168249073020004,2014,9,1,1,595.0,4.0,1,BETH,1,BETH,3,2015-02-25 05:59:05,,7,2
306747992489998,168249073020004,2014,9,1,1,595.0,3.0,1,CEOR7,1,CEOR7,1,2015-02-25 05:59:05,,7,2
306747993489998,168249073020004,2014,9,1,1,595.0,4.0,1,CEOR7,1,CEOR7,1,2015-02-25 05:59:05,,7,2
352238454489998,168249122020004,2015,9,1,11,248.0,1.0,1,BETH,1,BETH,3,2015-10-22 07:58:40,,7,3
