CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222844850010661,122556883010661,2007,10,1,3,631.0,4.0,1,ROMU,1,ROMU,17,2010-03-01 10:16:33,2012-02-28 07:13:36,5,4
222844784010661,122556917010661,2007,10,1,1,381.0,4.0,1,LOJA,1,LOJA,1,2010-03-01 10:16:33,2012-02-29 11:15:31,5,4
222844444010661,171000954010661,2008,10,1,5,562.0,2.0,2,LOJA,1,LOJA,1,2010-03-01 10:09:15,2012-02-28 07:07:21,5,5
222844448010661,171000957010661,2008,10,1,5,498.0,3.0,2,LOJA,1,LOJA,1,2010-03-01 10:09:15,2012-02-29 11:15:29,5,5
222844464010661,171000960010661,2008,10,1,5,112.0,2.0,2,LOJA,1,LOJA,10,2010-03-01 10:09:15,2012-02-28 07:07:21,5,5
222844465010661,171000960010661,2008,10,1,5,112.0,2.0,2,ROMU,1,ROMU,1,2010-03-01 10:09:15,2012-02-28 07:07:06,5,5
222844345010661,171001120010661,2008,10,1,1,420.0,1.0,1,LOJA,1,LOJA,30,2010-03-01 10:09:14,2012-02-28 07:06:22,5,5
222844415010661,171000948010661,2008,10,1,5,366.0,3.0,1,LOJA,1,LOJA,1,2010-03-01 10:09:15,2012-02-29 11:15:31,5,5
222844416010661,171000948010661,2008,10,1,5,366.0,4.0,1,LOJA,1,LOJA,2,2010-03-01 10:09:15,2012-02-28 07:06:36,5,5
222844466010661,171001047010661,2008,10,1,5,508.0,3.0,2,LOJA,1,LOJA,8,2010-03-01 10:09:15,2012-02-28 07:12:58,5,5
222844418010661,171001045010661,2008,10,1,5,2.0,4.0,2,LOJA,1,LOJA,10,2010-03-01 10:09:15,2012-02-28 07:06:36,5,5
222844324010661,171000917010661,2008,10,1,1,602.0,2.0,1,LOJA,1,LOJA,1,2010-03-01 10:09:14,2012-02-28 07:06:50,5,5
222844326010661,171000917010661,2008,10,1,1,602.0,2.0,1,LOMA6,1,LOMA6,1,2010-03-01 10:09:14,2012-02-29 11:15:31,5,5
