CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1152049868290487,718603729290487,2019,12,3,27,30.0,2.0,1,LYMI,1,LYMI,15,2022-03-09 11:54:08,,11,1
1152049869290487,718603729290487,2019,12,3,27,30.0,3.0,1,LYMI,1,LYMI,2,2022-03-09 11:54:08,,11,1
1152049870290487,718603729290487,2019,12,3,27,30.0,4.0,1,LYMI,1,LYMI,2,2022-03-09 11:54:08,,11,1
1152049875290487,718603730290487,2019,12,3,53,23.0,3.0,1,TRSE6,1,TRSE6,1,2022-03-09 11:54:08,,11,1
1152049876290487,718603730290487,2019,12,3,53,23.0,1.0,1,URLO,1,URLO,2,2022-03-09 11:54:08,,11,1
1152049877290487,718603730290487,2019,12,3,53,23.0,3.0,1,URLO,1,URLO,5,2022-03-09 11:54:08,,11,1
1152049878290487,718603730290487,2019,12,3,53,23.0,4.0,1,URLO,1,URLO,1,2022-03-09 11:54:08,,11,1
1152053411290487,718604265290487,2019,12,1,125,1.0,3.0,1,TRSE6,1,TRSE6,10,2022-03-09 11:54:25,,11,1
1152053412290487,718604265290487,2019,12,1,125,1.0,4.0,1,TRSE6,1,TRSE6,3,2022-03-09 11:54:25,,11,1
1152053450290487,718604274290487,2019,12,1,1,61.0,3.0,2,ARCR80,1,ARCR80,60,2022-03-09 11:54:25,,11,1
1152053451290487,718604274290487,2019,12,1,1,61.0,3.0,2,CICA,1,CICA,15,2022-03-09 11:54:25,,11,1
1152053620290487,718604290290487,2019,12,1,75,84.0,1.0,1,CICA,1,CICA,1,2022-03-09 11:54:26,,11,1
1152053621290487,718604290290487,2019,12,1,75,84.0,2.0,1,CICA,1,CICA,1,2022-03-09 11:54:26,,11,1
1152046715290487,718604660290487,2019,12,3,111,28.0,1.0,1,LYMI,1,LYMI,25,2022-03-09 11:53:49,,11,1
1152046716290487,718604660290487,2019,12,3,111,28.0,1.0,1,SCTE,1,SCTE,1,2022-03-09 11:53:49,,11,1
1152046717290487,718604660290487,2019,12,3,111,28.0,1.0,1,URLO,1,URLO,2,2022-03-09 11:53:49,,11,1
1152046718290487,718604660290487,2019,12,3,111,28.0,4.0,1,URLO,1,URLO,2,2022-03-09 11:53:49,,11,1
1152050056290487,718603749290487,2019,12,1,31,21.0,4.0,1,TRSE6,1,TRSE6,1,2022-03-09 11:54:08,,11,1
1152050074290487,718603753290487,2019,12,3,57,6.0,1.0,1,TRSE6,1,TRSE6,20,2022-03-09 11:54:08,,11,1
1152050075290487,718603753290487,2019,12,3,57,6.0,3.0,1,TRSE6,1,TRSE6,80,2022-03-09 11:54:08,,11,1
1152050076290487,718603753290487,2019,12,3,57,6.0,3.0,1,URLO,1,URLO,1,2022-03-09 11:54:08,,11,1
1152050085290487,718603755290487,2019,12,3,57,46.0,3.0,2,ABPR3,1,ABPR3,1,2022-03-09 11:54:08,,11,1
1152050086290487,718603755290487,2019,12,3,57,46.0,4.0,1,ABPR3,1,ABPR3,5,2022-03-09 11:54:08,,11,1
1152050087290487,718603755290487,2019,12,3,57,46.0,3.0,2,CICA,1,CICA,2,2022-03-09 11:54:08,,11,1
1152050088290487,718603755290487,2019,12,3,57,46.0,3.0,2,IMCY,1,IMCY,2,2022-03-09 11:54:08,,11,1
1152050089290487,718603755290487,2019,12,3,57,46.0,3.0,2,LACA2,1,LACA2,2,2022-03-09 11:54:08,,11,1
1152050090290487,718603755290487,2019,12,3,57,46.0,4.0,1,LACA2,1,LACA2,1,2022-03-09 11:54:08,,11,1
1152050091290487,718603755290487,2019,12,3,57,46.0,1.0,1,LYMI,1,LYMI,1,2022-03-09 11:54:08,,11,1
1152050092290487,718603755290487,2019,12,3,57,46.0,3.0,2,LYMI,1,LYMI,5,2022-03-09 11:54:08,,11,1
1152050093290487,718603755290487,2019,12,3,57,46.0,4.0,1,LYMI,1,LYMI,2,2022-03-09 11:54:08,,11,1
1152050094290487,718603755290487,2019,12,3,57,46.0,1.0,1,URLO,1,URLO,2,2022-03-09 11:54:08,,11,1
1152050095290487,718603755290487,2019,12,3,57,46.0,3.0,2,URLO,1,URLO,5,2022-03-09 11:54:08,,11,1
1152050096290487,718603755290487,2019,12,3,57,46.0,4.0,1,URLO,1,URLO,5,2022-03-09 11:54:08,,11,1
1152050125290487,718603762290487,2019,12,3,57,7.0,4.0,1,ABPR3,1,ABPR3,1,2022-03-09 11:54:09,,11,1
1152050126290487,718603762290487,2019,12,3,57,7.0,2.0,1,IMCY,1,IMCY,2,2022-03-09 11:54:09,,11,1
1152050127290487,718603762290487,2019,12,3,57,7.0,1.0,1,LYMI,1,LYMI,5,2022-03-09 11:54:09,,11,1
1152050128290487,718603762290487,2019,12,3,57,7.0,2.0,1,LYMI,1,LYMI,80,2022-03-09 11:54:09,,11,1
1152050129290487,718603762290487,2019,12,3,57,7.0,3.0,1,LYMI,1,LYMI,5,2022-03-09 11:54:09,,11,1
1152053106290487,718604197290487,2019,12,4,21,258.0,3.0,1,URLO,1,URLO,2,2022-03-09 11:54:23,,11,1
1152053107290487,718604197290487,2019,12,4,21,258.0,4.0,1,URLO,1,URLO,2,2022-03-09 11:54:23,,11,1
1152053140290487,718604205290487,2019,12,3,93,43.0,3.0,1,LYMI,1,LYMI,5,2022-03-09 11:54:23,,11,1
1152053216290487,718604223290487,2019,12,1,121,3.0,1.0,1,CICA,1,CICA,3,2022-03-09 11:54:23,,11,1
1152053217290487,718604223290487,2019,12,1,121,3.0,2.0,1,CICA,1,CICA,1,2022-03-09 11:54:23,,11,1
1152053218290487,718604223290487,2019,12,1,121,3.0,2.0,1,MEAZ,1,MEAZ,10,2022-03-09 11:54:23,,11,1
1152053231290487,718604226290487,2019,12,1,121,40.0,4.0,2,CICA,1,CICA,20,2022-03-09 11:54:23,,11,1
1152054170290487,718604368290487,2019,12,3,9,81.0,1.0,1,SCTE,1,SCTE,2,2022-03-09 11:54:28,,11,1
1152054171290487,718604368290487,2019,12,3,9,81.0,2.0,1,SCTE,1,SCTE,1,2022-03-09 11:54:28,,11,1
1152054172290487,718604368290487,2019,12,3,9,81.0,3.0,2,SCTE,1,SCTE,5,2022-03-09 11:54:28,,11,1
1152054173290487,718604368290487,2019,12,3,9,81.0,4.0,1,SCTE,1,SCTE,5,2022-03-09 11:54:28,,11,1
1152051124290487,718603913290487,2019,12,3,117,6.0,1.0,2,ARCR80,1,ARCR80,5,2022-03-09 11:54:13,,11,1
1152051125290487,718603913290487,2019,12,3,117,6.0,3.0,2,ARCR80,1,ARCR80,15,2022-03-09 11:54:13,,11,1
1152051126290487,718603913290487,2019,12,3,117,6.0,4.0,3,ARCR80,1,ARCR80,15,2022-03-09 11:54:13,,11,1
1152051127290487,718603913290487,2019,12,3,117,6.0,1.0,2,CICA,1,CICA,1,2022-03-09 11:54:13,,11,1
1152051128290487,718603913290487,2019,12,3,117,6.0,3.0,2,CICA,1,CICA,2,2022-03-09 11:54:13,,11,1
1152051129290487,718603913290487,2019,12,3,117,6.0,1.0,2,DIOSC,1,DIOSC,30,2022-03-09 11:54:13,,11,1
1152051130290487,718603913290487,2019,12,3,117,6.0,3.0,2,DIOSC,1,DIOSC,5,2022-03-09 11:54:13,,11,1
1152051131290487,718603913290487,2019,12,3,117,6.0,4.0,3,DIOSC,1,DIOSC,15,2022-03-09 11:54:13,,11,1
1152047390290487,718604800290487,2019,12,4,21,2.0,1.0,1,SCTE,1,SCTE,30,2022-03-09 11:53:54,,11,1
1152047391290487,718604800290487,2019,12,4,21,2.0,3.0,1,SCTE,1,SCTE,5,2022-03-09 11:53:54,,11,1
1152047392290487,718604800290487,2019,12,4,21,2.0,4.0,1,SCTE,1,SCTE,1,2022-03-09 11:53:54,,11,1
1152046522290487,718604615290487,2019,12,3,9,4.0,2.0,1,LYMI,1,LYMI,1,2022-03-09 11:53:47,,11,1
1152046523290487,718604615290487,2019,12,3,9,4.0,3.0,1,LYMI,1,LYMI,2,2022-03-09 11:53:47,,11,1
1152046524290487,718604615290487,2019,12,3,9,4.0,4.0,1,LYMI,1,LYMI,1,2022-03-09 11:53:47,,11,1
1152046589290487,718604629290487,2019,12,4,99,114.0,1.0,1,LYMI,1,LYMI,2,2022-03-09 11:53:48,,11,1
1152046590290487,718604629290487,2019,12,4,99,114.0,4.0,1,LYMI,1,LYMI,2,2022-03-09 11:53:48,,11,1
1152049846290487,718603724290487,2019,12,1,83,7.0,2.0,1,CICA,1,CICA,20,2022-03-09 11:54:08,,11,1
1152049867290487,718603729290487,2019,12,3,27,30.0,1.0,1,LYMI,1,LYMI,2,2022-03-09 11:54:08,,11,1
1152053079290487,718604195290487,2019,12,4,21,71.0,1.0,1,ACAU,1,ACAU,65,2022-03-09 11:54:23,,11,1
1152053080290487,718604195290487,2019,12,4,21,71.0,2.0,1,ACAU,1,ACAU,40,2022-03-09 11:54:23,,11,1
1152053081290487,718604195290487,2019,12,4,21,71.0,3.0,1,ACAU,1,ACAU,60,2022-03-09 11:54:23,,11,1
1152053082290487,718604195290487,2019,12,4,21,71.0,4.0,1,ACAU,1,ACAU,12,2022-03-09 11:54:23,,11,1
1152053083290487,718604195290487,2019,12,4,21,71.0,2.0,1,MEQU,1,MEQU,1,2022-03-09 11:54:23,,11,1
1152053084290487,718604195290487,2019,12,4,21,71.0,3.0,1,MEQU,1,MEQU,1,2022-03-09 11:54:23,,11,1
1152053085290487,718604195290487,2019,12,4,21,71.0,4.0,1,SCTE,1,SCTE,2,2022-03-09 11:54:23,,11,1
1152053182290487,718604215290487,2019,12,1,47,10.0,1.0,2,TRSE6,1,TRSE6,1,2022-03-09 11:54:23,,11,1
1152046509290487,718604614290487,2019,12,3,9,85.0,3.0,1,ABPR3,1,ABPR3,2,2022-03-09 11:53:47,,11,1
1152046510290487,718604614290487,2019,12,3,9,85.0,1.0,1,IMCY,1,IMCY,60,2022-03-09 11:53:47,,11,1
1152046511290487,718604614290487,2019,12,3,9,85.0,2.0,1,IMCY,1,IMCY,40,2022-03-09 11:53:47,,11,1
1152046512290487,718604614290487,2019,12,3,9,85.0,3.0,1,IMCY,1,IMCY,80,2022-03-09 11:53:47,,11,1
1152046513290487,718604614290487,2019,12,3,9,85.0,1.0,1,SCTE,1,SCTE,15,2022-03-09 11:53:47,,11,1
1152046514290487,718604614290487,2019,12,3,9,85.0,2.0,1,SCTE,1,SCTE,10,2022-03-09 11:53:47,,11,1
1152046515290487,718604614290487,2019,12,3,9,85.0,3.0,1,SCTE,1,SCTE,20,2022-03-09 11:53:47,,11,1
1152046516290487,718604614290487,2019,12,3,9,85.0,4.0,1,SCTE,1,SCTE,10,2022-03-09 11:53:47,,11,1
1152049383290487,718603649290487,2019,12,2,63,29.0,2.0,2,LIGUS2,1,LIGUS2,1,2022-03-09 11:54:05,,11,1
1152049462290487,718603668290487,2019,12,2,39,35.0,4.0,2,LIGUS2,1,LIGUS2,1,2022-03-09 11:54:06,,11,1
1152049463290487,718603668290487,2019,12,2,39,35.0,4.0,2,LYJA,1,LYJA,1,2022-03-09 11:54:06,,11,1
1152049481290487,718603671290487,2019,12,2,39,18.0,2.0,2,CICA,1,CICA,1,2022-03-09 11:54:06,,11,1
