CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
992775003290487,718561681290487,2020,13,4,119,3.0,3.0,2,VINCA,1,VINCA,70,2022-02-14 11:53:58,,12,1
992775008290487,718561682290487,2020,13,4,195,22.0,2.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:58,,12,1
992775009290487,718561682290487,2020,13,4,195,22.0,3.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:58,,12,1
992775010290487,718561682290487,2020,13,4,195,22.0,4.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:58,,12,1
992775011290487,718561682290487,2020,13,4,195,22.0,2.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:58,,12,1
992775012290487,718561682290487,2020,13,4,195,22.0,3.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:58,,12,1
992775013290487,718561682290487,2020,13,4,195,22.0,4.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:58,,12,1
992775135290487,718561687290487,2020,13,4,157,30.0,3.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775153290487,718561690290487,2020,13,4,221,46.0,3.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775154290487,718561690290487,2020,13,4,221,46.0,1.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775155290487,718561690290487,2020,13,4,221,46.0,2.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775156290487,718561690290487,2020,13,4,221,46.0,3.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775157290487,718561690290487,2020,13,4,221,46.0,4.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775158290487,718561690290487,2020,13,4,221,46.0,3.0,1,MEAZ,1,MEAZ,1,2022-02-14 11:53:59,,12,1
992775159290487,718561690290487,2020,13,4,221,46.0,3.0,1,POTR4,1,POTR4,1,2022-02-14 11:53:59,,12,1
992775168290487,718561692290487,2020,13,3,133,33.0,3.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775169290487,718561692290487,2020,13,3,133,33.0,4.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775170290487,718561692290487,2020,13,3,133,33.0,1.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775171290487,718561692290487,2020,13,3,133,33.0,2.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775172290487,718561692290487,2020,13,3,133,33.0,3.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775173290487,718561692290487,2020,13,3,133,33.0,4.0,1,LOJA,1,LOJA,3,2022-02-14 11:53:59,,12,1
992775178290487,718561693290487,2020,13,3,133,43.0,1.0,1,LECU,1,LECU,1,2022-02-14 11:53:59,,12,1
992775179290487,718561693290487,2020,13,3,133,43.0,2.0,1,LECU,1,LECU,1,2022-02-14 11:53:59,,12,1
992775180290487,718561693290487,2020,13,3,133,43.0,3.0,1,LECU,1,LECU,1,2022-02-14 11:53:59,,12,1
992775181290487,718561693290487,2020,13,3,133,43.0,4.0,1,LECU,1,LECU,1,2022-02-14 11:53:59,,12,1
992775182290487,718561693290487,2020,13,3,133,43.0,1.0,1,LOJA,1,LOJA,2,2022-02-14 11:53:59,,12,1
992775183290487,718561693290487,2020,13,3,133,43.0,2.0,1,LOJA,1,LOJA,20,2022-02-14 11:53:59,,12,1
992775184290487,718561693290487,2020,13,3,133,43.0,3.0,1,LOJA,1,LOJA,3,2022-02-14 11:53:59,,12,1
992775185290487,718561693290487,2020,13,3,133,43.0,4.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775190290487,718561694290487,2020,13,3,133,14.0,1.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775191290487,718561694290487,2020,13,3,133,14.0,2.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775192290487,718561694290487,2020,13,3,133,14.0,3.0,1,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775193290487,718561694290487,2020,13,3,133,14.0,4.0,2,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775194290487,718561694290487,2020,13,3,133,14.0,2.0,1,LOJA,1,LOJA,4,2022-02-14 11:53:59,,12,1
992775195290487,718561694290487,2020,13,3,133,14.0,3.0,1,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775196290487,718561694290487,2020,13,3,133,14.0,4.0,2,LOJA,1,LOJA,1,2022-02-14 11:53:59,,12,1
992775205290487,718561696290487,2020,13,3,211,19.0,1.0,1,LIGUS2,1,LIGUS2,2,2022-02-14 11:53:59,,12,1
992775206290487,718561696290487,2020,13,3,211,19.0,2.0,2,LIGUS2,1,LIGUS2,1,2022-02-14 11:53:59,,12,1
992775207290487,718561696290487,2020,13,3,211,19.0,3.0,1,LIGUS2,1,LIGUS2,7,2022-02-14 11:53:59,,12,1
992775208290487,718561696290487,2020,13,3,211,19.0,4.0,1,LIGUS2,1,LIGUS2,3,2022-02-14 11:53:59,,12,1
992775209290487,718561696290487,2020,13,3,211,19.0,1.0,1,LOJA,1,LOJA,10,2022-02-14 11:53:59,,12,1
992775210290487,718561696290487,2020,13,3,211,19.0,2.0,2,LOJA,1,LOJA,3,2022-02-14 11:53:59,,12,1
992775211290487,718561696290487,2020,13,3,211,19.0,3.0,1,LOJA,1,LOJA,5,2022-02-14 11:53:59,,12,1
992775212290487,718561696290487,2020,13,3,211,19.0,4.0,1,LOJA,1,LOJA,3,2022-02-14 11:53:59,,12,1
