CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1219075670290487,497553033126144,2019,15,1,1,2609.0,2.0,1,HEGA,1,HEGA,1,2022-06-14 20:30:15,,3,0
1219075671290487,497553033126144,2019,15,1,1,2609.0,3.0,1,HEGA,1,HEGA,12,2022-06-14 20:30:15,,3,0
1219075672290487,497553033126144,2019,15,1,1,2609.0,4.0,1,HEGA,1,HEGA,3,2022-06-14 20:30:15,,3,0
1219075673290487,497553033126144,2019,15,1,1,2609.0,2.0,1,PATRM,1,PATRM,2,2022-06-14 20:30:15,,3,0
1219075674290487,497553033126144,2019,15,1,1,2609.0,2.0,1,RUELO,1,RUELO,1,2022-06-14 20:30:15,,3,0
1219075675290487,497553033126144,2019,15,1,1,2609.0,3.0,1,RUELO,1,RUELO,6,2022-06-14 20:30:15,,3,0
1219075825290487,497553037126144,2019,15,1,1,2614.0,3.0,1,CLHI3,1,CLHI3,1,2022-06-14 20:30:15,,3,0
1219075826290487,497553037126144,2019,15,1,1,2614.0,4.0,1,CLHI3,1,CLHI3,1,2022-06-14 20:30:15,,3,0
1219075827290487,497553037126144,2019,15,1,1,2614.0,1.0,1,MECA9,1,MECA9,38,2022-06-14 20:30:15,,3,0
1219075828290487,497553037126144,2019,15,1,1,2614.0,2.0,1,MECA9,1,MECA9,41,2022-06-14 20:30:15,,3,0
1219075829290487,497553037126144,2019,15,1,1,2614.0,3.0,1,MECA9,1,MECA9,33,2022-06-14 20:30:15,,3,0
1219075830290487,497553037126144,2019,15,1,1,2614.0,4.0,1,MECA9,1,MECA9,52,2022-06-14 20:30:15,,3,0
1219075831290487,497553037126144,2019,15,1,1,2614.0,1.0,1,PSCA,1,PSCA,86,2022-06-14 20:30:15,,3,0
1219075832290487,497553037126144,2019,15,1,1,2614.0,2.0,1,PSCA,1,PSCA,14,2022-06-14 20:30:15,,3,0
1219075833290487,497553037126144,2019,15,1,1,2614.0,3.0,1,PSCA,1,PSCA,56,2022-06-14 20:30:15,,3,0
1219075834290487,497553037126144,2019,15,1,1,2614.0,4.0,1,PSCA,1,PSCA,67,2022-06-14 20:30:15,,3,0
1219075964290487,497553038126144,2019,15,1,1,2615.0,1.0,1,HEGA,1,HEGA,30,2022-06-14 20:30:16,,3,0
1219075965290487,497553038126144,2019,15,1,1,2615.0,2.0,1,HEGA,1,HEGA,22,2022-06-14 20:30:16,,3,0
1219075966290487,497553038126144,2019,15,1,1,2615.0,3.0,1,HEGA,1,HEGA,11,2022-06-14 20:30:16,,3,0
1219075967290487,497553038126144,2019,15,1,1,2615.0,4.0,1,HEGA,1,HEGA,10,2022-06-14 20:30:16,,3,0
1219075968290487,497553038126144,2019,15,1,1,2615.0,1.0,1,PSCA,1,PSCA,12,2022-06-14 20:30:16,,3,0
1219075969290487,497553038126144,2019,15,1,1,2615.0,2.0,1,PSCA,1,PSCA,11,2022-06-14 20:30:16,,3,0
1219075970290487,497553038126144,2019,15,1,1,2615.0,3.0,1,PSCA,1,PSCA,2,2022-06-14 20:30:16,,3,0
1219075971290487,497553038126144,2019,15,1,1,2615.0,4.0,1,PSCA,1,PSCA,5,2022-06-14 20:30:16,,3,0
