CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
489656737126144,373687449489998,2017,19,1,5,20218.0,3.0,1,LOMA6,1,LOMA6,2,2017-10-31 14:02:35,,7,4
489656738126144,373687449489998,2017,19,1,5,20218.0,4.0,1,LOMA6,1,LOMA6,4,2017-10-31 14:02:35,,7,4
489656739126144,373687449489998,2017,19,1,5,20218.0,1.0,1,ROMU,1,ROMU,1,2017-10-31 14:02:35,,7,4
489656740126144,373687449489998,2017,19,1,5,20218.0,3.0,1,ROMU,1,ROMU,7,2017-10-31 14:02:35,,7,4
489656741126144,373687449489998,2017,19,1,5,20218.0,4.0,1,ROMU,1,ROMU,1,2017-10-31 14:02:35,,7,4
489659976126144,373687307489998,2017,19,1,97,20015.0,1.0,1,ALPE4,1,ALPE4,5,2017-10-31 14:02:55,,7,4
489659977126144,373687307489998,2017,19,1,97,20015.0,2.0,1,ALPE4,1,ALPE4,1,2017-10-31 14:02:55,,7,4
489659978126144,373687307489998,2017,19,1,97,20015.0,3.0,1,ALPE4,1,ALPE4,3,2017-10-31 14:02:55,,7,4
489659979126144,373687307489998,2017,19,1,97,20015.0,4.0,1,ALPE4,1,ALPE4,2,2017-10-31 14:02:55,,7,4
489659980126144,373687307489998,2017,19,1,97,20015.0,1.0,1,ROMU,1,ROMU,10,2017-10-31 14:02:55,,7,4
489659981126144,373687307489998,2017,19,1,97,20015.0,2.0,1,ROMU,1,ROMU,6,2017-10-31 14:02:55,,7,4
489659982126144,373687307489998,2017,19,1,97,20015.0,3.0,1,ROMU,1,ROMU,8,2017-10-31 14:02:55,,7,4
489659983126144,373687307489998,2017,19,1,97,20015.0,4.0,1,ROMU,1,ROMU,11,2017-10-31 14:02:55,,7,4
489660214126144,373687452489998,2017,19,1,43,20100.0,1.0,1,ALPE4,1,ALPE4,2,2017-10-31 14:02:56,,7,4
489660215126144,373687452489998,2017,19,1,43,20100.0,2.0,1,ALPE4,1,ALPE4,5,2017-10-31 14:02:56,,7,4
489660216126144,373687452489998,2017,19,1,43,20100.0,3.0,1,ALPE4,1,ALPE4,10,2017-10-31 14:02:56,,7,4
489660217126144,373687452489998,2017,19,1,43,20100.0,4.0,1,ALPE4,1,ALPE4,1,2017-10-31 14:02:56,,7,4
