CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
43175386010690,35371360010690,2009,16,3,29,86231.0,1.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:37:11,,2,6
43175387010690,35371360010690,2009,16,3,29,86231.0,2.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:37:11,,2,6
43175388010690,35371360010690,2009,16,3,29,86231.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:37:11,,2,6
43175389010690,35371360010690,2009,16,3,29,86231.0,4.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:37:11,,2,6
43169901010690,35372008010690,2009,16,1,55,85355.0,1.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169902010690,35372008010690,2009,16,1,55,85355.0,2.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169903010690,35372008010690,2009,16,1,55,85355.0,3.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169904010690,35372008010690,2009,16,1,55,85355.0,4.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169929010690,35372009010690,2009,16,1,55,87386.0,1.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169930010690,35372009010690,2009,16,1,55,87386.0,2.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169931010690,35372009010690,2009,16,1,55,87386.0,3.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43169932010690,35372009010690,2009,16,1,55,87386.0,4.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:26,,2,6
43168653010690,35372474010690,2009,16,1,79,81152.0,1.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:01,,2,6
43168654010690,35372474010690,2009,16,1,79,81152.0,4.0,1,CEBI2,1,CESTM,2,2011-08-23 17:35:01,,2,6
43168655010690,35372474010690,2009,16,1,79,81152.0,4.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:01,,2,6
43172732010690,35371788010690,2009,16,1,49,82071.0,4.0,1,CEBI2,1,CESTM,2,2011-08-23 17:36:19,,2,6
43170050010690,35372025010690,2009,16,1,55,86531.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:28,,2,6
43170078010690,35372027010690,2009,16,1,55,81515.0,3.0,2,LIDA,1,LIDA,2,2011-08-23 17:35:28,,2,6
43170079010690,35372027010690,2009,16,1,55,81515.0,2.0,2,CEBI2,1,CESTM,2,2011-08-23 17:35:28,,2,6
43170080010690,35372027010690,2009,16,1,55,81515.0,3.0,2,CEBI2,1,CESTM,2,2011-08-23 17:35:28,,2,6
43172911010690,35371806010690,2009,16,1,49,86858.0,4.0,1,SOAR2,1,SOAR2,2,2011-08-23 17:36:23,,2,6
43170181010690,35372048010690,2009,16,1,57,87145.0,1.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:30,,2,6
43170182010690,35372048010690,2009,16,1,57,87145.0,2.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:30,,2,6
43170183010690,35372048010690,2009,16,1,57,87145.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:30,,2,6
43170184010690,35372048010690,2009,16,1,57,87145.0,4.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:30,,2,6
43170200010690,35372050010690,2009,16,1,57,87614.0,1.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:31,,2,6
43170201010690,35372050010690,2009,16,1,57,87614.0,2.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:31,,2,6
43170202010690,35372050010690,2009,16,1,57,87614.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-23 17:35:31,,2,6
