CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222846066010661,102141103010661,2008,17,3,155,20004.0,3.0,3,ROMU,1,ROMU,3,2010-03-01 10:35:11,2012-02-28 07:06:58,6,3
222846043010661,102139267010661,2008,17,1,151,20200.0,1.0,1,LOJA,1,LOJA,60,2010-03-01 10:35:11,2012-02-28 07:12:00,6,3
222846044010661,102139267010661,2008,17,1,151,20200.0,2.0,1,LOJA,1,LOJA,15,2010-03-01 10:35:11,2012-02-28 07:12:00,6,3
222846045010661,102139267010661,2008,17,1,151,20200.0,4.0,1,LOJA,1,LOJA,20,2010-03-01 10:35:11,2012-02-28 07:12:00,6,3
222846031010661,102139270010661,2008,17,1,151,20038.0,1.0,1,LOJA,1,LOJA,5,2010-03-01 10:35:11,2012-02-28 07:06:00,6,3
222846035010661,102139270010661,2008,17,1,151,20038.0,1.0,1,MIVI,1,MIVI,1,2010-03-01 10:35:11,2012-02-28 07:06:57,6,3
222846039010661,102139270010661,2008,17,1,151,20038.0,1.0,1,ROMU,1,ROMU,5,2010-03-01 10:35:11,2012-02-28 07:06:00,6,3
222846032010661,102139270010661,2008,17,1,151,20038.0,2.0,1,LOJA,1,LOJA,1,2010-03-01 10:35:11,2012-02-28 07:06:42,6,3
222846036010661,102139270010661,2008,17,1,151,20038.0,2.0,1,MIVI,1,MIVI,10,2010-03-01 10:35:11,2012-02-28 07:05:47,6,3
222846040010661,102139270010661,2008,17,1,151,20038.0,2.0,1,ROMU,1,ROMU,8,2010-03-01 10:35:11,2012-02-28 07:06:27,6,3
222846033010661,102139270010661,2008,17,1,151,20038.0,3.0,1,LOJA,1,LOJA,2,2010-03-01 10:35:11,2012-02-28 07:07:27,6,3
222846037010661,102139270010661,2008,17,1,151,20038.0,3.0,1,MIVI,1,MIVI,60,2010-03-01 10:35:11,2012-02-28 07:06:00,6,3
222846041010661,102139270010661,2008,17,1,151,20038.0,3.0,1,ROMU,1,ROMU,20,2010-03-01 10:35:11,2012-02-28 07:06:00,6,3
222846034010661,102139270010661,2008,17,1,151,20038.0,4.0,1,LOJA,1,LOJA,3,2010-03-01 10:35:11,2012-02-28 07:06:00,6,3
222846038010661,102139270010661,2008,17,1,151,20038.0,4.0,1,MIVI,1,MIVI,1,2010-03-01 10:35:11,2012-02-28 07:07:12,6,3
222846042010661,102139270010661,2008,17,1,151,20038.0,4.0,1,ROMU,1,ROMU,2,2010-03-01 10:35:11,2012-02-28 07:07:27,6,3
222845989010661,102141610010661,2008,17,2,83,20068.0,3.0,1,ROMU,1,ROMU,1,2010-03-01 10:35:11,2012-02-28 07:05:47,6,3
222845985010661,102141610010661,2008,17,2,83,20068.0,4.0,1,LOMA6,1,LOMA6,8,2010-03-01 10:35:11,2012-02-28 07:07:28,6,3
222845982010661,102141610010661,2008,17,2,83,20068.0,1.0,1,LOMA6,1,LOMA6,25,2010-03-01 10:35:11,2012-02-28 07:07:12,6,3
