CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222847076010661,102151156010661,2008,18,2,37,20042.0,3.0,1,MIVI,1,MIVI,2,2010-03-01 10:40:01,2012-02-28 07:06:01,6,5
222847080010661,102151156010661,2008,18,2,37,20042.0,3.0,1,ROMU,1,ROMU,2,2010-03-01 10:40:01,2012-02-28 07:06:43,6,5
222847077010661,102151156010661,2008,18,2,37,20042.0,4.0,1,MIVI,1,MIVI,1,2010-03-01 10:40:01,2012-02-29 11:15:30,6,5
222847081010661,102151156010661,2008,18,2,37,20042.0,4.0,1,ROMU,1,ROMU,28,2010-03-01 10:40:01,2012-02-28 07:06:15,6,5
222847101010661,102153106010661,2008,18,1,55,20060.0,1.0,1,ROMU,1,ROMU,20,2010-03-01 10:40:01,2012-02-28 07:13:46,6,5
222847102010661,102153106010661,2008,18,1,55,20060.0,2.0,1,ROMU,1,ROMU,70,2010-03-01 10:40:01,2012-02-28 07:13:46,6,5
222847098010661,102153106010661,2008,18,1,55,20060.0,3.0,1,ELUM,1,ELUM,1,2010-03-01 10:40:01,2012-02-28 07:12:23,6,5
222847103010661,102153106010661,2008,18,1,55,20060.0,3.0,1,ROMU,1,ROMU,15,2010-03-01 10:40:01,2012-02-28 07:13:46,6,5
222847099010661,102153106010661,2008,18,1,55,20060.0,4.0,1,LOJA,1,LOJA,5,2010-03-01 10:40:01,2012-02-28 07:13:46,6,5
222847100010661,102153106010661,2008,18,1,55,20060.0,4.0,1,MIVI,1,MIVI,3,2010-03-01 10:40:01,2012-02-28 07:13:46,6,5
222847104010661,102153106010661,2008,18,1,55,20060.0,4.0,1,ROMU,1,ROMU,25,2010-03-01 10:40:01,2012-02-28 07:13:46,6,5
222847235010661,102155449010661,2008,18,2,123,10226.0,1.0,1,ROMU,1,ROMU,2,2010-03-01 10:40:02,2012-02-28 07:14:43,6,5
222847091010661,102152303010661,2008,18,1,51,20101.0,1.0,1,MIVI,1,MIVI,3,2010-03-01 10:40:01,2012-02-28 07:12:00,6,5
222847092010661,102152303010661,2008,18,1,51,20101.0,2.0,1,MIVI,1,MIVI,2,2010-03-01 10:40:01,2012-02-28 07:12:00,6,5
222847093010661,102152303010661,2008,18,1,51,20101.0,3.0,1,MIVI,1,MIVI,1,2010-03-01 10:40:01,2012-02-28 07:12:00,6,5
222847094010661,102152303010661,2008,18,1,51,20101.0,4.0,1,MIVI,1,MIVI,2,2010-03-01 10:40:01,2012-02-28 07:12:00,6,5
222847236010661,102155461010661,2008,18,2,123,10228.0,2.0,2,CEOR7,1,CEOR7,15,2010-03-01 10:40:02,2012-02-28 07:12:23,6,5
222847237010661,102155461010661,2008,18,2,123,10228.0,2.0,2,ELAN,1,ELAN,5,2010-03-01 10:40:02,2012-02-28 07:12:51,6,5
222847238010661,102155461010661,2008,18,2,123,10228.0,2.0,2,LOJA,1,LOJA,40,2010-03-01 10:40:02,2012-02-28 07:13:46,6,5
222847239010661,102155461010661,2008,18,2,123,10228.0,2.0,2,ROMU,1,ROMU,10,2010-03-01 10:40:02,2012-02-28 07:14:44,6,5
222847240010661,102155461010661,2008,18,2,123,10228.0,2.0,2,ROPS,1,ROPS,20,2010-03-01 10:40:02,2012-02-28 07:12:00,6,5
222847043010661,102151949010661,2008,18,1,21,20006.0,1.0,1,LOJA,1,LOJA,4,2010-03-01 10:40:01,2012-02-28 07:06:02,6,5
222847047010661,102151949010661,2008,18,1,21,20006.0,1.0,1,LYNU,1,LYNU,8,2010-03-01 10:40:01,2012-02-28 07:07:29,6,5
222847050010661,102151949010661,2008,18,1,21,20006.0,1.0,1,ROMU,1,ROMU,4,2010-03-01 10:40:01,2012-02-28 07:06:43,6,5
222847044010661,102151949010661,2008,18,1,21,20006.0,2.0,1,LOJA,1,LOJA,1,2010-03-01 10:40:01,2012-02-29 11:15:33,6,5
