CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1290149848290487,719871487290487,2021,20,1,209,20207.0,2.0,1,ELUM,1,ELUM,5,2023-03-06 14:06:03,,8,6
1290149849290487,719871487290487,2021,20,1,209,20207.0,4.0,2,ELUM,1,ELUM,5,2023-03-06 14:06:03,,8,6
1290149850290487,719871487290487,2021,20,1,209,20207.0,2.0,1,LOJA,1,LOJA,4,2023-03-06 14:06:03,,8,6
1290149851290487,719871487290487,2021,20,1,209,20207.0,1.0,1,LOMA6,1,LOMA6,20,2023-03-06 14:06:03,,8,6
1290149852290487,719871487290487,2021,20,1,209,20207.0,2.0,1,LOMA6,1,LOMA6,40,2023-03-06 14:06:03,,8,6
1290149853290487,719871487290487,2021,20,1,209,20207.0,3.0,2,LOMA6,1,LOMA6,70,2023-03-06 14:06:03,,8,6
1290149854290487,719871487290487,2021,20,1,209,20207.0,4.0,2,LOMA6,1,LOMA6,6,2023-03-06 14:06:03,,8,6
1290149855290487,719871487290487,2021,20,1,209,20207.0,2.0,1,ROMU,1,ROMU,1,2023-03-06 14:06:03,,8,6
1290147716290487,719871572290487,2021,20,2,133,20302.0,1.0,1,ULPU,1,ULPU,8,2023-03-06 14:05:56,,8,6
1290147717290487,719871572290487,2021,20,2,133,20302.0,4.0,1,ULPU,1,ULPU,15,2023-03-06 14:05:56,,8,6
1290146536290487,719871143290487,2021,20,3,157,20212.0,2.0,1,ALPE4,1,ALPE4,1,2023-03-06 14:05:52,,8,6
1290146537290487,719871143290487,2021,20,3,157,20212.0,3.0,1,ALPE4,1,ALPE4,1,2023-03-06 14:05:52,,8,6
1290146538290487,719871143290487,2021,20,3,157,20212.0,4.0,1,ALPE4,1,ALPE4,1,2023-03-06 14:05:52,,8,6
1290146539290487,719871143290487,2021,20,3,157,20212.0,3.0,1,CIVU,1,CIVU,1,2023-03-06 14:05:52,,8,6
1290146535290487,719871143290487,2021,20,3,157,20212.0,1.0,1,ALPE4,1,ALPE4,1,2023-03-06 14:05:52,,8,6
1290144253290487,719871250290487,2021,20,2,17,20418.0,2.0,2,ALPE4,1,ALPE4,1,2023-03-06 14:05:30,,8,6
