CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1232703384290487,733771938290487,2019,22,2,23,13.0,3.0,1,LOJA,1,LOJA,1,2022-08-09 10:51:35,,9,4
1232703385290487,733771938290487,2019,22,2,23,13.0,4.0,1,LOJA,1,LOJA,3,2022-08-09 10:51:35,,9,4
1232703386290487,733771938290487,2019,22,2,23,13.0,1.0,1,LYJA,1,LYJA,1,2022-08-09 10:51:35,,9,4
1232703387290487,733771938290487,2019,22,2,23,13.0,3.0,1,LYJA,1,LYJA,3,2022-08-09 10:51:35,,9,4
1232703388290487,733771938290487,2019,22,2,23,13.0,4.0,1,LYJA,1,LYJA,1,2022-08-09 10:51:35,,9,4
1232703389290487,733771938290487,2019,22,2,23,13.0,1.0,1,ROSA5,1,ROSA5,45,2022-08-09 10:51:35,,9,4
1232703390290487,733771938290487,2019,22,2,23,13.0,3.0,1,ROSA5,1,ROSA5,55,2022-08-09 10:51:35,,9,4
1232703391290487,733771938290487,2019,22,2,23,13.0,4.0,1,ROSA5,1,ROSA5,45,2022-08-09 10:51:35,,9,4
1232703392290487,733771938290487,2019,22,2,23,13.0,1.0,1,TRSE6,1,TRSE6,20,2022-08-09 10:51:35,,9,4
1232703393290487,733771938290487,2019,22,2,23,13.0,3.0,1,TRSE6,1,TRSE6,3,2022-08-09 10:51:35,,9,4
499162685126144,259084523010854,2011,22,3,3,44.0,3.0,1,LYJA,1,LYJA,5,2018-01-25 14:36:29,2018-03-29 14:57:21,8,3
499162686126144,259084523010854,2011,22,3,3,44.0,4.0,1,TRSE6,1,TRSE6,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162687126144,259084523010854,2011,22,3,3,44.0,4.0,1,LIGUS2,1,LIGUS2,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162688126144,259084523010854,2011,22,3,3,44.0,4.0,1,LOJA,1,LOJA,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162689126144,259084523010854,2011,22,3,3,44.0,4.0,1,LYJA,1,LYJA,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162690126144,259084530010854,2011,22,5,21,21.0,3.0,1,LIGUS2,1,LIGUS2,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162691126144,259084530010854,2011,22,5,21,21.0,3.0,2,LIGUS2,1,LIGUS2,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162692126144,259084531010854,2011,22,5,21,28.0,3.0,1,LOJA,1,LOJA,1,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162693126144,259084531010854,2011,22,5,21,28.0,4.0,1,LOJA,1,LOJA,1,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162694126144,259084531010854,2011,22,5,21,28.0,4.0,1,LYJA,1,LYJA,1,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
499162695126144,259084533010854,2011,22,3,59,13.0,1.0,1,LOJA,1,LOJA,5,2018-01-25 14:36:29,2018-03-29 14:57:19,8,3
