CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
248068009010661,168976388010661,2010,25,1,21,1197.0,4.0,1,FRAL4,1,FRAL4,1,2011-04-26 10:58:00,,6,3
248068010010661,168976388010661,2010,25,1,21,1197.0,4.0,1,POCU6,1,POCU6,1,2011-04-26 10:58:00,,6,3
248068011010661,168976388010661,2010,25,1,21,1197.0,1.0,1,RHCA3,1,RHCA3,2,2011-04-26 10:58:00,,6,3
248068012010661,168976388010661,2010,25,1,21,1197.0,4.0,1,RHCA3,1,RHCA3,1,2011-04-26 10:58:00,,6,3
248068013010661,168976388010661,2010,25,1,21,1197.0,1.0,1,ROMU,1,ROMU,1,2011-04-26 10:58:00,,6,3
248068014010661,168976388010661,2010,25,1,21,1197.0,4.0,1,ROMU,1,ROMU,1,2011-04-26 10:58:00,,6,3
248067959010661,168976390010661,2010,25,1,5,353.0,2.0,2,ACPL,1,ACPL,35,2011-04-26 10:58:00,,6,3
248067960010661,168976390010661,2010,25,1,5,353.0,2.0,2,ALPE4,1,ALPE4,65,2011-04-26 10:58:00,,6,3
248067961010661,168976390010661,2010,25,1,5,353.0,2.0,2,CEOR7,1,CEOR7,10,2011-04-26 10:58:00,,6,3
248067962010661,168976390010661,2010,25,1,5,353.0,2.0,2,LONIC,1,LONIC,25,2011-04-26 10:58:00,,6,3
248067963010661,168976390010661,2010,25,1,5,353.0,2.0,2,ROMU,1,ROMU,20,2011-04-26 10:58:00,,6,3
248067965010661,168976751010661,2010,25,1,11,546.0,2.0,1,ELAN,1,ELAN,1,2011-04-26 10:58:00,,6,3
248067966010661,168976751010661,2010,25,1,11,546.0,1.0,1,LOMO2,1,LOMO2,5,2011-04-26 10:58:00,,6,3
248067967010661,168976751010661,2010,25,1,11,546.0,2.0,1,LOMO2,1,LOMO2,6,2011-04-26 10:58:00,,6,3
248067968010661,168976751010661,2010,25,1,11,546.0,3.0,1,LOMO2,1,LOMO2,2,2011-04-26 10:58:00,,6,3
248067969010661,168976751010661,2010,25,1,11,546.0,2.0,1,RHCA3,1,RHCA3,5,2011-04-26 10:58:00,,6,3
29989808020004,221353928010661,2011,25,1,27,1169.0,1.0,1,PHAR3,1,PHAR3,30,2012-02-28 08:13:44,,6,4
29989809020004,221353928010661,2011,25,1,27,1169.0,2.0,1,PHAR3,1,PHAR3,30,2012-02-28 08:13:44,,6,4
29989810020004,221353928010661,2011,25,1,27,1169.0,3.0,1,PHAR3,1,PHAR3,25,2012-02-28 08:13:44,,6,4
29989811020004,221353928010661,2011,25,1,27,1169.0,4.0,1,PHAR3,1,PHAR3,10,2012-02-28 08:13:44,,6,4
29989915020004,221353978010661,2011,25,1,17,25.0,3.0,2,CEOR7,1,CEOR7,4,2012-02-28 08:13:47,,6,4
29989916020004,221353978010661,2011,25,1,17,25.0,4.0,2,CEOR7,1,CEOR7,40,2012-02-28 08:13:47,,6,4
29989917020004,221353978010661,2011,25,1,17,25.0,4.0,2,LOMO2,1,LOMO2,20,2012-02-28 08:13:47,,6,4
29989918020004,221353978010661,2011,25,1,17,25.0,4.0,2,RHCA3,1,RHCA3,15,2012-02-28 08:13:47,,6,4
29989919020004,221353978010661,2011,25,1,17,25.0,4.0,2,ROMU,1,ROMU,2,2012-02-28 08:13:47,,6,4
29989990020004,221354012010661,2011,25,1,21,853.0,2.0,1,BETH,1,BETH,3,2012-02-28 08:13:49,,6,4
29989991020004,221354012010661,2011,25,1,21,853.0,1.0,1,CEOR7,1,CEOR7,1,2012-02-28 08:13:49,,6,4
29989992020004,221354012010661,2011,25,1,21,853.0,2.0,1,CEOR7,1,CEOR7,2,2012-02-28 08:13:49,,6,4
29989993020004,221354012010661,2011,25,1,21,853.0,4.0,1,CEOR7,1,CEOR7,1,2012-02-28 08:13:49,,6,4
29989994020004,221354012010661,2011,25,1,21,853.0,1.0,1,FRAL4,1,FRAL4,15,2012-02-28 08:13:49,,6,4
29989995020004,221354012010661,2011,25,1,21,853.0,2.0,1,FRAL4,1,FRAL4,40,2012-02-28 08:13:49,,6,4
29989996020004,221354012010661,2011,25,1,21,853.0,3.0,1,FRAL4,1,FRAL4,4,2012-02-28 08:13:49,,6,4
29989997020004,221354012010661,2011,25,1,21,853.0,4.0,1,FRAL4,1,FRAL4,15,2012-02-28 08:13:49,,6,4
29989998020004,221354012010661,2011,25,1,21,853.0,1.0,1,LOBE,1,LOBE,5,2012-02-28 08:13:49,,6,4
29989999020004,221354012010661,2011,25,1,21,853.0,2.0,1,LOBE,1,LOBE,2,2012-02-28 08:13:49,,6,4
248067972010661,168976506010661,2010,25,1,11,1270.0,3.0,2,BETH,1,BETH,1,2011-04-26 10:58:00,,6,3
222850230010661,122556193010661,2007,25,1,1,423.0,1.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:57:17,2012-02-28 07:13:44,5,5
222850271010661,122556333010661,2007,25,1,17,885.0,1.0,1,FRAL4,1,FRAL4,10,2010-03-01 10:57:17,2012-02-28 07:13:44,5,5
