CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222850007010661,122557087010661,2007,24,4,19,1052.0,1.0,1,PHAU7,1,PHAU7,85,2010-03-01 10:53:47,2012-02-28 07:13:43,6,4
222850008010661,122557087010661,2007,24,4,19,1052.0,2.0,1,PHAU7,1,PHAU7,98,2010-03-01 10:53:47,2012-02-28 07:13:43,6,4
222850009010661,122557087010661,2007,24,4,19,1052.0,3.0,1,PHAU7,1,PHAU7,98,2010-03-01 10:53:47,2012-02-28 07:13:43,6,4
222850010010661,122557087010661,2007,24,4,19,1052.0,4.0,1,PHAU7,1,PHAU7,95,2010-03-01 10:53:47,2012-02-28 07:13:43,6,4
222850018010661,122558326010661,2007,24,2,21,1477.0,1.0,1,2SHRUB,3,ROMU,5,2010-03-01 10:53:47,2012-02-28 07:02:38,6,4
222850021010661,122558326010661,2007,24,2,21,1477.0,1.0,1,BETH,1,BETH,1,2010-03-01 10:53:47,2012-02-29 11:15:33,6,4
222850019010661,122558326010661,2007,24,2,21,1477.0,2.0,1,2SHRUB,3,ROMU,5,2010-03-01 10:53:47,2012-02-28 07:02:52,6,4
222850022010661,122558326010661,2007,24,2,21,1477.0,2.0,1,BETH,1,BETH,1,2010-03-01 10:53:47,2012-02-28 07:05:44,6,4
222850020010661,122558326010661,2007,24,2,21,1477.0,3.0,1,AIAL,1,AIAL,10,2010-03-01 10:53:47,2012-02-28 07:06:39,6,4
222850023010661,122558326010661,2007,24,2,21,1477.0,3.0,1,BETH,1,BETH,4,2010-03-01 10:53:47,2012-02-28 07:05:44,6,4
222850024010661,122558326010661,2007,24,2,21,1477.0,4.0,1,BETH,1,BETH,1,2010-03-01 10:53:47,2012-02-29 11:15:30,6,4
222850055010661,122557149010661,2007,24,3,37,1202.0,4.0,1,ROMU,1,ROMU,1,2010-03-01 10:53:48,2012-02-28 07:14:12,6,4
222850056010661,122557149010661,2007,24,3,37,1202.0,4.0,1,ROPS,1,ROPS,1,2010-03-01 10:53:48,2012-02-28 07:14:41,6,4
222850072010661,122557013010661,2007,24,4,47,214.0,2.0,1,MIVI,1,MIVI,1,2010-03-01 10:53:48,2012-02-28 07:12:21,6,4
222850059010661,122558352010661,2007,24,2,43,314.0,1.0,1,POBO10,1,POBO10,1,2010-03-01 10:53:48,2012-02-28 07:14:37,6,4
222850063010661,122558352010661,2007,24,2,43,314.0,1.0,1,ROMU,1,ROMU,1,2010-03-01 10:53:48,2012-02-28 07:12:19,6,4
222850058010661,122558352010661,2007,24,2,43,314.0,2.0,1,MIVI,1,MIVI,1,2010-03-01 10:53:48,2012-02-28 07:12:19,6,4
222850035010661,122558280010661,2007,24,2,31,1153.0,4.0,1,LOTA,1,LOTA,70,2010-03-01 10:53:47,2012-02-28 07:13:45,6,4
222850060010661,122558352010661,2007,24,2,43,314.0,2.0,1,POBO10,1,POBO10,2,2010-03-01 10:53:48,2012-02-28 07:14:37,6,4
222850064010661,122558352010661,2007,24,2,43,314.0,2.0,1,ROMU,1,ROMU,5,2010-03-01 10:53:48,2012-02-28 07:12:19,6,4
222850061010661,122558352010661,2007,24,2,43,314.0,3.0,1,POBO10,1,POBO10,1,2010-03-01 10:53:48,2012-02-28 07:14:37,6,4
222850057010661,122558352010661,2007,24,2,43,314.0,4.0,1,ALPE4,1,ALPE4,2,2010-03-01 10:53:48,2012-02-28 07:13:40,6,4
222850062010661,122558352010661,2007,24,2,43,314.0,4.0,1,POBO10,1,POBO10,2,2010-03-01 10:53:48,2012-02-28 07:14:37,6,4
222850065010661,122558352010661,2007,24,2,43,314.0,4.0,1,ROMU,1,ROMU,5,2010-03-01 10:53:48,2012-02-28 07:12:19,6,4
222850025010661,122558392010661,2007,24,5,23,296.0,2.0,1,BETH,1,BETH,10,2010-03-01 10:53:47,2012-02-28 07:11:34,6,4
222850027010661,122558392010661,2007,24,5,23,296.0,2.0,1,MIVI,1,MIVI,5,2010-03-01 10:53:47,2012-02-28 07:11:58,6,4
222850026010661,122558392010661,2007,24,5,23,296.0,3.0,1,BETH,1,BETH,5,2010-03-01 10:53:47,2012-02-28 07:11:34,6,4
222850028010661,122558392010661,2007,24,5,23,296.0,3.0,1,MIVI,1,MIVI,3,2010-03-01 10:53:47,2012-02-28 07:11:58,6,4
222850069010661,122558354010661,2007,24,2,43,939.0,2.0,2,2PLANT,6,ALPE4,1,2010-03-01 10:53:48,2012-02-29 11:15:30,6,4
