CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222849519010661,75976423010538,2007,23,6,11,2213.0,4.0,1,LONIC,1,LOMO2,3,2010-03-01 10:49:27,2012-02-28 07:02:51,6,4
222849513010661,75976713010538,2007,23,8,5,2469.0,1.0,1,FRAL4,1,FRAL4,2,2010-03-01 10:49:27,2012-02-28 07:06:12,6,4
222849514010661,75976713010538,2007,23,8,5,2469.0,2.0,1,FRAL4,1,FRAL4,85,2010-03-01 10:49:27,2012-02-28 07:07:10,6,4
222849516010661,75976713010538,2007,23,8,5,2469.0,2.0,1,LONIC,1,LONIC,2,2010-03-01 10:49:27,2012-02-28 07:03:03,6,4
222849515010661,75976713010538,2007,23,8,5,2469.0,3.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:49:27,2012-02-29 11:15:33,6,4
222849538010661,75976585010538,2007,23,7,25,2501.0,1.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:49:27,2012-02-28 07:06:12,6,4
222849539010661,75976585010538,2007,23,7,25,2501.0,2.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:49:27,2012-02-28 07:07:25,6,4
222849540010661,75976585010538,2007,23,7,25,2501.0,3.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:49:27,2012-02-28 07:06:40,6,4
222849502010661,75975999010538,2007,23,2,3,2088.0,2.0,2,CIAR4,1,CIAR4,1,2010-03-01 10:49:27,2012-02-29 11:15:28,6,4
222849503010661,75975999010538,2007,23,2,3,2088.0,3.0,2,LOMO2,1,LOMO2,7,2010-03-01 10:49:27,2012-02-28 07:06:40,6,4
222849504010661,75975999010538,2007,23,2,3,2088.0,3.0,2,PHAR3,1,PHAR3,2,2010-03-01 10:49:27,2012-02-28 07:06:12,6,4
222849496010661,75975731010538,2007,23,2,3,2659.0,1.0,1,PHAR3,1,PHAR3,3,2010-03-01 10:49:27,2012-02-28 07:11:53,6,4
222849500010661,75975991010538,2007,23,2,3,2043.0,4.0,1,CIVU,1,CIVU,1,2010-03-01 10:49:27,2012-02-29 11:15:28,6,4
222849510010661,75976701010538,2007,23,8,5,2386.0,1.0,1,ROMU,1,ROMU,12,2010-03-01 10:49:27,2012-02-28 07:11:53,6,4
234803229010661,75976701010538,2007,23,8,5,2386.0,1.0,2,ROMU,1,ROMU,3,2010-03-01 10:49:27,2012-02-28 07:11:53,6,4
222849507010661,75976701010538,2007,23,8,5,2386.0,2.0,2,CEOR7,1,CEOR7,3,2010-03-01 10:49:27,2012-02-28 07:12:44,6,4
222849511010661,75976701010538,2007,23,8,5,2386.0,2.0,2,ROMU,1,ROMU,18,2010-03-01 10:49:27,2012-02-28 07:11:53,6,4
222849506010661,75976701010538,2007,23,8,5,2386.0,3.0,1,BETH,1,BETH,1,2010-03-01 10:49:27,2012-02-28 07:12:16,6,4
222849508010661,75976701010538,2007,23,8,5,2386.0,3.0,1,CEOR7,1,CEOR7,55,2010-03-01 10:49:27,2012-02-28 07:12:44,6,4
222849509010661,75976701010538,2007,23,8,5,2386.0,4.0,1,CEOR7,1,CEOR7,40,2010-03-01 10:49:27,2012-02-28 07:12:44,6,4
222849512010661,75976701010538,2007,23,8,5,2386.0,4.0,1,ROMU,1,ROMU,5,2010-03-01 10:49:27,2012-02-28 07:11:53,6,4
222849524010661,75976085010538,2007,23,3,19,2581.0,3.0,1,LOMO2,1,LOMO2,1,2010-03-01 10:49:27,2012-02-28 07:12:16,6,4
222849568010661,107545236010661,2008,23,6,13,3015.0,1.0,1,CIAR4,1,CIAR4,1,2010-03-01 10:49:35,2012-02-28 07:12:52,6,5
222849569010661,107545236010661,2008,23,6,13,3015.0,2.0,1,FRAL4,1,FRAL4,2,2010-03-01 10:49:35,2012-02-28 07:12:00,6,5
222849570010661,107545236010661,2008,23,6,13,3015.0,3.0,1,FRAL4,1,FRAL4,5,2010-03-01 10:49:35,2012-02-28 07:12:00,6,5
222849582010661,107545388010661,2008,23,3,19,3480.0,2.0,1,CIAR4,1,CIAR4,1,2010-03-01 10:49:35,2012-02-29 11:15:30,6,5
222849583010661,107545388010661,2008,23,3,19,3480.0,2.0,1,PHAR3,1,PHAR3,8,2010-03-01 10:49:35,2012-02-28 07:06:04,6,5
222849584010661,107545388010661,2008,23,3,19,3480.0,4.0,1,PHAR3,1,PHAR3,1,2010-03-01 10:49:35,2012-02-29 11:15:33,6,5
222849567010661,107545408010661,2008,23,6,13,3513.0,1.0,1,LONIC,1,LONIC,5,2010-03-01 10:49:35,2012-02-28 07:13:46,6,5
222849554010661,107545880010661,2008,23,8,1,2739.0,2.0,1,LONIC,1,LONIC,1,2010-03-01 10:49:35,2012-02-28 07:11:39,6,5
222849607010661,107545670010661,2008,23,7,25,2838.0,1.0,1,LOMO2,1,LOMO2,5,2010-03-01 10:49:35,2012-02-28 07:13:46,6,5
222849608010661,107545670010661,2008,23,7,25,2838.0,1.0,1,RHCA3,1,RHCA3,15,2010-03-01 10:49:35,2012-02-28 07:13:20,6,5
222849609010661,107545670010661,2008,23,7,25,2838.0,2.0,1,RHCA3,1,RHCA3,5,2010-03-01 10:49:35,2012-02-28 07:13:20,6,5
222849594010661,107545566010661,2008,23,8,23,3285.0,1.0,1,LONIC,1,LONIC,5,2010-03-01 10:49:35,2012-02-28 07:12:52,6,5
222849622010661,107545588010661,2008,23,8,31,3691.0,1.0,1,BETH,1,BETH,2,2010-03-01 10:49:35,2012-02-28 07:06:31,6,5
222849624010661,107545588010661,2008,23,8,31,3691.0,3.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:49:35,2012-02-28 07:07:16,6,5
222849623010661,107545588010661,2008,23,8,31,3691.0,4.0,1,BETH,1,BETH,1,2010-03-01 10:49:35,2012-02-28 07:06:46,6,5
222849625010661,107545588010661,2008,23,8,31,3691.0,4.0,1,FRAL4,1,FRAL4,1,2010-03-01 10:49:35,2012-02-28 07:06:18,6,5
152864419020004,107545588010661,2008,23,8,31,3691.0,1.0,1,CEOR,1,CEOR7,2,2012-12-07 10:11:45,,6,5
222849557010661,107545468010661,2008,23,2,3,3120.0,1.0,1,LOMA6,1,LOMA6,3,2010-03-01 10:49:35,2012-02-28 07:12:36,6,5
222849558010661,107545468010661,2008,23,2,3,3120.0,2.0,1,LOMA6,1,LOMA6,1,2010-03-01 10:49:35,2012-02-28 07:12:36,6,5
222849559010661,107545468010661,2008,23,2,3,3120.0,3.0,1,LOMA6,1,LOMA6,3,2010-03-01 10:49:35,2012-02-28 07:12:36,6,5
222849560010661,107545468010661,2008,23,2,3,3120.0,4.0,1,LOMA6,1,LOMA6,10,2010-03-01 10:49:35,2012-02-28 07:12:36,6,5
222849565010661,107545704010661,2008,23,8,5,3270.0,3.0,1,BETH,1,BETH,1,2010-03-01 10:49:35,2012-02-28 07:14:15,6,5
222849571010661,107545862010661,2008,23,9,17,3475.0,4.0,1,CIVU,1,CIVU,1,2010-03-01 10:49:35,2012-02-28 07:12:24,6,5
222849572010661,107545862010661,2008,23,9,17,3475.0,4.0,1,LONIC,1,LONIC,2,2010-03-01 10:49:35,2012-02-28 07:13:46,6,5
222849573010661,107545862010661,2008,23,9,17,3475.0,4.0,1,POCU6,1,POCU6,1,2010-03-01 10:49:35,2012-02-28 07:12:24,6,5
222849606010661,107546148010661,2008,23,7,25,3121.0,3.0,1,PHAR3,1,PHAR3,2,2010-03-01 10:49:35,2012-02-28 07:05:52,6,5
222849595010661,107545556010661,2008,23,8,23,3410.0,1.0,1,LONIC,1,LONIC,1,2010-03-01 10:49:35,2012-02-28 07:11:40,6,5
222849596010661,107545556010661,2008,23,8,23,3410.0,2.0,1,LONIC,1,LONIC,4,2010-03-01 10:49:35,2012-02-28 07:11:40,6,5
222849597010661,107545556010661,2008,23,8,23,3410.0,3.0,1,LONIC,1,LONIC,45,2010-03-01 10:49:35,2012-02-28 07:11:40,6,5
222849598010661,107545556010661,2008,23,8,23,3410.0,4.0,1,LONIC,1,LONIC,10,2010-03-01 10:49:35,2012-02-28 07:11:40,6,5
14127396020004,222518305010661,2011,23,2,3,1502.0,3.0,1,PHAR3,1,PHAR3,1,2012-01-03 08:17:45,,7,3
14127397020004,222518305010661,2011,23,2,3,1502.0,4.0,1,PHAR3,1,PHAR3,1,2012-01-03 08:17:45,,7,3
14127479020004,222518343010661,2011,23,8,31,1570.0,2.0,1,FRAL4,1,FRAL4,1,2012-01-03 08:17:48,,7,3
14127480020004,222518343010661,2011,23,8,31,1570.0,4.0,1,FRAL4,1,FRAL4,1,2012-01-03 08:17:48,,7,3
14127578020004,222518387010661,2011,23,6,11,1323.0,1.0,1,ROMU,1,ROMU,1,2012-01-03 08:17:51,,7,3
14127712020004,222518451010661,2011,23,3,19,1633.0,1.0,1,LOTA,1,LOTA,5,2012-01-03 08:17:58,,7,3
14125638020004,222518155010661,2011,23,8,1,1732.0,3.0,2,CEOR7,1,CEOR7,1,2012-01-03 08:17:31,,7,3
14125639020004,222518155010661,2011,23,8,1,1732.0,3.0,2,ELUM,1,ELUM,7,2012-01-03 08:17:31,,7,3
14125731020004,222518197010661,2011,23,5,21,782.0,3.0,1,PHAR3,1,PHAR3,2,2012-01-03 08:17:35,,7,3
14124285020004,222517493010661,2011,23,6,15,1475.0,2.0,1,BETH,1,BETH,2,2012-01-03 08:16:23,,7,3
169620052020004,247056632010661,2012,23,8,5,2469.0,2.0,1,FRAL4,1,FRAL4,15,2013-01-17 07:29:18,,7,4
169620053020004,247056632010661,2012,23,8,5,2469.0,3.0,1,FRAL4,1,FRAL4,3,2013-01-17 07:29:18,,7,4
169620229020004,247056674010661,2012,23,2,3,2493.0,1.0,1,CIAR4,1,CIAR4,4,2013-01-17 07:29:26,,7,4
169619606020004,247056527010661,2012,23,2,3,2088.0,1.0,2,CIAR4,1,CIAR4,1,2013-01-17 07:28:57,,7,4
14124585020004,222517639010661,2011,23,9,7,1008.0,1.0,1,PHAR3,1,PHAR3,20,2012-01-03 08:16:40,,7,3
14124586020004,222517639010661,2011,23,9,7,1008.0,2.0,1,PHAR3,1,PHAR3,5,2012-01-03 08:16:40,,7,3
14124905020004,222517797010661,2011,23,2,3,1118.0,1.0,1,CIAR4,1,CIAR4,3,2012-01-03 08:16:57,,7,3
14124906020004,222517797010661,2011,23,2,3,1118.0,2.0,1,CIAR4,1,CIAR4,1,2012-01-03 08:16:57,,7,3
14124907020004,222517797010661,2011,23,2,3,1118.0,3.0,1,CIAR4,1,CIAR4,1,2012-01-03 08:16:57,,7,3
14124908020004,222517797010661,2011,23,2,3,1118.0,2.0,1,CIVU,1,CIVU,1,2012-01-03 08:16:57,,7,3
14124909020004,222517797010661,2011,23,2,3,1118.0,3.0,1,PHAR3,1,PHAR3,2,2012-01-03 08:16:57,,7,3
14124914020004,222517799010661,2011,23,2,3,647.0,3.0,1,PHAR3,1,PHAR3,1,2012-01-03 08:16:57,,7,3
14124915020004,222517799010661,2011,23,2,3,647.0,4.0,1,PHAR3,1,PHAR3,1,2012-01-03 08:16:57,,7,3
169620051020004,247056632010661,2012,23,8,5,2469.0,1.0,1,FRAL4,1,FRAL4,1,2013-01-17 07:29:18,,7,4
169619607020004,247056527010661,2012,23,2,3,2088.0,2.0,2,CIAR4,1,CIAR4,1,2013-01-17 07:28:57,,7,4
169619608020004,247056527010661,2012,23,2,3,2088.0,3.0,3,LOMO2,1,LOMO2,3,2013-01-17 07:28:57,,7,4
169619609020004,247056527010661,2012,23,2,3,2088.0,1.0,2,PHAR3,1,PHAR3,1,2013-01-17 07:28:57,,7,4
169619610020004,247056527010661,2012,23,2,3,2088.0,3.0,3,PHAR3,1,PHAR3,2,2013-01-17 07:28:57,,7,4
169619878020004,247056591010661,2012,23,7,25,2501.0,2.0,1,PHAR3,1,PHAR3,15,2013-01-17 07:29:10,,7,4
233472227020004,15666287020004,2013,23,6,11,3255.0,1.0,1,LONIC,1,LONIC,0,2014-01-30 05:53:25,,7,5
233472228020004,15666287020004,2013,23,6,11,3255.0,1.0,2,LONIC,1,LONIC,0,2014-01-30 05:53:25,,7,5
233472229020004,15666287020004,2013,23,6,11,3255.0,2.0,2,LONIC,1,LONIC,4,2014-01-30 05:53:25,,7,5
233472230020004,15666287020004,2013,23,6,11,3255.0,1.0,1,ROMU,1,ROMU,2,2014-01-30 05:53:25,,7,5
233472231020004,15666287020004,2013,23,6,11,3255.0,1.0,2,ROMU,1,ROMU,0,2014-01-30 05:53:25,,7,5
233472232020004,15666287020004,2013,23,6,11,3255.0,2.0,2,ROMU,1,ROMU,0,2014-01-30 05:53:25,,7,5
233455126020004,15666884020004,2013,23,3,19,2878.0,1.0,1,ACPL,1,ACPL,1,2014-01-30 05:51:29,,7,5
233455127020004,15666884020004,2013,23,3,19,2878.0,3.0,1,ACPL,1,ACPL,1,2014-01-30 05:51:29,,7,5
