CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1285429204290487,721822352290487,2021,26,4,77,20087.0,2.0,1,ROMU,1,ROMU,1,2023-02-09 07:11:02,,9,7
1285429205290487,721822352290487,2021,26,4,77,20087.0,4.0,1,ROMU,1,ROMU,2,2023-02-09 07:11:02,,9,7
1285433085290487,721822354290487,2021,26,4,77,25555.0,3.0,1,ELUM,1,ELUM,1,2023-02-09 07:11:16,,9,7
1285433086290487,721822354290487,2021,26,4,77,25555.0,1.0,1,ROMU,1,ROMU,1,2023-02-09 07:11:16,,9,7
1285430422290487,721822400290487,2021,26,1,41,20071.0,2.0,1,CIVU,1,CIVU,1,2023-02-09 07:11:07,,9,7
1285435785290487,721822408290487,2021,26,1,95,20011.0,4.0,1,CIVU,1,CIVU,1,2023-02-09 07:11:30,,9,7
1285433428290487,721822439290487,2021,26,1,153,20061.0,2.0,1,CESTM,1,CESTM,1,2023-02-09 07:11:17,,9,7
1285435969290487,721822450290487,2021,26,1,97,20337.0,1.0,1,CIAR4,1,CIAR4,1,2023-02-09 07:11:31,,9,7
1285435970290487,721822450290487,2021,26,1,97,20337.0,2.0,1,CIAR4,1,CIAR4,2,2023-02-09 07:11:31,,9,7
1285435971290487,721822450290487,2021,26,1,97,20337.0,3.0,1,CIAR4,1,CIAR4,1,2023-02-09 07:11:31,,9,7
1285435972290487,721822450290487,2021,26,1,97,20337.0,4.0,1,CIAR4,1,CIAR4,1,2023-02-09 07:11:31,,9,7
1285429537290487,721822578290487,2021,26,4,99,20070.0,1.0,1,ELUM,1,ELUM,1,2023-02-09 07:11:03,,9,7
1285429538290487,721822578290487,2021,26,4,99,20070.0,1.0,1,LIVU,1,LIVU,2,2023-02-09 07:11:03,,9,7
1285429539290487,721822578290487,2021,26,4,99,20070.0,2.0,1,LIVU,1,LIVU,1,2023-02-09 07:11:03,,9,7
1285429540290487,721822578290487,2021,26,4,99,20070.0,4.0,1,LIVU,1,LIVU,1,2023-02-09 07:11:03,,9,7
1285429541290487,721822578290487,2021,26,4,99,20070.0,1.0,1,LONIC,1,LONIC,5,2023-02-09 07:11:03,,9,7
1285429542290487,721822578290487,2021,26,4,99,20070.0,2.0,1,LONIC,1,LONIC,5,2023-02-09 07:11:03,,9,7
1285429543290487,721822578290487,2021,26,4,99,20070.0,4.0,1,LONIC,1,LONIC,20,2023-02-09 07:11:03,,9,7
1285429544290487,721822578290487,2021,26,4,99,20070.0,1.0,1,RHCA3,1,RHCA3,1,2023-02-09 07:11:03,,9,7
1285429545290487,721822578290487,2021,26,4,99,20070.0,4.0,1,RHCA3,1,RHCA3,1,2023-02-09 07:11:03,,9,7
1285429546290487,721822578290487,2021,26,4,99,20070.0,1.0,1,ROMU,1,ROMU,1,2023-02-09 07:11:03,,9,7
1285429547290487,721822578290487,2021,26,4,99,20070.0,2.0,1,ROMU,1,ROMU,2,2023-02-09 07:11:03,,9,7
1285429548290487,721822578290487,2021,26,4,99,20070.0,4.0,1,ROMU,1,ROMU,1,2023-02-09 07:11:03,,9,7
1285430841290487,721822665290487,2021,26,4,25,20087.0,1.0,1,ROMU,1,ROMU,5,2023-02-09 07:11:08,,9,7
1285431194290487,721822857290487,2021,26,4,49,10303.0,1.0,1,BETH,1,BETH,3,2023-02-09 07:11:10,,9,7
1285431195290487,721822857290487,2021,26,4,49,10303.0,4.0,1,ELUM,1,ELUM,1,2023-02-09 07:11:10,,9,7
1285431196290487,721822857290487,2021,26,4,49,10303.0,2.0,2,FRAL4,1,FRAL4,5,2023-02-09 07:11:10,,9,7
1285431197290487,721822857290487,2021,26,4,49,10303.0,2.0,2,ROMU,1,ROMU,1,2023-02-09 07:11:10,,9,7
1642880979290487,815198467290487,2022,26,3,1,20081.0,2.0,1,ELUM,1,ELUM,2,2024-07-03 06:48:55,,9,8
1642879478290487,815198478290487,2022,26,1,109,20496.0,1.0,1,CIAR4,1,CIAR4,5,2024-07-03 06:48:49,,9,8
1642879479290487,815198478290487,2022,26,1,109,20496.0,3.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:49,,9,8
1642873656290487,815198531290487,2022,26,1,3,20199.0,1.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:26,,9,8
1642873657290487,815198531290487,2022,26,1,3,20199.0,4.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:26,,9,8
1642876654290487,815198581290487,2022,26,3,85,29024.0,3.0,1,ELUM,1,ELUM,2,2024-07-03 06:48:38,,9,8
1642876818290487,815198598290487,2022,26,3,47,20024.0,2.0,1,BETH,1,BETH,1,2024-07-03 06:48:39,,9,8
1642876819290487,815198598290487,2022,26,3,47,20024.0,1.0,1,LONIC,1,LONIC,9,2024-07-03 06:48:39,,9,8
1642876820290487,815198598290487,2022,26,3,47,20024.0,2.0,1,LONIC,1,LONIC,7,2024-07-03 06:48:39,,9,8
1642876821290487,815198598290487,2022,26,3,47,20024.0,3.0,1,LONIC,1,LONIC,5,2024-07-03 06:48:39,,9,8
1642876822290487,815198598290487,2022,26,3,47,20024.0,4.0,1,LONIC,1,LONIC,30,2024-07-03 06:48:39,,9,8
1642876035290487,815198890290487,2022,26,3,7,20167.0,1.0,1,FRAL4,1,FRAL4,55,2024-07-03 06:48:35,,10,1
1642876036290487,815198890290487,2022,26,3,7,20167.0,3.0,1,FRAL4,1,FRAL4,67,2024-07-03 06:48:35,,10,1
1642876037290487,815198890290487,2022,26,3,7,20167.0,4.0,1,FRAL4,1,FRAL4,13,2024-07-03 06:48:35,,10,1
1642871502290487,815198930290487,2022,26,4,159,20127.0,3.0,1,BETH,1,BETH,1,2024-07-03 06:48:00,,10,1
1642871503290487,815198930290487,2022,26,4,159,20127.0,4.0,1,ELUM,1,ELUM,6,2024-07-03 06:48:00,,10,1
1642871504290487,815198930290487,2022,26,4,159,20127.0,2.0,1,FRAL4,1,FRAL4,1,2024-07-03 06:48:00,,10,1
1642871505290487,815198930290487,2022,26,4,159,20127.0,3.0,1,FRAL4,1,FRAL4,1,2024-07-03 06:48:00,,10,1
1642871506290487,815198930290487,2022,26,4,159,20127.0,4.0,1,FRAL4,1,FRAL4,2,2024-07-03 06:48:00,,10,1
1642871507290487,815198930290487,2022,26,4,159,20127.0,4.0,1,ROMU,1,ROMU,2,2024-07-03 06:48:00,,10,1
1642878698290487,815198933290487,2022,26,3,69,20123.0,2.0,1,CIAR4,1,CIAR4,2,2024-07-03 06:48:46,,10,1
1642881479290487,815198939290487,2022,26,1,97,20152.0,1.0,1,PHAU7,1,PHAU7,40,2024-07-03 06:48:57,,10,1
1642881480290487,815198939290487,2022,26,1,97,20152.0,2.0,1,PHAU7,1,PHAU7,35,2024-07-03 06:48:57,,10,1
1642881481290487,815198939290487,2022,26,1,97,20152.0,3.0,1,PHAU7,1,PHAU7,38,2024-07-03 06:48:57,,10,1
1642881482290487,815198939290487,2022,26,1,97,20152.0,4.0,1,PHAU7,1,PHAU7,45,2024-07-03 06:48:57,,10,1
1642872873290487,815199033290487,2022,26,1,41,20008.0,1.0,1,FRAL4,1,FRAL4,1,2024-07-03 06:48:08,,10,1
1642872874290487,815199033290487,2022,26,1,41,20008.0,2.0,1,FRAL4,1,FRAL4,1,2024-07-03 06:48:08,,10,1
1642872875290487,815199033290487,2022,26,1,41,20008.0,3.0,1,FRAL4,1,FRAL4,1,2024-07-03 06:48:08,,10,1
1642872876290487,815199033290487,2022,26,1,41,20008.0,4.0,1,FRAL4,1,FRAL4,1,2024-07-03 06:48:08,,10,1
1642876262290487,815199051290487,2022,26,4,5,20033.0,2.0,1,CESTM,1,CESTM,1,2024-07-03 06:48:37,,10,1
1642876263290487,815199051290487,2022,26,4,5,20033.0,1.0,1,ELUM,1,ELUM,15,2024-07-03 06:48:37,,10,1
1642876264290487,815199051290487,2022,26,4,5,20033.0,2.0,1,ELUM,1,ELUM,5,2024-07-03 06:48:37,,10,1
1642876265290487,815199051290487,2022,26,4,5,20033.0,4.0,1,ELUM,1,ELUM,1,2024-07-03 06:48:37,,10,1
1642879124290487,815199114290487,2022,26,1,95,20180.0,2.0,1,PHAR3,1,PHAR3,5,2024-07-03 06:48:47,,10,1
1642880217290487,815199121290487,2022,26,1,153,20052.0,2.0,1,CESTM,1,CESTM,1,2024-07-03 06:48:52,,10,1
1642881723290487,815199140290487,2022,26,4,121,20019.0,1.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:58,,10,1
1642881724290487,815199140290487,2022,26,4,121,20019.0,2.0,1,CIAR4,1,CIAR4,4,2024-07-03 06:48:58,,10,1
1642881725290487,815199140290487,2022,26,4,121,20019.0,2.0,1,CIVU,1,CIVU,1,2024-07-03 06:48:58,,10,1
1642881726290487,815199140290487,2022,26,4,121,20019.0,1.0,1,ELUM,1,ELUM,3,2024-07-03 06:48:58,,10,1
1642881727290487,815199140290487,2022,26,4,121,20019.0,1.0,1,LONIC,1,LONIC,20,2024-07-03 06:48:58,,10,1
1642873090290487,815199188290487,2022,26,3,79,20081.0,4.0,2,EUES,1,EUES,10,2024-07-03 06:48:09,,10,1
1642880460290487,815199238290487,2022,26,3,137,20055.0,1.0,1,CESTM,1,CESTM,2,2024-07-03 06:48:53,,10,1
1642880461290487,815199238290487,2022,26,3,137,20055.0,2.0,1,CESTM,1,CESTM,3,2024-07-03 06:48:53,,10,1
1642880462290487,815199238290487,2022,26,3,137,20055.0,4.0,1,CESTM,1,CESTM,3,2024-07-03 06:48:53,,10,1
1642880463290487,815199238290487,2022,26,3,137,20055.0,1.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:53,,10,1
1642880464290487,815199238290487,2022,26,3,137,20055.0,2.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:53,,10,1
1642880465290487,815199238290487,2022,26,3,137,20055.0,4.0,1,CIAR4,1,CIAR4,1,2024-07-03 06:48:53,,10,1
1642880595290487,815199262290487,2022,26,4,145,20026.0,2.0,2,ELUM,1,ELUM,10,2024-07-03 06:48:53,,10,1
1642880596290487,815199262290487,2022,26,4,145,20026.0,2.0,2,RHCA3,1,RHCA3,1,2024-07-03 06:48:53,,10,1
1642880597290487,815199262290487,2022,26,4,145,20026.0,4.0,4,RHCA3,1,RHCA3,1,2024-07-03 06:48:53,,10,1
1642877925290487,815199278290487,2022,26,4,25,20014.0,3.0,3,ALPE4,1,ALPE4,3,2024-07-03 06:48:42,,10,1
1642877926290487,815199278290487,2022,26,4,25,20014.0,3.0,3,ELUM,1,ELUM,11,2024-07-03 06:48:42,,10,1
1642877927290487,815199278290487,2022,26,4,25,20014.0,4.0,1,ELUM,1,ELUM,7,2024-07-03 06:48:42,,10,1
1642877928290487,815199278290487,2022,26,4,25,20014.0,1.0,1,ROMU,1,ROMU,1,2024-07-03 06:48:42,,10,1
1642877929290487,815199278290487,2022,26,4,25,20014.0,3.0,3,ROMU,1,ROMU,2,2024-07-03 06:48:42,,10,1
1642877930290487,815199278290487,2022,26,4,25,20014.0,3.0,3,ROPS,1,ROPS,25,2024-07-03 06:48:42,,10,1
1642875042290487,815199325290487,2022,26,3,1,20006.0,1.0,1,ELUM,1,ELUM,1,2024-07-03 06:48:31,,10,1
1642875043290487,815199325290487,2022,26,3,1,20006.0,4.0,1,ELUM,1,ELUM,1,2024-07-03 06:48:31,,10,1
1686826800290487,1185408037290487,2023,26,4,63,20072.0,4.0,1,BETH,1,BETH,1,2024-10-28 09:06:28,,10,2
1686826801290487,1185408037290487,2023,26,4,63,20072.0,1.0,1,CIAR4,1,CIAR4,3,2024-10-28 09:06:28,,10,2
1686826802290487,1185408037290487,2023,26,4,63,20072.0,2.0,1,CIAR4,1,CIAR4,11,2024-10-28 09:06:28,,10,2
714716879290487,510713251126144,2019,26,1,41,29020.0,2.0,2,LONIC,1,LONIC,1,2020-01-09 09:20:41,,9,5
714711957290487,510713252126144,2019,26,1,109,20154.0,1.0,1,CESTM,1,CESTM,1,2020-01-09 09:20:22,,9,5
714711958290487,510713252126144,2019,26,1,109,20154.0,4.0,1,CESTM,1,CESTM,4,2020-01-09 09:20:22,,9,5
714711959290487,510713252126144,2019,26,1,109,20154.0,1.0,1,ELUM,1,ELUM,7,2020-01-09 09:20:22,,9,5
714711960290487,510713252126144,2019,26,1,109,20154.0,4.0,1,ELUM,1,ELUM,5,2020-01-09 09:20:22,,9,5
714711961290487,510713252126144,2019,26,1,109,20154.0,1.0,1,FRAL4,1,FRAL4,1,2020-01-09 09:20:22,,9,5
714711962290487,510713252126144,2019,26,1,109,20154.0,3.0,1,PHAR3,1,PHAR3,2,2020-01-09 09:20:22,,9,5
714721975290487,510713273126144,2019,26,1,109,20424.0,3.0,2,CIVU,1,CIVU,1,2020-01-09 09:21:06,,9,5
714720536290487,510713341126144,2019,26,2,71,20305.0,2.0,1,BETH,1,BETH,1,2020-01-09 09:21:00,,9,5
1222405372290487,610574661126144,2020,26,4,147,20043.0,4.0,2,RHCA3,1,RHCA3,7,2022-06-28 08:56:37,,9,6
1222405416290487,610574680126144,2020,26,4,163,20203.0,4.0,2,FRAL4,1,FRAL4,1,2022-06-28 08:56:37,,9,6
1222405417290487,610574680126144,2020,26,4,163,20203.0,4.0,2,LONIC,1,LONIC,2,2022-06-28 08:56:37,,9,6
1222405418290487,610574680126144,2020,26,4,163,20203.0,4.0,2,ROMU,1,ROMU,2,2022-06-28 08:56:37,,9,6
1222416156290487,610574712126144,2020,26,4,125,20058.0,1.0,1,CEOR7,1,CEOR7,20,2022-06-28 08:57:09,,9,6
1222416157290487,610574712126144,2020,26,4,125,20058.0,3.0,1,CEOR7,1,CEOR7,1,2022-06-28 08:57:09,,9,6
1222416158290487,610574712126144,2020,26,4,125,20058.0,4.0,1,CEOR7,1,CEOR7,1,2022-06-28 08:57:09,,9,6
1222416159290487,610574712126144,2020,26,4,125,20058.0,1.0,1,HEHE,1,HEHE,2,2022-06-28 08:57:09,,9,6
1222416160290487,610574712126144,2020,26,4,125,20058.0,1.0,1,LONIC,1,LONIC,5,2022-06-28 08:57:09,,9,6
1222416161290487,610574712126144,2020,26,4,125,20058.0,3.0,1,LONIC,1,LONIC,5,2022-06-28 08:57:09,,9,6
1222416162290487,610574712126144,2020,26,4,125,20058.0,1.0,1,PHAR3,1,PHAR3,5,2022-06-28 08:57:09,,9,6
1222416163290487,610574712126144,2020,26,4,125,20058.0,1.0,1,RHCA3,1,RHCA3,3,2022-06-28 08:57:09,,9,6
1222416164290487,610574712126144,2020,26,4,125,20058.0,3.0,1,RHCA3,1,RHCA3,15,2022-06-28 08:57:09,,9,6
1222416165290487,610574712126144,2020,26,4,125,20058.0,4.0,1,RHCA3,1,RHCA3,5,2022-06-28 08:57:09,,9,6
1222416166290487,610574712126144,2020,26,4,125,20058.0,1.0,1,ROMU,1,ROMU,2,2022-06-28 08:57:09,,9,6
1222416167290487,610574712126144,2020,26,4,125,20058.0,3.0,1,ROMU,1,ROMU,1,2022-06-28 08:57:09,,9,6
1222416168290487,610574712126144,2020,26,4,125,20058.0,4.0,1,ROMU,1,ROMU,2,2022-06-28 08:57:09,,9,6
1222414509290487,610574756126144,2020,26,4,161,20206.0,1.0,1,CEOR7,1,CEOR7,1,2022-06-28 08:57:04,,9,6
1222414510290487,610574756126144,2020,26,4,161,20206.0,2.0,1,CIAR4,1,CIAR4,3,2022-06-28 08:57:04,,9,6
1222414511290487,610574756126144,2020,26,4,161,20206.0,2.0,1,LONIC,1,LONIC,1,2022-06-28 08:57:04,,9,6
1222414512290487,610574756126144,2020,26,4,161,20206.0,1.0,1,PHAR3,1,PHAR3,55,2022-06-28 08:57:04,,9,6
