CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
366696349489998,231734678020004,2015,27,2,21,21061.0,4.0,2,CIAR4,1,CIAR4,1,2015-12-28 12:51:34,,15,2
366696350489998,231734678020004,2015,27,2,21,21061.0,4.0,2,CIVU,1,CIVU,1,2015-12-28 12:51:34,,15,2
366696691489998,231734955020004,2015,27,3,65,20067.0,3.0,2,LONIC,1,LONIC,2,2015-12-28 12:51:37,,15,2
366696692489998,231734955020004,2015,27,3,65,20067.0,1.0,2,PHAR3,1,PHAR3,4,2015-12-28 12:51:37,,15,2
366696693489998,231734955020004,2015,27,3,65,20067.0,3.0,2,PHAR3,1,PHAR3,1,2015-12-28 12:51:37,,15,2
366696784489998,231734980020004,2015,27,3,53,20258.0,2.0,2,RHCA3,1,RHCA3,12,2015-12-28 12:51:38,,15,2
366684460489998,231733856020004,2015,27,4,119,20760.0,3.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:50:02,,15,2
366684461489998,231733856020004,2015,27,4,119,20760.0,4.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:50:02,,15,2
366684462489998,231733856020004,2015,27,4,119,20760.0,3.0,1,CIVU,1,CIVU,1,2015-12-28 12:50:02,,15,2
366684463489998,231733856020004,2015,27,4,119,20760.0,4.0,1,CIVU,1,CIVU,1,2015-12-28 12:50:02,,15,2
366684464489998,231733856020004,2015,27,4,119,20760.0,4.0,1,RHCA3,1,RHCA3,25,2015-12-28 12:50:02,,15,2
366691821489998,231735047020004,2015,27,3,49,20058.0,1.0,1,RHCA3,1,RHCA3,4,2015-12-28 12:50:59,,15,2
366691822489998,231735047020004,2015,27,3,49,20058.0,2.0,1,RHCA3,1,RHCA3,4,2015-12-28 12:50:59,,15,2
366691823489998,231735047020004,2015,27,3,49,20058.0,3.0,1,RHCA3,1,RHCA3,1,2015-12-28 12:50:59,,15,2
366691824489998,231735047020004,2015,27,3,49,20058.0,4.0,1,RHCA3,1,RHCA3,10,2015-12-28 12:50:59,,15,2
366691975489998,231735052020004,2015,27,3,49,20087.0,1.0,1,RHCA3,1,RHCA3,2,2015-12-28 12:51:00,,15,2
366698944489998,231734113020004,2015,27,3,97,20498.0,1.0,1,CIVU,1,CIVU,1,2015-12-28 12:51:56,,15,2
366698945489998,231734113020004,2015,27,3,97,20498.0,2.0,1,CIVU,1,CIVU,1,2015-12-28 12:51:56,,15,2
366698946489998,231734113020004,2015,27,3,97,20498.0,1.0,1,LONIC,1,LONIC,3,2015-12-28 12:51:56,,15,2
366698947489998,231734113020004,2015,27,3,97,20498.0,2.0,1,LONIC,1,LONIC,1,2015-12-28 12:51:56,,15,2
366698948489998,231734113020004,2015,27,3,97,20498.0,1.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:51:56,,15,2
366698949489998,231734113020004,2015,27,3,97,20498.0,2.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:51:56,,15,2
366698950489998,231734113020004,2015,27,3,97,20498.0,4.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:51:56,,15,2
366699082489998,231734143020004,2015,27,2,35,20130.0,3.0,1,LONIC,1,LONIC,12,2015-12-28 12:51:57,,15,2
366699083489998,231734143020004,2015,27,2,35,20130.0,3.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:51:57,,15,2
366699236489998,231734185020004,2015,27,4,15,20256.0,2.0,2,LONIC,1,LONIC,2,2015-12-28 12:51:57,,15,2
366699237489998,231734185020004,2015,27,4,15,20256.0,2.0,2,RHCA3,1,RHCA3,1,2015-12-28 12:51:57,,15,2
366699308489998,231734257020004,2015,27,1,71,23631.0,1.0,1,CIAR4,1,CIAR4,2,2015-12-28 12:51:58,,15,2
366699309489998,231734257020004,2015,27,1,71,23631.0,2.0,2,CIAR4,1,CIAR4,2,2015-12-28 12:51:58,,15,2
366699310489998,231734257020004,2015,27,1,71,23631.0,3.0,1,CIAR4,1,CIAR4,3,2015-12-28 12:51:58,,15,2
366699311489998,231734257020004,2015,27,1,71,23631.0,4.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:51:58,,15,2
366699312489998,231734257020004,2015,27,1,71,23631.0,1.0,1,VIOP,1,VIOP,1,2015-12-28 12:51:58,,15,2
366702756489998,231734886020004,2015,27,1,137,29224.0,3.0,3,CIAR4,1,CIAR4,1,2015-12-28 12:52:26,,15,2
366702757489998,231734886020004,2015,27,1,137,29224.0,3.0,3,PHAR3,1,PHAR3,9,2015-12-28 12:52:26,,15,2
366701418489998,231733587020004,2015,27,1,137,25619.0,3.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:52:18,,15,2
366690091489998,231733759020004,2015,27,2,77,20391.0,1.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:50:48,,15,2
366690092489998,231733759020004,2015,27,2,77,20391.0,2.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:50:48,,15,2
366690093489998,231733759020004,2015,27,2,77,20391.0,2.0,1,CIVU,1,CIVU,1,2015-12-28 12:50:48,,15,2
366690094489998,231733759020004,2015,27,2,77,20391.0,1.0,1,PHAR3,1,PHAR3,3,2015-12-28 12:50:48,,15,2
366690095489998,231733759020004,2015,27,2,77,20391.0,2.0,1,PHAR3,1,PHAR3,11,2015-12-28 12:50:48,,15,2
366690096489998,231733759020004,2015,27,2,77,20391.0,3.0,2,PHAR3,1,PHAR3,6,2015-12-28 12:50:49,,15,2
366690097489998,231733759020004,2015,27,2,77,20391.0,4.0,1,PHAR3,1,PHAR3,2,2015-12-28 12:50:49,,15,2
366701610489998,231733734020004,2015,27,4,119,20049.0,4.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:52:19,,15,2
366701611489998,231733734020004,2015,27,4,119,20049.0,4.0,1,CIVU,1,CIVU,1,2015-12-28 12:52:19,,15,2
366701612489998,231733734020004,2015,27,4,119,20049.0,4.0,1,PHAR3,1,PHAR3,6,2015-12-28 12:52:19,,15,2
366701613489998,231733734020004,2015,27,4,119,20049.0,4.0,1,RHCA3,1,RHCA3,2,2015-12-28 12:52:19,,15,2
366684742489998,231734108020004,2015,27,2,61,20198.0,1.0,1,RHCA3,1,RHCA3,2,2015-12-28 12:50:03,,15,2
366684743489998,231734108020004,2015,27,2,61,20198.0,2.0,1,RHCA3,1,RHCA3,1,2015-12-28 12:50:03,,15,2
366684744489998,231734108020004,2015,27,2,61,20198.0,3.0,2,RHCA3,1,RHCA3,1,2015-12-28 12:50:03,,15,2
366684745489998,231734108020004,2015,27,2,61,20198.0,4.0,2,RHCA3,1,RHCA3,2,2015-12-28 12:50:03,,15,2
366692210489998,231735258020004,2015,27,1,31,29124.0,1.0,1,PHAR3,1,PHAR3,2,2015-12-28 12:51:03,,15,2
366692211489998,231735258020004,2015,27,1,31,29124.0,2.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:51:03,,15,2
366692212489998,231735258020004,2015,27,1,31,29124.0,3.0,1,PHAR3,1,PHAR3,3,2015-12-28 12:51:03,,15,2
366692213489998,231735258020004,2015,27,1,31,29124.0,4.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:51:03,,15,2
366699585489998,231734482020004,2015,27,2,77,20624.0,1.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:52:00,,15,2
366699586489998,231734482020004,2015,27,2,77,20624.0,2.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:52:00,,15,2
366699587489998,231734482020004,2015,27,2,77,20624.0,4.0,1,CIAR4,1,CIAR4,2,2015-12-28 12:52:00,,15,2
366692597489998,231734814020004,2015,27,3,163,20099.0,1.0,1,RHCA3,1,RHCA3,45,2015-12-28 12:51:05,,15,2
366692598489998,231734814020004,2015,27,3,163,20099.0,2.0,1,RHCA3,1,RHCA3,75,2015-12-28 12:51:05,,15,2
366692599489998,231734814020004,2015,27,3,163,20099.0,4.0,1,RHCA3,1,RHCA3,50,2015-12-28 12:51:05,,15,2
366692738489998,231734882020004,2015,27,3,157,20006.0,1.0,1,BETH,1,BETH,1,2015-12-28 12:51:06,,15,2
366692739489998,231734882020004,2015,27,3,157,20006.0,2.0,1,BETH,1,BETH,1,2015-12-28 12:51:06,,15,2
366692740489998,231734882020004,2015,27,3,157,20006.0,3.0,1,BETH,1,BETH,1,2015-12-28 12:51:06,,15,2
366692741489998,231734882020004,2015,27,3,157,20006.0,4.0,1,BETH,1,BETH,1,2015-12-28 12:51:06,,15,2
366692742489998,231734882020004,2015,27,3,157,20006.0,3.0,1,FRAL4,1,FRAL4,3,2015-12-28 12:51:06,,15,2
366692743489998,231734882020004,2015,27,3,157,20006.0,4.0,1,FRAL4,1,FRAL4,1,2015-12-28 12:51:06,,15,2
366692744489998,231734882020004,2015,27,3,157,20006.0,1.0,1,RHCA3,1,RHCA3,32,2015-12-28 12:51:06,,15,2
366692745489998,231734882020004,2015,27,3,157,20006.0,2.0,1,RHCA3,1,RHCA3,41,2015-12-28 12:51:06,,15,2
366692746489998,231734882020004,2015,27,3,157,20006.0,3.0,1,RHCA3,1,RHCA3,15,2015-12-28 12:51:06,,15,2
366692747489998,231734882020004,2015,27,3,157,20006.0,4.0,1,RHCA3,1,RHCA3,30,2015-12-28 12:51:06,,15,2
366692748489998,231734882020004,2015,27,3,157,20006.0,3.0,1,VIOP,1,VIOP,1,2015-12-28 12:51:06,,15,2
366685072489998,231734472020004,2015,27,2,5,20184.0,1.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:50:06,,15,2
366685073489998,231734472020004,2015,27,2,5,20184.0,4.0,1,CIAR4,1,CIAR4,1,2015-12-28 12:50:06,,15,2
366685074489998,231734472020004,2015,27,2,5,20184.0,1.0,1,PHAR3,1,PHAR3,2,2015-12-28 12:50:06,,15,2
366685075489998,231734472020004,2015,27,2,5,20184.0,3.0,1,PHAR3,1,PHAR3,1,2015-12-28 12:50:06,,15,2
366685076489998,231734472020004,2015,27,2,5,20184.0,4.0,1,PHAR3,1,PHAR3,15,2015-12-28 12:50:06,,15,2
366685243489998,231734591020004,2015,27,2,7,20418.0,4.0,1,PHAR3,1,PHAR3,2,2015-12-28 12:50:07,,15,2
366685244489998,231734591020004,2015,27,2,7,20418.0,1.0,1,RHCA3,1,RHCA3,1,2015-12-28 12:50:07,,15,2
366685245489998,231734591020004,2015,27,2,7,20418.0,2.0,1,RHCA3,1,RHCA3,1,2015-12-28 12:50:07,,15,2
