CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1910916978290487,1543488223290487,2025,29,4,177,20048.0,2.0,1,ROMU,1,ROMU,7,2026-02-02 10:34:27,,9,5
1910916979290487,1543488223290487,2025,29,4,177,20048.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:27,,9,5
1910916980290487,1543488223290487,2025,29,4,177,20048.0,4.0,2,ROMU,1,ROMU,4,2026-02-02 10:34:27,,9,5
1910923775290487,1543488290290487,2025,29,4,61,20042.0,1.0,1,ALPE4,1,ALPE4,1,2026-02-02 10:34:45,,9,5
1910923776290487,1543488290290487,2025,29,4,61,20042.0,1.0,1,LOMA6,1,LOMA6,2,2026-02-02 10:34:45,,9,5
1910923777290487,1543488290290487,2025,29,4,61,20042.0,1.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:45,,9,5
1910923778290487,1543488290290487,2025,29,4,61,20042.0,4.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:45,,9,5
1910923950290487,1543488460290487,2025,29,3,59,20065.0,2.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:46,,9,5
1910917341290487,1543488625290487,2025,29,4,45,20062.0,1.0,1,ALPE4,1,ALPE4,2,2026-02-02 10:34:28,,9,5
1910917342290487,1543488625290487,2025,29,4,45,20062.0,3.0,1,ALPE4,1,ALPE4,4,2026-02-02 10:34:28,,9,5
1813597404290487,1287119409290487,2024,29,5,219,20031.0,2.0,1,LOMA6,1,LOMA6,30,2025-03-18 06:00:15,,9,4
1910917865290487,1543488821290487,2025,29,1,187,20030.0,4.0,2,ROMU,1,ROMU,3,2026-02-02 10:34:29,,9,5
1910917940290487,1543488849290487,2025,29,1,223,20071.0,4.0,1,ELUM,1,ELUM,1,2026-02-02 10:34:29,,9,5
1910918075290487,1543488894290487,2025,29,5,157,20043.0,2.0,2,LOMA6,1,LOMA6,1,2026-02-02 10:34:30,,9,5
1910918076290487,1543488894290487,2025,29,5,157,20043.0,3.0,2,LOMA6,1,LOMA6,5,2026-02-02 10:34:30,,9,5
1910918077290487,1543488894290487,2025,29,5,157,20043.0,2.0,2,ROMU,1,ROMU,11,2026-02-02 10:34:30,,9,5
1910918193290487,1543488958290487,2025,29,1,65,20065.0,1.0,1,ROMU,1,ROMU,2,2026-02-02 10:34:30,,9,5
1910918194290487,1543488958290487,2025,29,1,65,20065.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:30,,9,5
1910918342290487,1543488963290487,2025,29,4,137,20003.0,4.0,2,ROMU,1,ROMU,5,2026-02-02 10:34:30,,9,5
1910918676290487,1543488090290487,2025,29,3,185,20020.0,3.0,2,ROMU,1,ROMU,1,2026-02-02 10:34:31,,9,5
1910918897290487,1543488314290487,2025,29,2,225,20006.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:32,,9,5
1910919073290487,1543488328290487,2025,29,2,91,20316.0,3.0,1,LOJA,1,LOJA,3,2026-02-02 10:34:32,,9,5
1910919074290487,1543488328290487,2025,29,2,91,20316.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:32,,9,5
1910919230290487,1543488334290487,2025,29,5,139,20042.0,1.0,1,LOMA6,1,LOMA6,1,2026-02-02 10:34:33,,9,5
1910919231290487,1543488334290487,2025,29,5,139,20042.0,2.0,1,LOMA6,1,LOMA6,1,2026-02-02 10:34:33,,9,5
1910919232290487,1543488334290487,2025,29,5,139,20042.0,3.0,1,LOMA6,1,LOMA6,1,2026-02-02 10:34:33,,9,5
1910919233290487,1543488334290487,2025,29,5,139,20042.0,4.0,1,LOMA6,1,LOMA6,1,2026-02-02 10:34:33,,9,5
1910919234290487,1543488334290487,2025,29,5,139,20042.0,1.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:33,,9,5
1910919235290487,1543488334290487,2025,29,5,139,20042.0,2.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:33,,9,5
1910919236290487,1543488334290487,2025,29,5,139,20042.0,3.0,1,ROMU,1,ROMU,4,2026-02-02 10:34:33,,9,5
1910919237290487,1543488334290487,2025,29,5,139,20042.0,4.0,1,ROMU,1,ROMU,2,2026-02-02 10:34:33,,9,5
1910919451290487,1543488412290487,2025,29,4,53,20072.0,1.0,1,ALPE4,1,ALPE4,10,2026-02-02 10:34:33,,9,5
1910919452290487,1543488412290487,2025,29,4,53,20072.0,2.0,1,ALPE4,1,ALPE4,25,2026-02-02 10:34:33,,9,5
1910919453290487,1543488412290487,2025,29,4,53,20072.0,3.0,1,ALPE4,1,ALPE4,1,2026-02-02 10:34:33,,9,5
1910919454290487,1543488412290487,2025,29,4,53,20072.0,4.0,1,ALPE4,1,ALPE4,10,2026-02-02 10:34:33,,9,5
1910919455290487,1543488412290487,2025,29,4,53,20072.0,1.0,1,ROMU,1,ROMU,2,2026-02-02 10:34:33,,9,5
1910919456290487,1543488412290487,2025,29,4,53,20072.0,2.0,1,ROMU,1,ROMU,2,2026-02-02 10:34:33,,9,5
1910919457290487,1543488412290487,2025,29,4,53,20072.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:33,,9,5
1910919458290487,1543488412290487,2025,29,4,53,20072.0,4.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:33,,9,5
1910913083290487,1543488112290487,2025,29,4,195,20218.0,1.0,1,ALPE4,1,ALPE4,2,2026-02-02 10:34:11,,9,5
1910913084290487,1543488112290487,2025,29,4,195,20218.0,3.0,1,ALPE4,1,ALPE4,2,2026-02-02 10:34:11,,9,5
1910913085290487,1543488112290487,2025,29,4,195,20218.0,4.0,1,ALPE4,1,ALPE4,3,2026-02-02 10:34:11,,9,5
1910917343290487,1543488625290487,2025,29,4,45,20062.0,3.0,1,LOMA6,1,LOMA6,2,2026-02-02 10:34:28,,9,5
1910917344290487,1543488625290487,2025,29,4,45,20062.0,1.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:28,,9,5
1910917345290487,1543488625290487,2025,29,4,45,20062.0,2.0,2,ROMU,1,ROMU,1,2026-02-02 10:34:28,,9,5
1910917346290487,1543488625290487,2025,29,4,45,20062.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:28,,9,5
1910917347290487,1543488625290487,2025,29,4,45,20062.0,2.0,2,ROPS,1,ROPS,14,2026-02-02 10:34:28,,9,5
1910924439290487,1543488763290487,2025,29,5,71,20090.0,1.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:47,,9,5
1910924440290487,1543488763290487,2025,29,5,71,20090.0,2.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:47,,9,5
1910924441290487,1543488763290487,2025,29,5,71,20090.0,3.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:47,,9,5
1910924442290487,1543488763290487,2025,29,5,71,20090.0,4.0,1,ROMU,1,ROMU,1,2026-02-02 10:34:47,,9,5
1910917518290487,1543488726290487,2025,29,1,65,20058.0,1.0,1,ELUM,1,ELUM,2,2026-02-02 10:34:28,,9,5
1910917519290487,1543488726290487,2025,29,1,65,20058.0,4.0,1,ELUM,1,ELUM,1,2026-02-02 10:34:28,,9,5
1910917520290487,1543488726290487,2025,29,1,65,20058.0,3.0,1,LOJA,1,LOJA,5,2026-02-02 10:34:28,,9,5
1910917521290487,1543488726290487,2025,29,1,65,20058.0,4.0,1,LOJA,1,LOJA,1,2026-02-02 10:34:28,,9,5
1910917522290487,1543488726290487,2025,29,1,65,20058.0,1.0,1,LONIC,1,LONIC,20,2026-02-02 10:34:28,,9,5
1910917523290487,1543488726290487,2025,29,1,65,20058.0,3.0,1,LONIC,1,LONIC,25,2026-02-02 10:34:28,,9,5
1910917524290487,1543488726290487,2025,29,1,65,20058.0,4.0,1,LONIC,1,LONIC,2,2026-02-02 10:34:28,,9,5
1910917525290487,1543488726290487,2025,29,1,65,20058.0,1.0,1,ROMU,1,ROMU,7,2026-02-02 10:34:28,,9,5
1910917526290487,1543488726290487,2025,29,1,65,20058.0,3.0,1,ROMU,1,ROMU,3,2026-02-02 10:34:28,,9,5
1910917527290487,1543488726290487,2025,29,1,65,20058.0,4.0,1,ROMU,1,ROMU,8,2026-02-02 10:34:28,,9,5
1910917862290487,1543488821290487,2025,29,1,187,20030.0,1.0,2,LOMA6,1,LOMA6,1,2026-02-02 10:34:29,,9,5
1910917863290487,1543488821290487,2025,29,1,187,20030.0,4.0,2,LOMA6,1,LOMA6,2,2026-02-02 10:34:29,,9,5
1910917864290487,1543488821290487,2025,29,1,187,20030.0,1.0,2,ROMU,1,ROMU,4,2026-02-02 10:34:29,,9,5
222856392010661,102531774010661,2007,29,2,209,20044.0,2.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:18,2012-02-29 11:15:28,6,4
222856393010661,102531774010661,2007,29,2,209,20044.0,3.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:18,2012-02-29 11:15:28,6,4
222856394010661,102531774010661,2007,29,2,209,20044.0,4.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:18,2012-02-29 11:15:33,6,4
222856227010661,102530994010661,2007,29,5,27,20115.0,1.0,1,ROMU,1,ROMU,2,2010-03-01 11:06:17,2012-02-28 07:12:18,6,4
222856228010661,102530994010661,2007,29,5,27,20115.0,2.0,1,ROMU,1,ROMU,2,2010-03-01 11:06:17,2012-02-28 07:12:18,6,4
222856231010661,102533385010661,2007,29,4,45,20113.0,1.0,1,ROMU,1,ROMU,2,2010-03-01 11:06:17,2012-02-28 07:14:37,6,4
222856248010661,102533820010661,2007,29,1,65,20065.0,1.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:17,2012-02-28 07:05:49,6,4
222856249010661,102533820010661,2007,29,1,65,20065.0,3.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:17,2012-02-29 11:15:28,6,4
222856275010661,102533511010661,2007,29,4,97,20120.0,2.0,1,ROMU,1,ROMU,3,2010-03-01 11:06:17,2012-02-28 07:14:37,6,4
222856276010661,102533511010661,2007,29,4,97,20120.0,4.0,1,ROMU,1,ROMU,2,2010-03-01 11:06:17,2012-02-28 07:14:37,6,4
222856349010661,102530826010661,2007,29,3,169,29008.0,2.0,1,ROMU,1,ROMU,3,2010-03-01 11:06:18,2012-02-28 07:12:18,6,4
222856350010661,102530826010661,2007,29,3,169,29008.0,4.0,1,ROMU,1,ROMU,2,2010-03-01 11:06:18,2012-02-28 07:12:18,6,4
222856351010661,102534042010661,2007,29,3,169,20218.0,3.0,1,ROMU,1,ROMU,2,2010-03-01 11:06:18,2012-02-28 07:13:39,6,4
222856219010661,102529665010661,2007,29,1,17,20052.0,1.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:17,2012-02-28 07:06:17,6,4
222856220010661,102529665010661,2007,29,1,17,20052.0,2.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:17,2012-02-28 07:05:49,6,4
222856221010661,102529665010661,2007,29,1,17,20052.0,3.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:17,2012-02-29 11:15:28,6,4
222856222010661,102529665010661,2007,29,1,17,20052.0,4.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:17,2012-02-29 11:15:28,6,4
222856405010661,102531360010661,2007,29,2,213,29016.0,4.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:18,2012-02-29 11:15:28,6,4
222856369010661,102533313010661,2007,29,1,181,20086.0,3.0,1,ROMU,1,ROMU,1,2010-03-01 11:06:18,2012-02-28 07:14:37,6,4
