CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
499042889126144,100548099010478,2006,28,3,159,24.0,2.0,2,LOJA,1,LOJA,70,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042890126144,100548099010478,2006,28,3,159,24.0,3.0,1,LOJA,1,LOJA,1,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042891126144,100548099010478,2006,28,3,159,24.0,3.0,2,LOJA,1,LOJA,1,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042892126144,100548099010478,2006,28,3,159,24.0,4.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042893126144,100548316010478,2006,28,3,159,13.0,4.0,1,LOJA,1,LOJA,1,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042894126144,100548370010478,2006,28,3,159,10.0,3.0,2,LOJA,1,LOJA,70,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042895126144,100548460010478,2006,28,3,159,29.0,1.0,1,LOJA,1,LOJA,70,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042896126144,100548460010478,2006,28,3,159,29.0,2.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042897126144,100548460010478,2006,28,3,159,29.0,3.0,1,LIGUS2,1,LIGUS2,5,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042898126144,100548460010478,2006,28,3,159,29.0,3.0,1,ROSA5,1,ROSA5,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042899126144,100548460010478,2006,28,3,159,29.0,3.0,1,LOJA,1,LOJA,70,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042900126144,100548460010478,2006,28,3,159,29.0,4.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042901126144,100548710010478,2006,28,3,159,45.0,2.0,2,LOJA,1,LOJA,1,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042902126144,100548710010478,2006,28,3,159,45.0,3.0,2,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042903126144,100548710010478,2006,28,3,159,45.0,4.0,2,LOJA,1,LOJA,5,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042904126144,100548788010478,2006,28,3,159,18.0,1.0,1,LOJA,1,LOJA,5,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042905126144,100548788010478,2006,28,3,159,18.0,2.0,1,LOJA,1,LOJA,5,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042906126144,100548788010478,2006,28,3,159,18.0,3.0,1,LOJA,1,LOJA,5,2018-01-25 14:35:48,2018-03-29 14:57:21,8,1
499042907126144,100548788010478,2006,28,3,159,18.0,3.0,1,SCAR7,1,SCAR7,5,2018-01-25 14:35:48,2020-08-10 11:38:55,8,1
499042908126144,100548788010478,2006,28,3,159,18.0,3.0,1,SOVI2,1,SOVI2,5,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042909126144,100548788010478,2006,28,3,159,18.0,4.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499042910126144,100548788010478,2006,28,3,159,18.0,4.0,1,SCAR7,1,SCAR7,5,2018-01-25 14:35:48,2020-08-10 11:38:55,8,1
499042911126144,100548838010478,2006,28,3,159,25.0,4.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499049888126144,100695913010478,2006,28,2,13,53.0,1.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:50,2018-03-29 14:57:10,8,1
499049889126144,100695913010478,2006,28,2,13,53.0,1.0,1,LESPE,1,LESPE,1,2018-01-25 14:35:50,2018-03-29 14:57:10,8,1
499041953126144,100527410010478,2006,28,2,137,4.0,1.0,1,LIGUS2,1,LIGUS2,1,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499041954126144,100527410010478,2006,28,2,137,4.0,1.0,1,LOJA,1,LOJA,70,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499041955126144,100527410010478,2006,28,2,137,4.0,2.0,1,LIGUS2,1,LIGUS2,5,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499041956126144,100527410010478,2006,28,2,137,4.0,2.0,1,LOJA,1,LOJA,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
499041957126144,100527410010478,2006,28,2,137,4.0,2.0,1,LECU,1,LECU,30,2018-01-25 14:35:48,2018-03-29 14:57:10,8,1
