CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1630559109290487,356009593489998,2020,30,5,31,86938.0,1.0,1,CYOF,1,CYOF,1,2024-06-03 11:07:53,,3,8
1630559110290487,356009593489998,2020,30,5,31,86938.0,2.0,1,CYOF,1,CYOF,1,2024-06-03 11:07:53,,3,8
1630535310290487,356009173489998,2020,30,1,53,83996.0,3.0,1,HIPI2,1,HIPI2,3,2024-06-03 11:07:34,,3,8
1630535311290487,356009173489998,2020,30,1,53,83996.0,4.0,1,HIPI2,1,HIPI2,1,2024-06-03 11:07:34,,3,8
1630547669290487,356009326489998,2020,30,1,29,82357.0,1.0,1,HIPI2,1,HIPI2,1,2024-06-03 11:07:42,,3,8
1630547670290487,356009326489998,2020,30,1,29,82357.0,2.0,2,HIPI2,1,HIPI2,1,2024-06-03 11:07:42,,3,8
1630547671290487,356009326489998,2020,30,1,29,82357.0,4.0,1,HIPI2,1,HIPI2,1,2024-06-03 11:07:42,,3,8
1630547672290487,356009326489998,2020,30,1,29,82357.0,1.0,1,LEVU,1,LEVU,1,2024-06-03 11:07:42,,3,8
1630547673290487,356009326489998,2020,30,1,29,82357.0,2.0,2,LEVU,1,LEVU,1,2024-06-03 11:07:42,,3,8
1630547674290487,356009326489998,2020,30,1,29,82357.0,4.0,1,LEVU,1,LEVU,4,2024-06-03 11:07:42,,3,8
1630564179290487,356009735489998,2020,30,4,45,85012.0,2.0,2,CYOF,1,CYOF,1,2024-06-03 11:07:57,,3,8
1630564180290487,356009735489998,2020,30,4,45,85012.0,4.0,2,CYOF,1,CYOF,2,2024-06-03 11:07:57,,3,8
1630488819290487,548482317126144,2021,30,4,49,89346.0,1.0,1,CIAR4,1,CIAR4,1,2024-06-03 11:06:42,,3,9
1630488820290487,548482317126144,2021,30,4,49,89346.0,3.0,1,CIAR4,1,CIAR4,1,2024-06-03 11:06:42,,3,9
1630469667290487,548481986126144,2021,30,4,49,90451.0,2.0,1,CESTM,1,CESTM,1,2024-06-03 11:06:29,,3,9
1630469668290487,548481986126144,2021,30,4,49,90451.0,3.0,1,CESTM,1,CESTM,5,2024-06-03 11:06:29,,3,9
1630469669290487,548481986126144,2021,30,4,49,90451.0,1.0,1,LIDA,1,LIDA,10,2024-06-03 11:06:29,,3,9
1630469670290487,548481986126144,2021,30,4,49,90451.0,2.0,1,LIDA,1,LIDA,1,2024-06-03 11:06:29,,3,9
1630469671290487,548481986126144,2021,30,4,49,90451.0,3.0,1,LIDA,1,LIDA,1,2024-06-03 11:06:29,,3,9
1630469672290487,548481986126144,2021,30,4,49,90451.0,4.0,1,LIDA,1,LIDA,1,2024-06-03 11:06:29,,3,9
1630490618290487,548482357126144,2021,30,4,49,81818.0,4.0,2,LIDA,1,LIDA,10,2024-06-03 11:06:44,,3,9
1630496635290487,548482457126144,2021,30,4,49,89593.0,1.0,1,LIDA,1,LIDA,1,2024-06-03 11:06:50,,3,9
1630481004290487,548482168126144,2021,30,1,53,95571.0,2.0,1,CIAR4,1,CIAR4,1,2024-06-03 11:06:36,,3,9
1630481005290487,548482168126144,2021,30,1,53,95571.0,2.0,1,LEVU,1,LEVU,1,2024-06-03 11:06:36,,3,9
1630496275290487,548482452126144,2021,30,4,49,94088.0,1.0,1,CESTM,1,CESTM,3,2024-06-03 11:06:50,,3,9
1630496276290487,548482452126144,2021,30,4,49,94088.0,2.0,1,CESTM,1,CESTM,3,2024-06-03 11:06:50,,3,9
1630481740290487,548482174126144,2021,30,1,29,93656.0,2.0,1,CESTM,1,CESTM,4,2024-06-03 11:06:37,,3,9
1630481741290487,548482174126144,2021,30,1,29,93656.0,3.0,1,CESTM,1,CESTM,1,2024-06-03 11:06:37,,3,9
1630467549290487,548481932126144,2021,30,1,29,87994.0,1.0,1,CIAR4,1,CIAR4,1,2024-06-03 11:06:27,,3,9
1630467550290487,548481932126144,2021,30,1,29,87994.0,2.0,1,CIAR4,1,CIAR4,1,2024-06-03 11:06:27,,3,9
1630467551290487,548481932126144,2021,30,1,29,87994.0,3.0,1,CIAR4,1,CIAR4,1,2024-06-03 11:06:27,,3,9
1630467552290487,548481932126144,2021,30,1,29,87994.0,1.0,1,CYOF,1,CYOF,1,2024-06-03 11:06:27,,3,9
1630474658290487,548482091126144,2021,30,1,53,90002.0,4.0,2,CESTM,1,CESTM,1,2024-06-03 11:06:33,,3,9
1630468033290487,548481935126144,2021,30,3,61,88393.0,1.0,1,CESTM,1,CESTM,10,2024-06-03 11:06:27,,3,9
1630468034290487,548481935126144,2021,30,3,61,88393.0,2.0,1,CESTM,1,CESTM,15,2024-06-03 11:06:27,,3,9
1630468035290487,548481935126144,2021,30,3,61,88393.0,3.0,1,CESTM,1,CESTM,5,2024-06-03 11:06:27,,3,9
1630468036290487,548481935126144,2021,30,3,61,88393.0,4.0,1,CESTM,1,CESTM,25,2024-06-03 11:06:27,,3,9
1630508688290487,548482933126144,2021,30,2,33,82021.0,2.0,1,CIAR4,1,CIAR4,4,2024-06-03 11:07:01,,3,9
1630486728290487,548482259126144,2021,30,3,63,84443.0,3.0,2,CESTM,1,CESTM,1,2024-06-03 11:06:40,,3,9
1630467553290487,548481932126144,2021,30,1,29,87994.0,2.0,1,CYOF,1,CYOF,1,2024-06-03 11:06:27,,3,9
1630467554290487,548481932126144,2021,30,1,29,87994.0,3.0,1,CYOF,1,CYOF,1,2024-06-03 11:06:27,,3,9
