CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1293395253290487,821935276290487,2022,37,3,183,154.0,2.0,1,LOJA,1,LOJA,20,2023-03-13 13:26:24,,11,1
1293395254290487,821935276290487,2022,37,3,183,154.0,3.0,1,LOJA,1,LOJA,10,2023-03-13 13:26:24,,11,1
1293395255290487,821935276290487,2022,37,3,183,154.0,2.0,1,MEAZ,1,MEAZ,1,2023-03-13 13:26:24,,11,1
1293395256290487,821935276290487,2022,37,3,183,154.0,1.0,1,MIVI,1,MIVI,35,2023-03-13 13:26:24,,11,1
1293395257290487,821935276290487,2022,37,3,183,154.0,2.0,1,MIVI,1,MIVI,40,2023-03-13 13:26:24,,11,1
1293395258290487,821935276290487,2022,37,3,183,154.0,3.0,1,MIVI,1,MIVI,1,2023-03-13 13:26:24,,11,1
1293395259290487,821935276290487,2022,37,3,183,154.0,3.0,1,NADO,1,NADO,1,2023-03-13 13:26:24,,11,1
1293395260290487,821935276290487,2022,37,3,183,154.0,2.0,1,PYCA80,1,PYCA80,1,2023-03-13 13:26:24,,11,1
1293395261290487,821935276290487,2022,37,3,183,154.0,3.0,1,PYCA80,1,PYCA80,1,2023-03-13 13:26:24,,11,1
1293395262290487,821935276290487,2022,37,3,183,154.0,1.0,1,ROSA5,1,ROSA5,1,2023-03-13 13:26:24,,11,1
1293395263290487,821935276290487,2022,37,3,183,154.0,2.0,1,ROSA5,1,ROSA5,1,2023-03-13 13:26:24,,11,1
1293395264290487,821935276290487,2022,37,3,183,154.0,3.0,1,ROSA5,1,ROSA5,5,2023-03-13 13:26:24,,11,1
1293395269290487,821935277290487,2022,37,3,183,73.0,2.0,2,LOJA,1,LOJA,1,2023-03-13 13:26:24,,11,1
1293395279290487,821935279290487,2022,37,1,101,64.0,2.0,1,LIGUS2,1,LIGUS2,1,2023-03-13 13:26:24,,11,1
1293395280290487,821935279290487,2022,37,1,101,64.0,4.0,1,LIGUS2,1,LIGUS2,1,2023-03-13 13:26:24,,11,1
1293395281290487,821935279290487,2022,37,1,101,64.0,2.0,1,LOJA,1,LOJA,10,2023-03-13 13:26:24,,11,1
1293395282290487,821935279290487,2022,37,1,101,64.0,4.0,1,LOJA,1,LOJA,30,2023-03-13 13:26:24,,11,1
1293395283290487,821935279290487,2022,37,1,101,64.0,4.0,1,MIVI,1,MIVI,1,2023-03-13 13:26:24,,11,1
1293395284290487,821935279290487,2022,37,1,101,64.0,2.0,1,VINCA,1,VINCA,25,2023-03-13 13:26:24,,11,1
1293395290290487,821935280290487,2022,37,3,183,13.0,3.0,2,LIGUS2,1,LIGUS2,1,2023-03-13 13:26:24,,11,1
1293395428290487,821935283290487,2022,37,1,85,31.0,1.0,1,LIGUS2,1,LIGUS2,25,2023-03-13 13:26:25,,11,1
1293395429290487,821935283290487,2022,37,1,85,31.0,2.0,1,LIGUS2,1,LIGUS2,1,2023-03-13 13:26:25,,11,1
1293395430290487,821935283290487,2022,37,1,85,31.0,4.0,1,LIGUS2,1,LIGUS2,1,2023-03-13 13:26:25,,11,1
1293395431290487,821935283290487,2022,37,1,85,31.0,1.0,1,LOJA,1,LOJA,1,2023-03-13 13:26:25,,11,1
