CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1314964469290487,815159935290487,2022,38,1,53,22422.0,4.0,1,EUES,1,EUES,18,2023-05-24 12:21:47,,7,7
1314964470290487,815159935290487,2022,38,1,53,22422.0,1.0,1,LONIC,1,LONIC,2,2023-05-24 12:21:47,,7,7
1314964471290487,815159935290487,2022,38,1,53,22422.0,2.0,1,LONIC,1,LONIC,1,2023-05-24 12:21:47,,7,7
1314964472290487,815159935290487,2022,38,1,53,22422.0,3.0,1,LONIC,1,LONIC,1,2023-05-24 12:21:47,,7,7
1314964473290487,815159935290487,2022,38,1,53,22422.0,4.0,1,LONIC,1,LONIC,1,2023-05-24 12:21:47,,7,7
1676797464290487,1097569718290487,2023,38,1,29,22361.0,2.0,1,EUES,1,EUES,1,2024-09-20 08:03:14,,7,8
1676797465290487,1097569718290487,2023,38,1,29,22361.0,3.0,1,EUES,1,EUES,1,2024-09-20 08:03:14,,7,8
1676797466290487,1097569718290487,2023,38,1,29,22361.0,1.0,1,PHAR3,1,PHAR3,95,2024-09-20 08:03:14,,7,8
1676797467290487,1097569718290487,2023,38,1,29,22361.0,2.0,1,PHAR3,1,PHAR3,80,2024-09-20 08:03:14,,7,8
1676797468290487,1097569718290487,2023,38,1,29,22361.0,3.0,1,PHAR3,1,PHAR3,90,2024-09-20 08:03:14,,7,8
1676797469290487,1097569718290487,2023,38,1,29,22361.0,4.0,1,PHAR3,1,PHAR3,94,2024-09-20 08:03:14,,7,8
1314964468290487,815159935290487,2022,38,1,53,22422.0,3.0,1,EUES,1,EUES,1,2023-05-24 12:21:47,,7,7
1676798002290487,1097570677290487,2023,38,1,101,22383.0,1.0,1,RHCA3,1,RHCA3,40,2024-09-20 08:03:17,,8,1
1676798003290487,1097570677290487,2023,38,1,101,22383.0,3.0,1,RHCA3,1,RHCA3,40,2024-09-20 08:03:17,,8,1
1807016288290487,1285509907290487,2024,38,1,17,20619.0,2.0,2,LOTA,1,LOTA,1,2025-03-05 11:19:21,,8,2
1807016289290487,1285509907290487,2024,38,1,17,20619.0,2.0,2,ULPU,1,ULPU,70,2025-03-05 11:19:21,,8,2
1807017979290487,1285510028290487,2024,38,1,67,20343.0,3.0,2,PHAR3,1,PHAR3,7,2025-03-05 11:19:29,,8,2
1898046891290487,1543053795290487,2025,38,1,53,22429.0,1.0,1,PHAR3,1,PHAR3,1,2025-12-02 12:27:29,,8,3
1898046892290487,1543053795290487,2025,38,1,53,22429.0,2.0,1,PHAR3,1,PHAR3,4,2025-12-02 12:27:29,,8,3
1898046893290487,1543053795290487,2025,38,1,53,22429.0,3.0,1,PHAR3,1,PHAR3,1,2025-12-02 12:27:29,,8,3
1898046894290487,1543053795290487,2025,38,1,53,22429.0,4.0,2,PHAR3,1,PHAR3,20,2025-12-02 12:27:29,,8,3
1899595620290487,1543054480290487,2025,38,1,97,20251.0,3.0,1,CIAR4,1,CIAR4,1,2025-12-11 09:36:33,,8,3
1898050267290487,1543054531290487,2025,38,1,5,20414.0,2.0,1,LONIC,1,LONIC,2,2025-12-02 12:27:40,,8,3
1898050268290487,1543054531290487,2025,38,1,5,20414.0,3.0,1,RHCA3,1,RHCA3,10,2025-12-02 12:27:40,,8,3
1898050269290487,1543054531290487,2025,38,1,5,20414.0,4.0,1,RHCA3,1,RHCA3,1,2025-12-02 12:27:40,,8,3
