CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222830782010661,102534474010661,2007,31,1,21,20247.0,1.0,1,PHAR3,1,PHAR3,1,2010-02-24 15:46:22,2012-02-29 11:15:30,5,2
222830784010661,102534474010661,2007,31,1,21,20247.0,1.0,1,ULPU,1,ULPU,40,2010-02-24 15:46:22,2012-02-28 07:06:04,5,2
222830783010661,102534474010661,2007,31,1,21,20247.0,2.0,1,PHAR3,1,PHAR3,10,2010-02-24 15:46:22,2012-02-28 07:02:38,5,2
222830788010661,102538125010661,2007,31,2,157,20226.0,1.0,1,ELAN,1,ELAN,15,2010-02-24 15:46:23,2012-02-28 07:05:49,5,2
222830789010661,102538125010661,2007,31,2,157,20226.0,2.0,1,ELAN,1,ELAN,5,2010-02-24 15:46:23,2012-02-28 07:07:01,5,2
222830787010661,102538125010661,2007,31,2,157,20226.0,3.0,2,CIAR4,1,CIAR4,5,2010-02-24 15:46:23,2012-02-28 07:06:30,5,2
222830790010661,102538125010661,2007,31,2,157,20226.0,3.0,2,PHAR3,1,PHAR3,1,2010-02-24 15:46:23,2012-02-28 07:05:49,5,2
222830792010661,102538125010661,2007,31,2,157,20226.0,3.0,2,TARA,1,TARA,10,2010-02-24 15:46:23,2012-02-28 07:07:31,5,2
222830791010661,102538125010661,2007,31,2,157,20226.0,4.0,2,PHAR3,1,PHAR3,1,2010-02-24 15:46:23,2012-02-28 07:06:17,5,2
222830793010661,102538125010661,2007,31,2,157,20226.0,4.0,2,TARA,1,TARA,10,2010-02-24 15:46:23,2012-02-28 07:05:49,5,2
222830785010661,102534204010661,2007,31,1,25,20227.0,2.0,1,ALPE4,1,ALPE4,30,2010-02-24 15:46:22,2012-02-28 07:14:11,5,2
222830786010661,102534204010661,2007,31,1,25,20227.0,4.0,1,ALPE4,1,ALPE4,10,2010-02-24 15:46:22,2012-02-28 07:14:11,5,2
222830781010661,102535389010661,2007,31,2,15,20200.0,4.0,1,ULPU,1,ULPU,18,2010-02-24 15:46:22,2012-02-28 07:13:16,5,2
222830794010661,102538887010661,2007,31,1,173,20216.0,2.0,1,ULPU,1,ULPU,1,2010-02-24 15:46:23,2012-02-29 11:15:29,5,2
222830777010661,102120985010661,2008,31,2,123,20438.0,4.0,2,CIAR4,1,CIAR4,1,2010-02-24 15:46:14,2012-02-28 07:06:57,5,3
222830778010661,102120985010661,2008,31,2,123,20438.0,4.0,2,ELAN,1,ELAN,60,2010-02-24 15:46:14,2012-02-28 07:06:57,5,3
222830779010661,102120985010661,2008,31,2,123,20438.0,4.0,2,ULPU,1,ULPU,40,2010-02-24 15:46:14,2012-02-28 07:07:12,5,3
222830773010661,102117679010661,2008,31,2,107,20307.0,1.0,1,ULPU,1,ULPU,15,2010-02-24 15:46:14,2012-02-28 07:14:01,5,3
222830774010661,102117679010661,2008,31,2,107,20307.0,4.0,1,ULPU,1,ULPU,15,2010-02-24 15:46:14,2012-02-28 07:14:01,5,3
222830769010661,102118564010661,2008,31,1,73,20211.0,2.0,2,CIAR4,1,CIAR4,5,2010-02-24 15:46:14,2012-02-28 07:13:07,5,3
222830770010661,102118564010661,2008,31,1,73,20211.0,3.0,2,CIAR4,1,CIAR4,5,2010-02-24 15:46:14,2012-02-28 07:13:07,5,3
222830771010661,102119698010661,2008,31,2,101,20276.0,1.0,2,CIAR4,1,CIAR4,2,2010-02-24 15:46:14,2012-02-28 07:06:00,5,3
222830772010661,102119698010661,2008,31,2,101,20276.0,2.0,2,ULPU,1,ULPU,15,2010-02-24 15:46:14,2012-02-28 07:06:57,5,3
222830780010661,102120961010661,2008,31,2,161,20737.0,3.0,1,EUES,1,EUES,1,2010-02-24 15:46:14,2012-02-28 07:02:27,5,3
225565993010661,108629260010661,2009,31,1,139,20253.0,1.0,1,RHCA3,1,RHCA3,1,2010-05-28 05:47:39,2012-02-29 11:15:31,5,4
225565995010661,108629260010661,2009,31,1,139,20253.0,1.0,1,ROMU,1,ROMU,1,2010-05-28 05:47:39,2012-02-29 11:15:31,5,4
222830775010661,102117814010661,2008,31,2,107,20375.0,1.0,1,CIVU,1,CIVU,1,2010-02-24 15:46:14,2012-02-28 07:14:43,5,3
222830776010661,102117814010661,2008,31,2,107,20375.0,2.0,1,CIVU,1,CIVU,1,2010-02-24 15:46:14,2012-02-28 07:14:43,5,3
222830765010661,102117103010661,2008,31,1,37,20218.0,1.0,1,ROMU,1,ROMU,2,2010-02-24 15:46:13,2012-02-28 07:06:14,5,3
