CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222856535010661,122407236010661,2007,33,3,5,759.0,2.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:08:27,2012-02-29 11:15:29,6,6
222856536010661,122407236010661,2007,33,3,5,759.0,3.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:08:27,2012-02-28 07:06:11,6,6
222856533010661,122407236010661,2007,33,3,5,759.0,4.0,1,LONIC,1,LONIC,1,2010-03-01 11:08:27,2012-02-28 07:03:04,6,6
222856537010661,122407236010661,2007,33,3,5,759.0,4.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:08:27,2012-02-29 11:15:29,6,6
222856538010661,122407236010661,2007,33,3,5,759.0,4.0,1,VIOP,1,VIOP,2,2010-03-01 11:08:27,2012-02-28 07:06:53,6,6
222856547010661,122407288010661,2007,33,2,9,396.0,2.0,2,LONIC,1,LONIC,1,2010-03-01 11:08:27,2012-02-28 07:02:48,6,6
222856548010661,122407160010661,2007,33,3,13,1155.0,1.0,1,CEOR7,1,CEOR7,1,2010-03-01 11:08:27,2012-02-28 07:11:33,6,6
222856541010661,122407192010661,2007,33,3,5,523.0,1.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:08:27,2012-02-29 11:15:30,6,6
222856542010661,122407192010661,2007,33,3,5,523.0,3.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:08:27,2012-02-29 11:15:30,6,6
222856555010661,119148079010661,2008,33,2,9,1204.0,2.0,1,BETH,1,BETH,1,2010-03-01 11:08:36,2012-02-28 07:14:48,7,1
222856556010661,119147815010661,2008,33,3,17,425.0,2.0,1,ELUM,1,ELUM,1,2010-03-01 11:08:36,2012-02-28 07:13:22,7,1
222856557010661,119147815010661,2008,33,3,17,425.0,2.0,1,ROMU,1,ROMU,10,2010-03-01 11:08:36,2012-02-28 07:12:54,7,1
222856558010661,119147815010661,2008,33,3,17,425.0,4.0,1,ROMU,1,ROMU,15,2010-03-01 11:08:36,2012-02-28 07:12:54,7,1
222856552010661,119148005010661,2008,33,2,7,65.0,1.0,1,FRAL4,1,FRAL4,1,2010-03-01 11:08:36,2012-02-28 07:13:25,7,1
222856560010661,119148027010661,2008,33,3,19,152.0,1.0,1,FRAL4,1,FRAL4,1,2010-03-01 11:08:36,2012-02-28 07:13:22,7,1
222856561010661,119148027010661,2008,33,3,19,152.0,3.0,1,FRAL4,1,FRAL4,3,2010-03-01 11:08:36,2012-02-28 07:13:22,7,1
222856534010661,122407236010661,2007,33,3,5,759.0,1.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:08:27,2012-02-29 11:15:29,6,6
222856562010661,119148027010661,2008,33,3,19,152.0,4.0,1,FRAL4,1,FRAL4,2,2010-03-01 11:08:36,2012-02-28 07:13:22,7,1
225378336010661,144978149010661,2009,33,3,13,493.0,1.0,1,FRAL4,1,FRAL4,1,2010-05-26 07:53:43,2012-02-29 11:15:32,7,2
225378337010661,144978149010661,2009,33,3,13,493.0,2.0,1,FRAL4,1,FRAL4,1,2010-05-26 07:53:43,2012-02-29 11:15:32,7,2
225378338010661,144978149010661,2009,33,3,13,493.0,3.0,1,FRAL4,1,FRAL4,1,2010-05-26 07:53:43,2012-02-28 07:06:32,7,2
225378625010661,144978193010661,2009,33,3,1,553.0,4.0,2,ACPL,1,ACPL,8,2010-05-26 07:53:46,2012-02-28 07:06:32,7,2
225378628010661,144978193010661,2009,33,3,1,553.0,4.0,2,BETH,1,BETH,1,2010-05-26 07:53:47,2012-02-28 07:05:51,7,2
225380574010661,144981403010661,2009,33,3,15,281.0,2.0,1,FRAL4,1,FRAL4,10,2010-05-26 07:54:10,2012-02-28 07:06:06,7,2
225380575010661,144981403010661,2009,33,3,15,281.0,3.0,1,FRAL4,1,FRAL4,1,2010-05-26 07:54:10,2012-02-29 11:15:31,7,2
225378704010661,144978205010661,2009,33,3,13,946.0,3.0,1,BETH,1,BETH,1,2010-05-26 07:53:47,2012-02-28 07:13:49,7,2
225378781010661,144978219010661,2009,33,3,11,106.0,1.0,1,CEOR7,1,CEOR7,10,2010-05-26 07:53:48,2012-02-28 07:14:18,7,2
225378784010661,144978219010661,2009,33,3,11,106.0,1.0,1,LONIC,1,LONIC,10,2010-05-26 07:53:48,2012-02-28 07:12:03,7,2
225378782010661,144978219010661,2009,33,3,11,106.0,2.0,1,CEOR7,1,CEOR7,10,2010-05-26 07:53:48,2012-02-28 07:14:18,7,2
225378783010661,144978219010661,2009,33,3,11,106.0,4.0,1,CEOR7,1,CEOR7,1,2010-05-26 07:53:48,2012-02-28 07:14:18,7,2
225378785010661,144978219010661,2009,33,3,11,106.0,4.0,1,LONIC,1,LONIC,10,2010-05-26 07:53:48,2012-02-28 07:12:03,7,2
225378786010661,144978219010661,2009,33,3,11,106.0,4.0,1,ROMU,1,ROMU,1,2010-05-26 07:53:48,2012-02-28 07:11:38,7,2
245448675010661,168987521010661,2010,33,3,13,596.0,1.0,1,FRAL4,1,FRAL4,5,2011-02-22 11:13:07,,7,3
