CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
534752176126144,375837693489998,2017,34,1,37,463.0,1.0,1,CEOR7,1,CEOR7,1,2018-05-10 13:17:01,,7,4
534752177126144,375837693489998,2017,34,1,37,463.0,2.0,1,CEOR7,1,CEOR7,1,2018-05-10 13:17:01,,7,4
534752178126144,375837693489998,2017,34,1,37,463.0,4.0,1,CEOR7,1,CEOR7,1,2018-05-10 13:17:01,,7,4
534752179126144,375837693489998,2017,34,1,37,463.0,1.0,1,LIVU,1,LIVU,1,2018-05-10 13:17:01,,7,4
534752180126144,375837693489998,2017,34,1,37,463.0,4.0,1,LIVU,1,LIVU,1,2018-05-10 13:17:01,,7,4
534752181126144,375837693489998,2017,34,1,37,463.0,1.0,1,LOMO2,1,LOMO2,1,2018-05-10 13:17:01,,7,4
534752182126144,375837693489998,2017,34,1,37,463.0,2.0,1,LOMO2,1,LOMO2,1,2018-05-10 13:17:01,,7,4
534752183126144,375837693489998,2017,34,1,37,463.0,3.0,1,LOMO2,1,LOMO2,1,2018-05-10 13:17:01,,7,4
534752184126144,375837693489998,2017,34,1,37,463.0,4.0,1,LOMO2,1,LOMO2,1,2018-05-10 13:17:01,,7,4
534752185126144,375837693489998,2017,34,1,37,463.0,1.0,1,RHCA3,1,RHCA3,4,2018-05-10 13:17:01,,7,4
534752186126144,375837693489998,2017,34,1,37,463.0,2.0,1,RHCA3,1,RHCA3,7,2018-05-10 13:17:01,,7,4
534752187126144,375837693489998,2017,34,1,37,463.0,4.0,1,RHCA3,1,RHCA3,9,2018-05-10 13:17:01,,7,4
534752188126144,375837693489998,2017,34,1,37,463.0,1.0,1,ROMU,1,ROMU,1,2018-05-10 13:17:01,,7,4
534752189126144,375837693489998,2017,34,1,37,463.0,2.0,1,ROMU,1,ROMU,2,2018-05-10 13:17:01,,7,4
534752190126144,375837693489998,2017,34,1,37,463.0,4.0,1,ROMU,1,ROMU,1,2018-05-10 13:17:01,,7,4
534752439126144,375837701489998,2017,34,1,37,324.0,1.0,1,ALPE4,1,ALPE4,1,2018-05-10 13:17:01,,7,4
534752440126144,375837701489998,2017,34,1,37,324.0,2.0,1,ALPE4,1,ALPE4,1,2018-05-10 13:17:01,,7,4
534752441126144,375837701489998,2017,34,1,37,324.0,3.0,1,ALPE4,1,ALPE4,1,2018-05-10 13:17:01,,7,4
534752442126144,375837701489998,2017,34,1,37,324.0,4.0,1,ALPE4,1,ALPE4,1,2018-05-10 13:17:01,,7,4
534752443126144,375837701489998,2017,34,1,37,324.0,1.0,1,BETH,1,BETH,3,2018-05-10 13:17:01,,7,4
534752444126144,375837701489998,2017,34,1,37,324.0,2.0,1,BETH,1,BETH,1,2018-05-10 13:17:01,,7,4
534752445126144,375837701489998,2017,34,1,37,324.0,3.0,1,BETH,1,BETH,1,2018-05-10 13:17:01,,7,4
534752446126144,375837701489998,2017,34,1,37,324.0,4.0,1,BETH,1,BETH,1,2018-05-10 13:17:01,,7,4
534752447126144,375837701489998,2017,34,1,37,324.0,1.0,1,CEOR7,1,CEOR7,10,2018-05-10 13:17:01,,7,4
534752448126144,375837701489998,2017,34,1,37,324.0,2.0,1,CEOR7,1,CEOR7,60,2018-05-10 13:17:01,,7,4
534752449126144,375837701489998,2017,34,1,37,324.0,3.0,1,CEOR7,1,CEOR7,5,2018-05-10 13:17:01,,7,4
534752450126144,375837701489998,2017,34,1,37,324.0,4.0,1,CEOR7,1,CEOR7,5,2018-05-10 13:17:01,,7,4
534752451126144,375837701489998,2017,34,1,37,324.0,2.0,1,ELUM,1,ELUM,7,2018-05-10 13:17:01,,7,4
534752452126144,375837701489998,2017,34,1,37,324.0,2.0,1,LIVU,1,LIVU,1,2018-05-10 13:17:01,,7,4
534752453126144,375837701489998,2017,34,1,37,324.0,3.0,1,LIVU,1,LIVU,1,2018-05-10 13:17:01,,7,4
534752454126144,375837701489998,2017,34,1,37,324.0,1.0,1,LOMO2,1,LOMO2,3,2018-05-10 13:17:01,,7,4
534752455126144,375837701489998,2017,34,1,37,324.0,2.0,1,LOMO2,1,LOMO2,10,2018-05-10 13:17:01,,7,4
534752456126144,375837701489998,2017,34,1,37,324.0,3.0,1,LOMO2,1,LOMO2,8,2018-05-10 13:17:01,,7,4
534752457126144,375837701489998,2017,34,1,37,324.0,4.0,1,LOMO2,1,LOMO2,7,2018-05-10 13:17:01,,7,4
534752458126144,375837701489998,2017,34,1,37,324.0,1.0,1,MIVI,1,MIVI,1,2018-05-10 13:17:01,,7,4
534752459126144,375837701489998,2017,34,1,37,324.0,4.0,1,MIVI,1,MIVI,1,2018-05-10 13:17:01,,7,4
534752460126144,375837701489998,2017,34,1,37,324.0,1.0,1,RHCA3,1,RHCA3,1,2018-05-10 13:17:01,,7,4
534752461126144,375837701489998,2017,34,1,37,324.0,2.0,1,RHCA3,1,RHCA3,2,2018-05-10 13:17:01,,7,4
534752462126144,375837701489998,2017,34,1,37,324.0,3.0,1,RHCA3,1,RHCA3,5,2018-05-10 13:17:01,,7,4
534752463126144,375837701489998,2017,34,1,37,324.0,1.0,1,ROMU,1,ROMU,15,2018-05-10 13:17:01,,7,4
534752464126144,375837701489998,2017,34,1,37,324.0,2.0,1,ROMU,1,ROMU,3,2018-05-10 13:17:01,,7,4
534752465126144,375837701489998,2017,34,1,37,324.0,3.0,1,ROMU,1,ROMU,6,2018-05-10 13:17:01,,7,4
534752466126144,375837701489998,2017,34,1,37,324.0,4.0,1,ROMU,1,ROMU,3,2018-05-10 13:17:01,,7,4
380297840489998,264094615489998,2015,34,1,35,600.0,1.0,1,ALPE4,1,ALPE4,3,2016-03-14 09:58:35,,7,2
380297841489998,264094615489998,2015,34,1,35,600.0,2.0,1,ALPE4,1,ALPE4,1,2016-03-14 09:58:35,,7,2
380297842489998,264094615489998,2015,34,1,35,600.0,3.0,1,ALPE4,1,ALPE4,1,2016-03-14 09:58:35,,7,2
380297843489998,264094615489998,2015,34,1,35,600.0,4.0,1,ALPE4,1,ALPE4,1,2016-03-14 09:58:35,,7,2
380297844489998,264094615489998,2015,34,1,35,600.0,3.0,1,BETH,1,BETH,1,2016-03-14 09:58:35,,7,2
380297845489998,264094615489998,2015,34,1,35,600.0,1.0,1,CEOR7,1,CEOR7,1,2016-03-14 09:58:35,,7,2
380297846489998,264094615489998,2015,34,1,35,600.0,3.0,1,CEOR7,1,CEOR7,1,2016-03-14 09:58:35,,7,2
380297847489998,264094615489998,2015,34,1,35,600.0,4.0,1,CEOR7,1,CEOR7,3,2016-03-14 09:58:35,,7,2
380297848489998,264094615489998,2015,34,1,35,600.0,1.0,1,LOJA,1,LOJA,2,2016-03-14 09:58:35,,7,2
380297849489998,264094615489998,2015,34,1,35,600.0,2.0,1,LOJA,1,LOJA,1,2016-03-14 09:58:35,,7,2
380297850489998,264094615489998,2015,34,1,35,600.0,4.0,1,LOJA,1,LOJA,14,2016-03-14 09:58:35,,7,2
380297851489998,264094615489998,2015,34,1,35,600.0,1.0,1,LOMO2,1,LOMO2,1,2016-03-14 09:58:35,,7,2
380297852489998,264094615489998,2015,34,1,35,600.0,3.0,1,LOMO2,1,LOMO2,1,2016-03-14 09:58:35,,7,2
380297853489998,264094615489998,2015,34,1,35,600.0,1.0,1,MIVI,1,MIVI,2,2016-03-14 09:58:35,,7,2
380297854489998,264094615489998,2015,34,1,35,600.0,4.0,1,MIVI,1,MIVI,7,2016-03-14 09:58:35,,7,2
380297855489998,264094615489998,2015,34,1,35,600.0,1.0,1,ROMU,1,ROMU,4,2016-03-14 09:58:35,,7,2
380297856489998,264094615489998,2015,34,1,35,600.0,4.0,1,ROMU,1,ROMU,1,2016-03-14 09:58:35,,7,2
467133941489998,304207856489998,2016,34,1,27,485.0,4.0,1,BETH,1,BETH,1,2017-04-17 08:12:27,,7,3
467133942489998,304207856489998,2016,34,1,27,485.0,4.0,1,ROMU,1,ROMU,1,2017-04-17 08:12:27,,7,3
467134686489998,304207867489998,2016,34,1,37,444.0,2.0,1,ALPE4,1,ALPE4,1,2017-04-17 08:12:34,,7,3
467134687489998,304207867489998,2016,34,1,37,444.0,3.0,1,ALPE4,1,ALPE4,1,2017-04-17 08:12:34,,7,3
467134688489998,304207867489998,2016,34,1,37,444.0,4.0,1,ALPE4,1,ALPE4,1,2017-04-17 08:12:34,,7,3
467134689489998,304207867489998,2016,34,1,37,444.0,1.0,1,BETH,1,BETH,32,2017-04-17 08:12:34,,7,3
467134690489998,304207867489998,2016,34,1,37,444.0,2.0,1,BETH,1,BETH,28,2017-04-17 08:12:34,,7,3
467134691489998,304207867489998,2016,34,1,37,444.0,3.0,1,BETH,1,BETH,22,2017-04-17 08:12:34,,7,3
467134692489998,304207867489998,2016,34,1,37,444.0,4.0,1,BETH,1,BETH,50,2017-04-17 08:12:34,,7,3
467134693489998,304207867489998,2016,34,1,37,444.0,1.0,1,CEOR7,1,CEOR7,1,2017-04-17 08:12:34,,7,3
467134694489998,304207867489998,2016,34,1,37,444.0,2.0,1,CEOR7,1,CEOR7,1,2017-04-17 08:12:34,,7,3
467134695489998,304207867489998,2016,34,1,37,444.0,3.0,1,CEOR7,1,CEOR7,1,2017-04-17 08:12:34,,7,3
467134696489998,304207867489998,2016,34,1,37,444.0,4.0,1,CEOR7,1,CEOR7,3,2017-04-17 08:12:34,,7,3
467134697489998,304207867489998,2016,34,1,37,444.0,2.0,1,CIVU,1,CIVU,1,2017-04-17 08:12:34,,7,3
467134698489998,304207867489998,2016,34,1,37,444.0,3.0,1,LIVU,1,LIVU,1,2017-04-17 08:12:34,,7,3
467134699489998,304207867489998,2016,34,1,37,444.0,4.0,1,LIVU,1,LIVU,1,2017-04-17 08:12:34,,7,3
467134700489998,304207867489998,2016,34,1,37,444.0,1.0,1,MIVI,1,MIVI,3,2017-04-17 08:12:34,,7,3
467134701489998,304207867489998,2016,34,1,37,444.0,2.0,1,MIVI,1,MIVI,1,2017-04-17 08:12:34,,7,3
467134702489998,304207867489998,2016,34,1,37,444.0,3.0,1,MIVI,1,MIVI,1,2017-04-17 08:12:34,,7,3
467134703489998,304207867489998,2016,34,1,37,444.0,4.0,1,MIVI,1,MIVI,1,2017-04-17 08:12:34,,7,3
467134704489998,304207867489998,2016,34,1,37,444.0,1.0,1,ROMU,1,ROMU,1,2017-04-17 08:12:34,,7,3
467134705489998,304207867489998,2016,34,1,37,444.0,3.0,1,ROMU,1,ROMU,1,2017-04-17 08:12:34,,7,3
467134706489998,304207867489998,2016,34,1,37,444.0,4.0,1,ROMU,1,ROMU,1,2017-04-17 08:12:35,,7,3
467134997489998,304207925489998,2016,34,1,9,710.0,1.0,1,PHAU7,1,PHAU7,3,2017-04-17 08:12:36,,7,3
467135445489998,304207836489998,2016,34,1,19,1004.0,1.0,2,ACPL,1,ACPL,1,2017-04-17 08:12:40,,7,3
467135446489998,304207836489998,2016,34,1,19,1004.0,1.0,2,ALPE4,1,ALPE4,1,2017-04-17 08:12:40,,7,3
467135447489998,304207836489998,2016,34,1,19,1004.0,1.0,2,CEOR7,1,CEOR7,1,2017-04-17 08:12:40,,7,3
467135448489998,304207836489998,2016,34,1,19,1004.0,1.0,2,HEHE,1,HEHE,1,2017-04-17 08:12:40,,7,3
467135449489998,304207836489998,2016,34,1,19,1004.0,1.0,2,LIVU,1,LIVU,5,2017-04-17 08:12:40,,7,3
467135450489998,304207836489998,2016,34,1,19,1004.0,1.0,2,LOJA,1,LOJA,15,2017-04-17 08:12:40,,7,3
467135451489998,304207836489998,2016,34,1,19,1004.0,3.0,2,LOJA,1,LOJA,3,2017-04-17 08:12:40,,7,3
534752175126144,375837693489998,2017,34,1,37,463.0,4.0,1,BETH,1,BETH,3,2018-05-10 13:17:01,,7,4
467135452489998,304207836489998,2016,34,1,19,1004.0,1.0,2,MIVI,1,MIVI,1,2017-04-17 08:12:40,,7,3
467135453489998,304207836489998,2016,34,1,19,1004.0,3.0,2,MIVI,1,MIVI,3,2017-04-17 08:12:40,,7,3
467135454489998,304207836489998,2016,34,1,19,1004.0,1.0,2,ROMU,1,ROMU,3,2017-04-17 08:12:40,,7,3
467135455489998,304207836489998,2016,34,1,19,1004.0,3.0,2,ROMU,1,ROMU,16,2017-04-17 08:12:40,,7,3
467135456489998,304207836489998,2016,34,1,19,1004.0,1.0,2,VIOP,1,VIOP,1,2017-04-17 08:12:40,,7,3
467135794489998,304207940489998,2016,34,1,35,1165.0,1.0,1,CEOR7,1,CEOR7,1,2017-04-17 08:12:44,,7,3
222856803010661,171000701010661,2008,34,1,27,193.0,2.0,1,MIVI,1,MIVI,3,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
222856804010661,171000701010661,2008,34,1,27,193.0,2.0,1,ROMU,1,ROMU,2,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
222856792010661,171000701010661,2008,34,1,27,193.0,3.0,1,ALPE4,1,ALPE4,1,2010-03-01 11:10:38,2012-02-28 07:11:57,5,5
222856796010661,171000701010661,2008,34,1,27,193.0,3.0,1,BETH,1,BETH,2,2010-03-01 11:10:38,2012-02-28 07:11:32,5,5
222856800010661,171000701010661,2008,34,1,27,193.0,3.0,1,CEOR7,1,CEOR7,1,2010-03-01 11:10:38,2012-02-28 07:13:42,5,5
222856793010661,171000701010661,2008,34,1,27,193.0,4.0,1,ALPE4,1,ALPE4,2,2010-03-01 11:10:38,2012-02-28 07:11:57,5,5
222856797010661,171000701010661,2008,34,1,27,193.0,4.0,1,BETH,1,BETH,5,2010-03-01 11:10:38,2012-02-28 07:11:32,5,5
222856801010661,171000701010661,2008,34,1,27,193.0,4.0,1,CEOR7,1,CEOR7,1,2010-03-01 11:10:38,2012-02-28 07:13:42,5,5
222856805010661,171000701010661,2008,34,1,27,193.0,4.0,1,ROMU,1,ROMU,2,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
222856806010661,171000703010661,2008,34,1,29,990.0,1.0,1,ELAN,1,ELAN,15,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
222856808010661,171000703010661,2008,34,1,29,990.0,1.0,1,LOJA,1,LOJA,10,2010-03-01 11:10:38,2012-02-28 07:13:42,5,5
222856812010661,171000703010661,2008,34,1,29,990.0,1.0,1,PHAR3,1,PHAR3,1,2010-03-01 11:10:38,2012-02-28 07:12:48,5,5
222856807010661,171000703010661,2008,34,1,29,990.0,2.0,1,ELAN,1,ELAN,2,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
222856809010661,171000703010661,2008,34,1,29,990.0,2.0,1,LOJA,1,LOJA,30,2010-03-01 11:10:38,2012-02-28 07:13:42,5,5
222856813010661,171000703010661,2008,34,1,29,990.0,2.0,1,PHAR3,1,PHAR3,1,2010-03-01 11:10:38,2012-02-28 07:12:48,5,5
222856814010661,171000703010661,2008,34,1,29,990.0,2.0,1,ROMU,1,ROMU,3,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
222856810010661,171000703010661,2008,34,1,29,990.0,4.0,1,LOJA,1,LOJA,40,2010-03-01 11:10:38,2012-02-28 07:13:42,5,5
222856811010661,171000703010661,2008,34,1,29,990.0,4.0,1,MIVI,1,MIVI,2,2010-03-01 11:10:38,2012-02-28 07:11:57,5,5
222856815010661,171000703010661,2008,34,1,29,990.0,4.0,1,ROMU,1,ROMU,5,2010-03-01 11:10:38,2012-02-28 07:12:20,5,5
152864433020004,171000677010661,2008,34,1,19,1177.0,3.0,2,2GRAM,1,MIVI,90,2012-12-07 10:11:46,,5,5
222856785010661,171000677010661,2008,34,1,19,1177.0,3.0,2,BETH,1,BETH,22,2010-03-01 11:10:38,2012-02-28 07:05:55,5,5
222856786010661,171000677010661,2008,34,1,19,1177.0,3.0,2,LOJA,1,LOJA,5,2010-03-01 11:10:38,2012-02-28 07:06:22,5,5
222856787010661,171000677010661,2008,34,1,19,1177.0,3.0,2,LOMO2,1,LOMO2,2,2010-03-01 11:10:38,2012-02-28 07:06:50,5,5
222856788010661,171000677010661,2008,34,1,19,1177.0,3.0,2,ROMU,1,ROMU,18,2010-03-01 11:10:38,2012-02-28 07:06:50,5,5
222856821010661,171000720010661,2008,34,1,33,863.0,1.0,2,LOJA,1,LOJA,1,2010-03-01 11:10:38,2012-02-28 07:07:21,5,5
222856822010661,171000720010661,2008,34,1,33,863.0,1.0,2,ROMU,1,ROMU,1,2010-03-01 11:10:38,2012-02-29 11:15:31,5,5
222856823010661,171000723010661,2008,34,1,33,1199.0,2.0,2,EUES,1,EUES,3,2010-03-01 11:10:38,2012-02-28 07:14:18,5,5
222856824010661,171000730010661,2008,34,1,35,1041.0,2.0,2,ALPE4,1,ALPE4,20,2010-03-01 11:10:38,2012-02-28 07:14:47,5,5
222856825010661,171000730010661,2008,34,1,35,1041.0,2.0,2,BETH,1,BETH,3,2010-03-01 11:10:38,2012-02-28 07:14:18,5,5
222856826010661,171000730010661,2008,34,1,35,1041.0,2.0,2,LOJA,1,LOJA,45,2010-03-01 11:10:38,2012-02-28 07:12:55,5,5
222856827010661,171000730010661,2008,34,1,35,1041.0,2.0,2,ROMU,1,ROMU,25,2010-03-01 11:10:38,2012-02-28 07:13:23,5,5
222856834010661,171001102010661,2008,34,1,41,39.0,3.0,2,ELUM,1,ELUM,1,2010-03-01 11:10:38,2012-02-28 07:11:39,5,5
222856835010661,171001102010661,2008,34,1,41,39.0,3.0,2,LOJA,1,LOJA,2,2010-03-01 11:10:38,2012-02-28 07:11:39,5,5
222856837010661,171001102010661,2008,34,1,41,39.0,3.0,2,LOTA,1,LOTA,5,2010-03-01 11:10:38,2012-02-28 07:13:24,5,5
222856839010661,171001102010661,2008,34,1,41,39.0,3.0,2,MIVI,1,MIVI,30,2010-03-01 11:10:38,2012-02-28 07:13:50,5,5
222856841010661,171001102010661,2008,34,1,41,39.0,3.0,2,ROMU,1,ROMU,20,2010-03-01 11:10:38,2012-02-28 07:13:50,5,5
222856829010661,171001102010661,2008,34,1,41,39.0,4.0,2,ALPE4,1,ALPE4,5,2010-03-01 11:10:38,2012-02-28 07:12:55,5,5
222856831010661,171001102010661,2008,34,1,41,39.0,4.0,2,BETH,1,BETH,2,2010-03-01 11:10:38,2012-02-28 07:14:47,5,5
222856833010661,171001102010661,2008,34,1,41,39.0,4.0,2,CEOR7,1,CEOR7,1,2010-03-01 11:10:38,2012-02-28 07:13:23,5,5
222856836010661,171001102010661,2008,34,1,41,39.0,4.0,2,LOJA,1,LOJA,1,2010-03-01 11:10:38,2012-02-28 07:11:39,5,5
222856838010661,171001102010661,2008,34,1,41,39.0,4.0,2,LOTA,1,LOTA,3,2010-03-01 11:10:38,2012-02-28 07:13:24,5,5
222856840010661,171001102010661,2008,34,1,41,39.0,4.0,2,MIVI,1,MIVI,75,2010-03-01 11:10:38,2012-02-28 07:13:50,5,5
222856842010661,171001102010661,2008,34,1,41,39.0,4.0,2,ROMU,1,ROMU,5,2010-03-01 11:10:38,2012-02-28 07:13:50,5,5
222856828010661,171001102010661,2008,34,1,41,39.0,3.0,2,ALPE4,1,ALPE4,5,2010-03-01 11:10:38,2012-02-28 07:12:55,5,5
222856830010661,171001102010661,2008,34,1,41,39.0,3.0,2,BETH,1,BETH,10,2010-03-01 11:10:38,2012-02-28 07:14:47,5,5
222856832010661,171001102010661,2008,34,1,41,39.0,3.0,2,CEOR7,1,CEOR7,30,2010-03-01 11:10:38,2012-02-28 07:13:23,5,5
222856776010661,171000647010661,2008,34,1,5,542.0,4.0,2,LOJA,1,LOJA,5,2010-03-01 11:10:38,2012-02-28 07:13:26,5,5
222856777010661,171000647010661,2008,34,1,5,542.0,4.0,2,MIVI,1,MIVI,25,2010-03-01 11:10:38,2012-02-28 07:11:40,5,5
222856778010661,171000647010661,2008,34,1,5,542.0,4.0,2,RHCA3,1,RHCA3,7,2010-03-01 11:10:38,2012-02-28 07:13:52,5,5
222856779010661,171000647010661,2008,34,1,5,542.0,4.0,2,ROMU,1,ROMU,10,2010-03-01 11:10:38,2012-02-28 07:14:21,5,5
