CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
43313235010690,37258963010690,2008,35,4,5,92409.0,3.0,1,CANU4,1,CANU4,2,2011-08-25 19:30:10,,3,4
43313236010690,37258963010690,2008,35,4,5,92409.0,4.0,1,CANU4,1,CANU4,2,2011-08-25 19:30:10,,3,4
43312642010690,37261267010690,2008,35,4,27,87436.0,4.0,1,CIVU,1,CIVU,2,2011-08-25 19:29:59,,3,4
43312675010690,37261295010690,2008,35,4,27,87994.0,4.0,2,CANU4,1,CANU4,2,2011-08-25 19:29:59,,3,4
43309119010690,37263509010690,2008,35,2,47,91704.0,3.0,1,CANU4,1,CANU4,2,2011-08-25 19:28:25,,3,4
311732383489998,50561951020004,2014,35,1,1,89625.0,1.0,1,COAR4,1,COAR4,3,2015-03-11 11:53:54,,3,10
311725930489998,50561772020004,2014,35,4,35,86331.0,1.0,1,CIVU,1,CIVU,1,2015-03-11 11:53:40,,3,10
311725931489998,50561772020004,2014,35,4,35,86331.0,4.0,1,CIVU,1,CIVU,1,2015-03-11 11:53:40,,3,10
311734128489998,50562029020004,2014,35,1,61,83026.0,2.0,1,ELAN,1,ELAN,48,2015-03-11 11:53:58,,3,10
311734129489998,50562029020004,2014,35,1,61,83026.0,3.0,1,ELAN,1,ELAN,27,2015-03-11 11:53:58,,3,10
311734130489998,50562029020004,2014,35,1,61,83026.0,4.0,1,ELAN,1,ELAN,31,2015-03-11 11:53:58,,3,10
472122825489998,188783751020004,2016,35,2,7,92111.0,2.0,1,CANU4,1,CANU4,1,2017-05-24 09:53:08,,4,2
472122279489998,188783733020004,2016,35,2,7,82907.0,1.0,1,CANU4,1,CANU4,1,2017-05-24 09:53:06,,4,2
472122280489998,188783733020004,2016,35,2,7,82907.0,2.0,1,CANU4,1,CANU4,1,2017-05-24 09:53:06,,4,2
490358903126144,188783806020004,2016,35,2,7,80435.0,3.0,1,CANU4,1,CANU4,1,2017-11-03 14:24:35,,4,2
472122462489998,188783744020004,2016,35,2,7,81485.0,4.0,1,CANU4,1,CANU4,1,2017-05-24 09:53:07,,4,2
472156376489998,188784533020004,2016,35,3,3,80304.0,3.0,1,CIVU,1,CIVU,1,2017-05-24 09:54:39,,4,2
472124072489998,188783798020004,2016,35,2,33,91603.0,1.0,1,CANU4,1,CANU4,1,2017-05-24 09:53:12,,4,2
472124073489998,188783798020004,2016,35,2,33,91603.0,3.0,1,CANU4,1,CANU4,1,2017-05-24 09:53:12,,4,2
