CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
222858575010661,118183179010661,2008,36,2,67,3009.0,1.0,1,PHAR3,1,PHAR3,90,2010-03-01 11:12:44,2012-02-28 07:14:48,6,1
222858578010661,118183179010661,2008,36,2,67,3009.0,2.0,1,PHAU7,1,PHAU7,90,2010-03-01 11:12:44,2012-02-28 07:13:50,6,1
222858579010661,118183179010661,2008,36,2,67,3009.0,2.0,1,RHCA3,1,RHCA3,30,2010-03-01 11:12:44,2012-02-28 07:13:24,6,1
222858576010661,118183179010661,2008,36,2,67,3009.0,3.0,1,PHAR3,1,PHAR3,10,2010-03-01 11:12:44,2012-02-28 07:14:48,6,1
222858577010661,118183179010661,2008,36,2,67,3009.0,4.0,1,PHAR3,1,PHAR3,10,2010-03-01 11:12:44,2012-02-28 07:14:48,6,1
222858340010661,118182709010661,2008,36,6,7,69.0,1.0,1,LONIC,1,LONIC,1,2010-03-01 11:12:43,2012-02-29 11:15:31,6,1
222858343010661,118182709010661,2008,36,6,7,69.0,1.0,1,ROPS,1,ROPS,2,2010-03-01 11:12:43,2012-02-28 07:06:37,6,1
222858341010661,118182709010661,2008,36,6,7,69.0,3.0,1,LONIC,1,LONIC,1,2010-03-01 11:12:43,2012-02-29 11:15:31,6,1
222858342010661,118182709010661,2008,36,6,7,69.0,3.0,1,ROMU,1,ROMU,1,2010-03-01 11:12:43,2012-02-29 11:15:31,6,1
222858344010661,118182709010661,2008,36,6,7,69.0,4.0,1,ROPS,1,ROPS,3,2010-03-01 11:12:43,2012-02-28 07:07:23,6,1
222858365010661,118183191010661,2008,36,2,11,4442.0,1.0,1,LOMO2,1,LOMO2,5,2010-03-01 11:12:43,2012-02-28 07:12:56,6,1
222858371010661,118183191010661,2008,36,2,11,4442.0,1.0,1,RHCA3,1,RHCA3,99,2010-03-01 11:12:43,2012-02-28 07:13:51,6,1
222858366010661,118183191010661,2008,36,2,11,4442.0,2.0,1,LOMO2,1,LOMO2,5,2010-03-01 11:12:43,2012-02-28 07:12:56,6,1
222858372010661,118183191010661,2008,36,2,11,4442.0,2.0,1,RHCA3,1,RHCA3,90,2010-03-01 11:12:43,2012-02-28 07:13:51,6,1
222858367010661,118183191010661,2008,36,2,11,4442.0,3.0,1,LOMO2,1,LOMO2,15,2010-03-01 11:12:43,2012-02-28 07:12:56,6,1
222858369010661,118183191010661,2008,36,2,11,4442.0,3.0,1,LYNU,1,LYNU,10,2010-03-01 11:12:43,2012-02-28 07:14:48,6,1
222858373010661,118183191010661,2008,36,2,11,4442.0,3.0,1,RHCA3,1,RHCA3,99,2010-03-01 11:12:43,2012-02-28 07:13:51,6,1
222858368010661,118183191010661,2008,36,2,11,4442.0,4.0,1,LOMO2,1,LOMO2,5,2010-03-01 11:12:43,2012-02-28 07:12:56,6,1
222858370010661,118183191010661,2008,36,2,11,4442.0,4.0,1,LYNU,1,LYNU,70,2010-03-01 11:12:43,2012-02-28 07:14:48,6,1
222858374010661,118183191010661,2008,36,2,11,4442.0,4.0,1,RHCA3,1,RHCA3,99,2010-03-01 11:12:43,2012-02-28 07:13:51,6,1
222858554010661,118183591010661,2008,36,2,63,4778.0,1.0,1,LONIC,1,LONIC,3,2010-03-01 11:12:44,2012-02-28 07:13:25,6,1
222858558010661,118183591010661,2008,36,2,63,4778.0,1.0,1,ROMU,1,ROMU,7,2010-03-01 11:12:44,2012-02-28 07:14:50,6,1
222858555010661,118183591010661,2008,36,2,63,4778.0,2.0,1,LONIC,1,LONIC,13,2010-03-01 11:12:44,2012-02-28 07:13:25,6,1
222858559010661,118183591010661,2008,36,2,63,4778.0,2.0,1,ROMU,1,ROMU,1,2010-03-01 11:12:44,2012-02-28 07:14:50,6,1
