CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
248649054010661,168995199010661,2010,39,2,73,5197.0,4.0,1,ELUM,1,ELUM,1,2011-05-12 07:47:35,,6,4
248649055010661,168995199010661,2010,39,2,73,5197.0,1.0,1,LOJA,1,LOJA,1,2011-05-12 07:47:35,,6,4
248649056010661,168995199010661,2010,39,2,73,5197.0,3.0,1,LOJA,1,LOJA,1,2011-05-12 07:47:35,,6,4
248649057010661,168995199010661,2010,39,2,73,5197.0,4.0,1,LOJA,1,LOJA,1,2011-05-12 07:47:35,,6,4
248649058010661,168995199010661,2010,39,2,73,5197.0,1.0,1,ROMU,1,ROMU,10,2011-05-12 07:47:35,,6,4
248649059010661,168995199010661,2010,39,2,73,5197.0,2.0,1,ROMU,1,ROMU,20,2011-05-12 07:47:35,,6,4
248649060010661,168995199010661,2010,39,2,73,5197.0,3.0,1,ROMU,1,ROMU,60,2011-05-12 07:47:35,,6,4
248649061010661,168995199010661,2010,39,2,73,5197.0,4.0,1,ROMU,1,ROMU,70,2011-05-12 07:47:35,,6,4
248649062010661,168995199010661,2010,39,2,73,5197.0,3.0,1,ROPS,1,ROPS,1,2011-05-12 07:47:35,,6,4
248648836010661,168995689010661,2010,39,1,1,4363.0,4.0,2,CEOR7,1,CEOR7,1,2011-05-12 07:47:34,,6,4
248648837010661,168995689010661,2010,39,1,1,4363.0,4.0,2,LOJA,1,LOJA,2,2011-05-12 07:47:34,,6,4
248648838010661,168995689010661,2010,39,1,1,4363.0,4.0,2,ROMU,1,ROMU,8,2011-05-12 07:47:34,,6,4
248648839010661,168995689010661,2010,39,1,1,4363.0,4.0,2,ROPS,1,ROPS,2,2011-05-12 07:47:34,,6,4
248648873010661,168994967010661,2010,39,3,13,986.0,2.0,1,ROMU,1,ROMU,1,2011-05-12 07:47:35,,6,4
248648874010661,168994967010661,2010,39,3,13,986.0,3.0,1,ROMU,1,ROMU,1,2011-05-12 07:47:35,,6,4
248648875010661,168994967010661,2010,39,3,13,986.0,4.0,1,ROMU,1,ROMU,4,2011-05-12 07:47:35,,6,4
248648840010661,168995793010661,2010,39,1,1,1044.0,4.0,2,ROMU,1,ROMU,1,2011-05-12 07:47:34,,6,4
248649048010661,168995445010661,2010,39,2,73,5262.0,2.0,1,BETH,1,BETH,1,2011-05-12 07:47:35,,6,4
248649049010661,168995445010661,2010,39,2,73,5262.0,2.0,1,ELUM,1,ELUM,1,2011-05-12 07:47:35,,6,4
248649050010661,168995445010661,2010,39,2,73,5262.0,2.0,1,LOJA,1,LOJA,1,2011-05-12 07:47:35,,6,4
248649051010661,168995445010661,2010,39,2,73,5262.0,3.0,1,LOJA,1,LOJA,8,2011-05-12 07:47:35,,6,4
248649052010661,168995445010661,2010,39,2,73,5262.0,2.0,1,ROMU,1,ROMU,3,2011-05-12 07:47:35,,6,4
248649053010661,168995445010661,2010,39,2,73,5262.0,3.0,1,ROMU,1,ROMU,3,2011-05-12 07:47:35,,6,4
248648876010661,168994903010661,2010,39,3,13,4879.0,1.0,1,ALPE4,1,ALPE4,20,2011-05-12 07:47:35,,6,4
248648877010661,168994903010661,2010,39,3,13,4879.0,2.0,1,ALPE4,1,ALPE4,22,2011-05-12 07:47:35,,6,4
248648878010661,168994903010661,2010,39,3,13,4879.0,3.0,1,ALPE4,1,ALPE4,10,2011-05-12 07:47:35,,6,4
248648879010661,168994903010661,2010,39,3,13,4879.0,4.0,1,ALPE4,1,ALPE4,7,2011-05-12 07:47:35,,6,4
248648880010661,168994903010661,2010,39,3,13,4879.0,1.0,1,LIVU,1,LIVU,1,2011-05-12 07:47:35,,6,4
248648881010661,168994903010661,2010,39,3,13,4879.0,1.0,1,LOBE,1,LOBE,2,2011-05-12 07:47:35,,6,4
248648882010661,168994903010661,2010,39,3,13,4879.0,4.0,1,LOBE,1,LOBE,30,2011-05-12 07:47:35,,6,4
248648883010661,168994903010661,2010,39,3,13,4879.0,4.0,1,LOJA,1,LOJA,1,2011-05-12 07:47:35,,6,4
248648884010661,168994903010661,2010,39,3,13,4879.0,4.0,1,LOMO2,1,LOMO2,25,2011-05-12 07:47:35,,6,4
248648885010661,168994903010661,2010,39,3,13,4879.0,3.0,1,ROMU,1,ROMU,3,2011-05-12 07:47:35,,6,4
248648886010661,168994903010661,2010,39,3,13,4879.0,4.0,1,ROMU,1,ROMU,3,2011-05-12 07:47:35,,6,4
248648887010661,168994903010661,2010,39,3,13,4879.0,4.0,1,ROPS,1,ROPS,3,2011-05-12 07:47:35,,6,4
248649031010661,168996193010661,2010,39,5,61,2063.0,1.0,1,AIAL,1,AIAL,1,2011-05-12 07:47:35,,6,4
248649032010661,168996193010661,2010,39,5,61,2063.0,2.0,1,AIAL,1,AIAL,1,2011-05-12 07:47:35,,6,4
248649033010661,168996193010661,2010,39,5,61,2063.0,3.0,1,AIAL,1,AIAL,4,2011-05-12 07:47:35,,6,4
248649034010661,168996193010661,2010,39,5,61,2063.0,1.0,1,ALPE4,1,ALPE4,7,2011-05-12 07:47:35,,6,4
248649035010661,168996193010661,2010,39,5,61,2063.0,2.0,1,ALPE4,1,ALPE4,27,2011-05-12 07:47:35,,6,4
248649036010661,168996193010661,2010,39,5,61,2063.0,3.0,1,ALPE4,1,ALPE4,60,2011-05-12 07:47:35,,6,4
248649037010661,168996193010661,2010,39,5,61,2063.0,4.0,1,ALPE4,1,ALPE4,35,2011-05-12 07:47:35,,6,4
248649038010661,168996193010661,2010,39,5,61,2063.0,2.0,1,LIVU,1,LIVU,1,2011-05-12 07:47:35,,6,4
