CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
499116761126144,211972936010854,2010,40,2,91,93.0,3.0,1,ROSA5,1,ROSA5,1,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116762126144,211972938010854,2010,40,1,61,145.0,1.0,1,ROSA5,1,ROSA5,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116763126144,211972938010854,2010,40,1,61,145.0,3.0,1,ROSA5,1,ROSA5,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116764126144,211972946010854,2010,40,1,121,216.0,3.0,1,LECU,1,LECU,30,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116765126144,211972948010854,2010,40,1,121,226.0,1.0,1,LECU,1,LECU,30,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116766126144,211972948010854,2010,40,1,121,226.0,2.0,1,LECU,1,LECU,1,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116767126144,211972948010854,2010,40,1,121,226.0,3.0,1,LECU,1,LECU,1,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116768126144,211972948010854,2010,40,1,121,226.0,4.0,1,LECU,1,LECU,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116769126144,211972958010854,2010,40,2,101,184.0,3.0,2,LIJA,1,LIJA,1,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116770126144,211972968010854,2010,40,2,101,141.0,1.0,1,LIGUS2,1,LIGUS2,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116771126144,211972968010854,2010,40,2,101,141.0,1.0,1,ROSA5,1,ROSA5,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116772126144,211972968010854,2010,40,2,101,141.0,1.0,1,LOJA,1,LOJA,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116773126144,211972968010854,2010,40,2,101,141.0,2.0,1,LIGUS2,1,LIGUS2,1,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116774126144,211972968010854,2010,40,2,101,141.0,2.0,1,ROSA5,1,ROSA5,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116775126144,211972968010854,2010,40,2,101,141.0,2.0,1,LOJA,1,LOJA,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
499116776126144,211972968010854,2010,40,2,101,141.0,3.0,1,LIGUS2,1,LIGUS2,5,2018-01-25 14:36:13,2018-03-29 14:57:15,8,1
