CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1234982264290487,618638156126144,2020,42,0,57,2926.0,4.0,1,ROPS,1,ROPS,4,2022-08-17 07:49:55,,8,6
1234982452290487,618638269126144,2020,42,7,21,3889.0,1.0,1,MIVI,1,MIVI,3,2022-08-17 07:49:56,,8,6
1234982453290487,618638269126144,2020,42,7,21,3889.0,2.0,1,MIVI,1,MIVI,2,2022-08-17 07:49:56,,8,6
1234982454290487,618638269126144,2020,42,7,21,3889.0,3.0,1,MIVI,1,MIVI,5,2022-08-17 07:49:56,,8,6
1234982606290487,618638335126144,2020,42,5,5,3303.0,4.0,1,BETH,1,BETH,1,2022-08-17 07:49:56,,8,6
1234982607290487,618638335126144,2020,42,5,5,3303.0,1.0,1,MIVI,1,MIVI,15,2022-08-17 07:49:56,,8,6
1234982608290487,618638335126144,2020,42,5,5,3303.0,2.0,1,MIVI,1,MIVI,3,2022-08-17 07:49:56,,8,6
1234982609290487,618638335126144,2020,42,5,5,3303.0,4.0,1,MIVI,1,MIVI,10,2022-08-17 07:49:56,,8,6
1234982610290487,618638335126144,2020,42,5,5,3303.0,1.0,1,ROMU,1,ROMU,5,2022-08-17 07:49:56,,8,6
1234982611290487,618638335126144,2020,42,5,5,3303.0,2.0,1,ROMU,1,ROMU,1,2022-08-17 07:49:56,,8,6
1234982612290487,618638335126144,2020,42,5,5,3303.0,4.0,1,ROMU,1,ROMU,3,2022-08-17 07:49:56,,8,6
1234990845290487,618638340126144,2020,42,5,5,3642.0,2.0,1,MIVI,1,MIVI,5,2022-08-17 07:50:13,,8,6
1234990846290487,618638340126144,2020,42,5,5,3642.0,4.0,1,MIVI,1,MIVI,5,2022-08-17 07:50:13,,8,6
207181076020004,247104960010661,2012,42,8,79,2880.0,2.0,1,BETH,1,BETH,2,2013-05-30 13:44:40,,7,3
207181077020004,247104960010661,2012,42,8,79,2880.0,3.0,1,BETH,1,BETH,1,2013-05-30 13:44:40,,7,3
207181078020004,247104960010661,2012,42,8,79,2880.0,4.0,1,BETH,1,BETH,1,2013-05-30 13:44:40,,7,3
207181421020004,247105136010661,2012,42,7,111,2149.0,4.0,1,CIAR4,1,CIAR4,2,2013-05-30 13:44:43,,7,3
207181422020004,247105136010661,2012,42,7,111,2149.0,2.0,1,ROPS,1,ROPS,6,2013-05-30 13:44:43,,7,3
207181423020004,247105136010661,2012,42,7,111,2149.0,3.0,1,ROPS,1,ROPS,1,2013-05-30 13:44:43,,7,3
207187971020004,247104800010661,2012,42,9,41,2086.0,4.0,1,AIAL,1,AIAL,1,2013-05-30 13:45:27,,7,3
207187972020004,247104800010661,2012,42,9,41,2086.0,2.0,1,BETH,1,BETH,1,2013-05-30 13:45:27,,7,3
207187973020004,247104800010661,2012,42,9,41,2086.0,3.0,1,BETH,1,BETH,1,2013-05-30 13:45:27,,7,3
207187974020004,247104800010661,2012,42,9,41,2086.0,1.0,1,MIVI,1,MIVI,2,2013-05-30 13:45:27,,7,3
207187975020004,247104800010661,2012,42,9,41,2086.0,2.0,1,MIVI,1,MIVI,20,2013-05-30 13:45:27,,7,3
207187976020004,247104800010661,2012,42,9,41,2086.0,3.0,1,MIVI,1,MIVI,10,2013-05-30 13:45:27,,7,3
207187977020004,247104800010661,2012,42,9,41,2086.0,4.0,1,MIVI,1,MIVI,25,2013-05-30 13:45:27,,7,3
207187978020004,247104800010661,2012,42,9,41,2086.0,4.0,1,ROPS,1,ROPS,1,2013-05-30 13:45:27,,7,3
207195095020004,247104407010661,2012,42,6,31,2184.0,2.0,1,BETH,1,BETH,1,2013-05-30 13:46:12,,7,3
207195096020004,247104407010661,2012,42,6,31,2184.0,1.0,1,LOMO2,1,LOMO2,1,2013-05-30 13:46:12,,7,3
207195097020004,247104407010661,2012,42,6,31,2184.0,2.0,1,LOMO2,1,LOMO2,8,2013-05-30 13:46:12,,7,3
207195098020004,247104407010661,2012,42,6,31,2184.0,3.0,1,LOMO2,1,LOMO2,1,2013-05-30 13:46:12,,7,3
207195099020004,247104407010661,2012,42,6,31,2184.0,2.0,1,ROMU,1,ROMU,4,2013-05-30 13:46:12,,7,3
207195100020004,247104407010661,2012,42,6,31,2184.0,3.0,1,ROMU,1,ROMU,5,2013-05-30 13:46:12,,7,3
207195199020004,247104455010661,2012,42,7,51,2169.0,2.0,1,ALPE4,1,ALPE4,1,2013-05-30 13:46:12,,7,3
207195200020004,247104455010661,2012,42,7,51,2169.0,2.0,1,BETH,1,BETH,10,2013-05-30 13:46:12,,7,3
207195201020004,247104455010661,2012,42,7,51,2169.0,4.0,1,BETH,1,BETH,1,2013-05-30 13:46:12,,7,3
207195202020004,247104455010661,2012,42,7,51,2169.0,2.0,1,CEOR7,1,CEOR7,20,2013-05-30 13:46:12,,7,3
207195203020004,247104455010661,2012,42,7,51,2169.0,1.0,1,CESTM,1,CESTM,2,2013-05-30 13:46:12,,7,3
207195204020004,247104455010661,2012,42,7,51,2169.0,1.0,1,CIVU,1,CIVU,2,2013-05-30 13:46:12,,7,3
207195205020004,247104455010661,2012,42,7,51,2169.0,1.0,1,ELUM,1,ELUM,13,2013-05-30 13:46:12,,7,3
207195206020004,247104455010661,2012,42,7,51,2169.0,2.0,1,ELUM,1,ELUM,10,2013-05-30 13:46:12,,7,3
207195207020004,247104455010661,2012,42,7,51,2169.0,4.0,1,ELUM,1,ELUM,45,2013-05-30 13:46:12,,7,3
207195208020004,247104455010661,2012,42,7,51,2169.0,4.0,1,EUES,1,EUES,15,2013-05-30 13:46:12,,7,3
207195209020004,247104455010661,2012,42,7,51,2169.0,2.0,1,LIVU,1,LIVU,7,2013-05-30 13:46:12,,7,3
207195210020004,247104455010661,2012,42,7,51,2169.0,2.0,1,LOMO2,1,LOMO2,25,2013-05-30 13:46:12,,7,3
207195211020004,247104455010661,2012,42,7,51,2169.0,4.0,1,LOMO2,1,LOMO2,20,2013-05-30 13:46:12,,7,3
207195212020004,247104455010661,2012,42,7,51,2169.0,1.0,1,ROMU,1,ROMU,3,2013-05-30 13:46:12,,7,3
207195213020004,247104455010661,2012,42,7,51,2169.0,2.0,1,ROMU,1,ROMU,15,2013-05-30 13:46:12,,7,3
207195214020004,247104455010661,2012,42,7,51,2169.0,4.0,1,ROMU,1,ROMU,20,2013-05-30 13:46:12,,7,3
207195215020004,247104455010661,2012,42,7,51,2169.0,1.0,1,ROPS,1,ROPS,1,2013-05-30 13:46:12,,7,3
207195216020004,247104455010661,2012,42,7,51,2169.0,2.0,1,ROPS,1,ROPS,10,2013-05-30 13:46:12,,7,3
207176409020004,247104548010661,2012,42,6,47,2061.0,2.0,1,FRAL4,1,FRAL4,1,2013-05-30 13:43:55,,7,3
207176542020004,247104568010661,2012,42,7,111,2630.0,1.0,1,LOMO2,1,LOMO2,3,2013-05-30 13:43:56,,7,3
207176543020004,247104568010661,2012,42,7,111,2630.0,1.0,1,MIVI,1,MIVI,4,2013-05-30 13:43:56,,7,3
207176544020004,247104568010661,2012,42,7,111,2630.0,1.0,1,ROMU,1,ROMU,1,2013-05-30 13:43:56,,7,3
207176545020004,247104568010661,2012,42,7,111,2630.0,2.0,1,ROMU,1,ROMU,3,2013-05-30 13:43:56,,7,3
207176546020004,247104568010661,2012,42,7,111,2630.0,4.0,1,ROMU,1,ROMU,5,2013-05-30 13:43:56,,7,3
207176680020004,247104622010661,2012,42,7,13,2530.0,1.0,1,ACPL,1,ACPL,3,2013-05-30 13:43:57,,7,3
207176681020004,247104622010661,2012,42,7,13,2530.0,2.0,1,ACPL,1,ACPL,2,2013-05-30 13:43:57,,7,3
207176682020004,247104622010661,2012,42,7,13,2530.0,4.0,1,ACPL,1,ACPL,1,2013-05-30 13:43:57,,7,3
207176683020004,247104622010661,2012,42,7,13,2530.0,1.0,1,AIAL,1,AIAL,12,2013-05-30 13:43:57,,7,3
207176684020004,247104622010661,2012,42,7,13,2530.0,1.0,1,ALPE4,1,ALPE4,5,2013-05-30 13:43:57,,7,3
207176685020004,247104622010661,2012,42,7,13,2530.0,2.0,1,ALPE4,1,ALPE4,15,2013-05-30 13:43:57,,7,3
207176686020004,247104622010661,2012,42,7,13,2530.0,4.0,1,ALPE4,1,ALPE4,10,2013-05-30 13:43:57,,7,3
