CN,STATECD,SYMBOL,INV_GROUP_CD,UNITCD_LIST,START_DATE,END_DATE,MANUAL_START,MANUAL_END,NOTES,CREATED_DATE,MODIFIED_DATE
165138756981125,5,TRSE6,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:53,2017-12-21 17:44:17
165138759981125,5,ELPU2,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:53,2017-12-21 17:44:17
165138760981125,5,LIGUS2,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138761981125,5,LIJA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138763981125,5,NADO,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138764981125,5,ROSA5,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138766981125,5,DIOSC,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138767981125,5,EUFO5,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138768981125,5,LOJA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138770981125,5,VINCA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138771981125,5,WISTE,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138772981125,5,SCPH,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138774981125,5,MIVI,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138775981125,5,MISI,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138777981125,5,LYJA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138778981125,5,ALPE4,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138779981125,5,LESPE,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138781981125,5,BRPA4,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138782981125,5,FISI2,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138783981125,5,FRAL4,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138784981125,5,POTR4,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138785981125,5,PYCA80,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138786981125,5,TAMAR2,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138787981125,5,VEFO,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138788981125,5,BETH,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138789981125,5,MABE2,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138790981125,5,POCU6,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138791981125,5,SPJA,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138792981125,5,AKQU,,"1,2,3,4,5",2013-10-01 00:00:00,,6.0,,,2017-12-21 11:46:54,
165138793981125,51,AIAL,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138794981125,51,ALJU,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138796981125,51,MEAZ,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138797981125,51,TRSE6,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138798981125,51,ELAEA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138801981125,51,LIGUS2,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138802981125,51,LIJA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138803981125,51,LONIC,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138805981125,51,ROSA5,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138806981125,51,CEOR7,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138808981125,51,EUFO5,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138809981125,51,LOJA,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138810981125,51,PUMOL,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138812981125,51,WISTE,,"1,2,3,4,5",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:54,2017-12-21 17:44:17
165138432981125,21,ELPU2,,"1,2,3,4,5,6,7",2001-01-01 00:00:00,,1.0,,,2017-12-21 11:46:50,2017-12-21 17:44:17
