CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1225966703290487,602592932126144,2020,44,1,7,169.0,3.0,1,ROMU,1,ROMU,1,2022-07-15 12:06:36,,8,2
1415133489290487,815129911290487,2022,44,1,7,113.0,1.0,1,BETH,1,BETH,1,2023-08-28 14:17:21,,8,4
1415133490290487,815129911290487,2022,44,1,7,113.0,1.0,1,CEOR7,1,CEOR7,1,2023-08-28 14:17:21,,8,4
1415133491290487,815129911290487,2022,44,1,7,113.0,1.0,1,ROMU,1,ROMU,1,2023-08-28 14:17:21,,8,4
1814703856290487,1285511431290487,2024,44,1,5,102.0,2.0,2,LONIC,1,LONIC,2,2025-03-18 11:48:28,,8,6
1814703857290487,1285511431290487,2024,44,1,5,102.0,2.0,2,ROMU,1,ROMU,20,2025-03-18 11:48:28,,8,6
222834727010661,122556737010661,2007,44,1,3,184.0,3.0,2,FRAL4,1,FRAL4,2,2010-02-24 15:52:24,2012-02-28 07:13:47,5,5
222834731010661,122556731010661,2007,44,1,5,313.0,1.0,1,BETH,1,BETH,5,2010-02-24 15:52:25,2012-02-28 07:13:13,5,5
222834732010661,122556731010661,2007,44,1,5,313.0,1.0,1,CEOR7,1,CEOR7,5,2010-02-24 15:52:25,2012-02-28 07:13:13,5,5
222834734010661,122556731010661,2007,44,1,5,313.0,1.0,1,ROMU,1,ROMU,1,2010-02-24 15:52:25,2012-02-28 07:12:47,5,5
222834733010661,122556731010661,2007,44,1,5,313.0,3.0,1,CEOR7,1,CEOR7,2,2010-02-24 15:52:25,2012-02-28 07:13:13,5,5
222834728010661,122556685010661,2007,44,1,3,158.0,3.0,2,CEOR7,1,CEOR7,12,2010-02-24 15:52:24,2012-02-28 07:11:34,5,5
222834735010661,122556757010661,2007,44,1,7,298.0,1.0,1,BETH,1,BETH,2,2010-02-24 15:52:25,2012-02-28 07:11:34,5,5
222834737010661,122556745010661,2007,44,1,7,88.0,1.0,1,FRAL4,1,FRAL4,25,2010-02-24 15:52:25,2012-02-28 07:13:16,5,5
