CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
886385482290487,708740521290487,2020,45,1,11,14.0,4.0,1,LOJA,1,LOJA,2,2021-08-17 09:37:15,,12,4
886385491290487,708740523290487,2020,45,3,77,29.0,3.0,2,LIGUS2,1,LIGUS2,1,2021-08-17 09:37:15,,12,4
886385492290487,708740523290487,2020,45,3,77,29.0,3.0,2,LOJA,1,LOJA,1,2021-08-17 09:37:15,,12,4
886385493290487,708740523290487,2020,45,3,77,29.0,3.0,2,MIVI,1,MIVI,1,2021-08-17 09:37:15,,12,4
886385507290487,708740526290487,2020,45,3,73,86.0,1.0,1,LOJA,1,LOJA,1,2021-08-17 09:37:15,,12,4
886385515290487,708740527290487,2020,45,3,77,10.0,3.0,1,LECU,1,LECU,1,2021-08-17 09:37:15,,12,4
886385516290487,708740527290487,2020,45,3,77,10.0,3.0,1,LIGUS2,1,LIGUS2,1,2021-08-17 09:37:15,,12,4
461457113489998,347395338489998,2016,45,3,21,29.0,4.0,2,LIGUS2,1,LIGUS2,10,2017-03-21 09:32:24,,11,5
461457114489998,347395338489998,2016,45,3,21,29.0,1.0,1,LOJA,1,LOJA,40,2017-03-21 09:32:24,,11,5
461457115489998,347395338489998,2016,45,3,21,29.0,3.0,1,LOJA,1,LOJA,25,2017-03-21 09:32:24,,11,5
461457116489998,347395338489998,2016,45,3,21,29.0,4.0,1,LOJA,1,LOJA,5,2017-03-21 09:32:24,,11,5
461457117489998,347395338489998,2016,45,3,21,29.0,4.0,2,LOJA,1,LOJA,10,2017-03-21 09:32:24,,11,5
461457118489998,347395338489998,2016,45,3,21,29.0,3.0,1,MIVI,1,MIVI,3,2017-03-21 09:32:24,,11,5
461457119489998,347395338489998,2016,45,3,21,29.0,4.0,1,MIVI,1,MIVI,10,2017-03-21 09:32:24,,11,5
461457120489998,347395338489998,2016,45,3,21,29.0,4.0,2,MIVI,1,MIVI,10,2017-03-21 09:32:24,,11,5
461457129489998,347395340489998,2016,45,3,83,101.0,1.0,1,ELAEA,1,ELAEA,20,2017-03-21 09:32:24,,11,5
461457130489998,347395340489998,2016,45,3,83,101.0,2.0,1,ELAEA,1,ELAEA,45,2017-03-21 09:32:24,,11,5
461457131489998,347395340489998,2016,45,3,83,101.0,3.0,1,ELAEA,1,ELAEA,20,2017-03-21 09:32:24,,11,5
461457132489998,347395340489998,2016,45,3,83,101.0,4.0,1,ELAEA,1,ELAEA,20,2017-03-21 09:32:24,,11,5
461457133489998,347395340489998,2016,45,3,83,101.0,3.0,1,LIGUS2,1,LIGUS2,3,2017-03-21 09:32:24,,11,5
461457134489998,347395340489998,2016,45,3,83,101.0,4.0,1,LIGUS2,1,LIGUS2,1,2017-03-21 09:32:24,,11,5
461457135489998,347395340489998,2016,45,3,83,101.0,1.0,1,LOJA,1,LOJA,5,2017-03-21 09:32:24,,11,5
