CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1531304527290487,815156768290487,2022,46,1,111,20258.0,4.0,1,ULPU,1,ULPU,15,2023-11-30 10:13:17,,8,7
1531302550290487,815157063290487,2022,46,1,77,20316.0,2.0,2,RHCA3,1,RHCA3,15,2023-11-30 10:13:10,,8,7
1677014111290487,1192967456290487,2023,46,1,9,20255.0,1.0,1,ELAN,1,ELAN,20,2024-09-24 09:50:48,,8,8
1677014112290487,1192967456290487,2023,46,1,9,20255.0,2.0,1,ELAN,1,ELAN,20,2024-09-24 09:50:48,,8,8
1677014113290487,1192967456290487,2023,46,1,9,20255.0,4.0,1,ELAN,1,ELAN,7,2024-09-24 09:50:48,,8,8
1677014114290487,1192967456290487,2023,46,1,9,20255.0,1.0,1,ELUM,1,ELUM,2,2024-09-24 09:50:48,,8,8
1677014115290487,1192967456290487,2023,46,1,9,20255.0,3.0,1,ELUM,1,ELUM,4,2024-09-24 09:50:48,,8,8
1677014116290487,1192967456290487,2023,46,1,9,20255.0,4.0,1,ELUM,1,ELUM,2,2024-09-24 09:50:48,,8,8
1807170878290487,1287167691290487,2024,46,2,33,20448.0,1.0,1,CIAR4,1,CIAR4,1,2025-03-06 07:47:55,,9,2
1807170879290487,1287167691290487,2024,46,2,33,20448.0,2.0,1,CIAR4,1,CIAR4,1,2025-03-06 07:47:55,,9,2
1807170880290487,1287167691290487,2024,46,2,33,20448.0,4.0,1,CIAR4,1,CIAR4,1,2025-03-06 07:47:55,,9,2
1807169499290487,1287167981290487,2024,46,1,71,20740.0,2.0,1,CIAR4,1,CIAR4,1,2025-03-06 07:47:52,,9,2
1807169500290487,1287167981290487,2024,46,1,71,20740.0,3.0,1,CIAR4,1,CIAR4,6,2025-03-06 07:47:52,,9,2
1900053772290487,1543062611290487,2025,46,2,47,20373.0,1.0,1,CIAR4,1,CIAR4,1,2025-12-18 09:35:09,,9,3
1900053773290487,1543062611290487,2025,46,2,47,20373.0,1.0,1,HEMA3,1,HEMA3,1,2025-12-18 09:35:09,,9,3
1900053774290487,1543062611290487,2025,46,2,47,20373.0,4.0,1,HEMA3,1,HEMA3,1,2025-12-18 09:35:09,,9,3
1900053775290487,1543062611290487,2025,46,2,47,20373.0,1.0,1,LONIC,1,LONIC,7,2025-12-18 09:35:09,,9,3
1900053776290487,1543062611290487,2025,46,2,47,20373.0,2.0,1,LONIC,1,LONIC,17,2025-12-18 09:35:09,,9,3
