CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
434870621489998,274683012489998,2014,47,3,87,11.0,3.0,2,SEVA4,1,SEVA4,1,2016-11-07 12:52:09,,9,5
434870622489998,274683012489998,2014,47,3,87,11.0,4.0,1,SEVA4,1,SEVA4,5,2016-11-07 12:52:09,,9,5
434870628489998,274683013489998,2014,47,2,83,4.0,2.0,1,AIAL,1,AIAL,5,2016-11-07 12:52:09,,9,5
434870629489998,274683013489998,2014,47,2,83,4.0,1.0,1,MIVI,1,MIVI,25,2016-11-07 12:52:09,,9,5
434870630489998,274683013489998,2014,47,2,83,4.0,2.0,1,MIVI,1,MIVI,7,2016-11-07 12:52:09,,9,5
434870635489998,274683014489998,2014,47,2,85,10.0,1.0,1,LESPE,1,LESPE,2,2016-11-07 12:52:09,,9,5
434870636489998,274683014489998,2014,47,2,85,10.0,3.0,1,LESPE,1,LESPE,1,2016-11-07 12:52:09,,9,5
434870637489998,274683014489998,2014,47,2,85,10.0,4.0,1,MIVI,1,MIVI,2,2016-11-07 12:52:09,,9,5
434870642489998,274683015489998,2014,47,2,85,65.0,2.0,1,LOJA,1,LOJA,1,2016-11-07 12:52:09,,9,5
434870643489998,274683015489998,2014,47,2,85,65.0,1.0,1,MIVI,1,MIVI,35,2016-11-07 12:52:09,,9,5
434870644489998,274683015489998,2014,47,2,85,65.0,2.0,1,MIVI,1,MIVI,10,2016-11-07 12:52:09,,9,5
434870645489998,274683015489998,2014,47,2,85,65.0,1.0,1,PATO2,1,PATO2,5,2016-11-07 12:52:09,,9,5
434870646489998,274683015489998,2014,47,2,85,65.0,2.0,1,PATO2,1,PATO2,20,2016-11-07 12:52:09,,9,5
434870651489998,274683016489998,2014,47,2,85,46.0,2.0,1,LIGUS2,1,LIGUS2,1,2016-11-07 12:52:09,,9,5
434870652489998,274683016489998,2014,47,2,85,46.0,1.0,1,LOJA,1,LOJA,4,2016-11-07 12:52:09,,9,5
434870653489998,274683016489998,2014,47,2,85,46.0,2.0,1,LOJA,1,LOJA,5,2016-11-07 12:52:09,,9,5
434870654489998,274683016489998,2014,47,2,85,46.0,3.0,1,LOJA,1,LOJA,70,2016-11-07 12:52:09,,9,5
434870655489998,274683016489998,2014,47,2,85,46.0,4.0,1,LOJA,1,LOJA,45,2016-11-07 12:52:09,,9,5
434870764489998,274683018489998,2014,47,2,85,11.0,1.0,1,LOJA,1,LOJA,1,2016-11-07 12:52:10,,9,5
434870765489998,274683018489998,2014,47,2,85,11.0,2.0,1,LOJA,1,LOJA,4,2016-11-07 12:52:10,,9,5
434870766489998,274683018489998,2014,47,2,85,11.0,3.0,1,LOJA,1,LOJA,7,2016-11-07 12:52:10,,9,5
434870767489998,274683018489998,2014,47,2,85,11.0,4.0,1,LOJA,1,LOJA,5,2016-11-07 12:52:10,,9,5
434870768489998,274683018489998,2014,47,2,85,11.0,1.0,1,LONIC,1,LONIC,3,2016-11-07 12:52:10,,9,5
434870769489998,274683018489998,2014,47,2,85,11.0,2.0,1,LONIC,1,LONIC,15,2016-11-07 12:52:10,,9,5
434870770489998,274683018489998,2014,47,2,85,11.0,3.0,1,LONIC,1,LONIC,5,2016-11-07 12:52:10,,9,5
434870771489998,274683018489998,2014,47,2,85,11.0,4.0,1,LONIC,1,LONIC,10,2016-11-07 12:52:10,,9,5
434870772489998,274683018489998,2014,47,2,85,11.0,2.0,1,MIVI,1,MIVI,5,2016-11-07 12:52:10,,9,5
434870886489998,274683021489998,2014,47,2,135,10.0,1.0,1,LIJA,1,LIJA,5,2016-11-07 12:52:10,,9,5
434870887489998,274683021489998,2014,47,2,135,10.0,2.0,1,LIJA,1,LIJA,1,2016-11-07 12:52:10,,9,5
434870892489998,274683022489998,2014,47,2,135,11.0,1.0,1,LESPE,1,LESPE,3,2016-11-07 12:52:10,,9,5
434870893489998,274683022489998,2014,47,2,135,11.0,2.0,1,LESPE,1,LESPE,1,2016-11-07 12:52:10,,9,5
434870894489998,274683022489998,2014,47,2,135,11.0,4.0,1,LESPE,1,LESPE,1,2016-11-07 12:52:10,,9,5
434870895489998,274683022489998,2014,47,2,135,11.0,2.0,1,ROSA5,1,ROSA5,4,2016-11-07 12:52:10,,9,5
434870900489998,274683023489998,2014,47,2,81,13.0,1.0,1,LONIC,1,LONIC,2,2016-11-07 12:52:10,,9,5
434870901489998,274683023489998,2014,47,2,81,13.0,1.0,1,MIVI,1,MIVI,2,2016-11-07 12:52:10,,9,5
434870906489998,274683024489998,2014,47,2,81,14.0,2.0,2,ALJU,1,ALJU,1,2016-11-07 12:52:10,,9,5
434870907489998,274683024489998,2014,47,2,81,14.0,2.0,2,LECU,1,LECU,45,2016-11-07 12:52:10,,9,5
434870908489998,274683024489998,2014,47,2,81,14.0,2.0,2,LIGUS2,1,LIGUS2,4,2016-11-07 12:52:10,,9,5
434870909489998,274683024489998,2014,47,2,81,14.0,2.0,2,LOJA,1,LOJA,1,2016-11-07 12:52:10,,9,5
434870910489998,274683024489998,2014,47,2,81,14.0,2.0,2,LONIC,1,LONIC,5,2016-11-07 12:52:10,,9,5
434870911489998,274683024489998,2014,47,2,81,14.0,2.0,2,ROSA5,1,ROSA5,1,2016-11-07 12:52:10,,9,5
434870918489998,274683025489998,2014,47,2,81,20.0,1.0,1,LOJA,1,LOJA,1,2016-11-07 12:52:10,,9,5
434870919489998,274683025489998,2014,47,2,81,20.0,1.0,2,LOJA,1,LOJA,2,2016-11-07 12:52:10,,9,5
434870920489998,274683025489998,2014,47,2,81,20.0,2.0,1,LOJA,1,LOJA,20,2016-11-07 12:52:10,,9,5
434870926489998,274683026489998,2014,47,2,81,29.0,1.0,1,LIJA,1,LIJA,2,2016-11-07 12:52:11,,9,5
434870927489998,274683026489998,2014,47,2,81,29.0,2.0,2,LIJA,1,LIJA,2,2016-11-07 12:52:11,,9,5
434870928489998,274683026489998,2014,47,2,81,29.0,2.0,2,LOJA,1,LOJA,5,2016-11-07 12:52:11,,9,5
434870929489998,274683026489998,2014,47,2,81,29.0,4.0,2,LOJA,1,LOJA,5,2016-11-07 12:52:11,,9,5
434870934489998,274683027489998,2014,47,2,81,19.0,3.0,1,AIAL,1,AIAL,1,2016-11-07 12:52:11,,9,5
434870935489998,274683027489998,2014,47,2,81,19.0,1.0,1,LONIC,1,LONIC,1,2016-11-07 12:52:11,,9,5
434870948489998,274683030489998,2014,47,5,145,10.0,4.0,2,LECU,1,LECU,10,2016-11-07 12:52:11,,9,5
434870949489998,274683030489998,2014,47,5,145,10.0,4.0,2,LESPE,1,LESPE,20,2016-11-07 12:52:11,,9,5
434870950489998,274683030489998,2014,47,5,145,10.0,1.0,1,LOJA,1,LOJA,2,2016-11-07 12:52:11,,9,5
434870951489998,274683030489998,2014,47,5,145,10.0,2.0,1,LOJA,1,LOJA,1,2016-11-07 12:52:11,,9,5
434870952489998,274683030489998,2014,47,5,145,10.0,1.0,1,LONIC,1,LONIC,15,2016-11-07 12:52:11,,9,5
434870961489998,274683032489998,2014,47,3,149,18.0,1.0,1,LIGUS2,1,LIGUS2,20,2016-11-07 12:52:11,,9,5
434870962489998,274683032489998,2014,47,3,149,18.0,2.0,1,LIGUS2,1,LIGUS2,35,2016-11-07 12:52:11,,9,5
434870963489998,274683032489998,2014,47,3,149,18.0,3.0,1,LIGUS2,1,LIGUS2,5,2016-11-07 12:52:11,,9,5
434870964489998,274683032489998,2014,47,3,149,18.0,4.0,1,LIGUS2,1,LIGUS2,20,2016-11-07 12:52:11,,9,5
434870965489998,274683032489998,2014,47,3,149,18.0,3.0,1,ROSA5,1,ROSA5,1,2016-11-07 12:52:11,,9,5
434870978489998,274683035489998,2014,47,3,3,14.0,3.0,1,AIAL,1,AIAL,3,2016-11-07 12:52:11,,9,5
434870979489998,274683035489998,2014,47,3,3,14.0,1.0,1,LIGUS2,1,LIGUS2,3,2016-11-07 12:52:11,,9,5
434870980489998,274683035489998,2014,47,3,3,14.0,2.0,1,LIGUS2,1,LIGUS2,75,2016-11-07 12:52:11,,9,5
434870981489998,274683035489998,2014,47,3,3,14.0,3.0,1,LIGUS2,1,LIGUS2,10,2016-11-07 12:52:11,,9,5
434870982489998,274683035489998,2014,47,3,3,14.0,4.0,1,LIGUS2,1,LIGUS2,5,2016-11-07 12:52:11,,9,5
434870983489998,274683035489998,2014,47,3,3,14.0,1.0,1,LOJA,1,LOJA,75,2016-11-07 12:52:11,,9,5
434870984489998,274683035489998,2014,47,3,3,14.0,2.0,1,LOJA,1,LOJA,2,2016-11-07 12:52:11,,9,5
434870985489998,274683035489998,2014,47,3,3,14.0,3.0,1,LOJA,1,LOJA,60,2016-11-07 12:52:11,,9,5
434870986489998,274683035489998,2014,47,3,3,14.0,4.0,1,LOJA,1,LOJA,60,2016-11-07 12:52:11,,9,5
434870987489998,274683035489998,2014,47,3,3,14.0,3.0,1,ROSA5,1,ROSA5,2,2016-11-07 12:52:11,,9,5
434870992489998,274683036489998,2014,47,3,117,7.0,2.0,2,LIGUS2,1,LIGUS2,8,2016-11-07 12:52:11,,9,5
434871001489998,274683038489998,2014,47,3,3,15.0,2.0,1,AIAL,1,AIAL,60,2016-11-07 12:52:11,,9,5
434871002489998,274683038489998,2014,47,3,3,15.0,1.0,1,ELAEA,1,ELAEA,2,2016-11-07 12:52:11,,9,5
434871003489998,274683038489998,2014,47,3,3,15.0,3.0,1,EUAL13,1,EUAL13,2,2016-11-07 12:52:11,,9,5
