CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1213375861290487,545869870126144,2019,48,1,351,19.0,1.0,1,TRSE6,1,TRSE6,1,2022-05-23 09:17:32,,11,1
1213375874290487,545869873126144,2019,48,1,351,93.0,4.0,1,LOJA,1,LOJA,15,2022-05-23 09:17:32,,11,1
1213375875290487,545869873126144,2019,48,1,351,93.0,4.0,1,TRSE6,1,TRSE6,5,2022-05-23 09:17:32,,11,1
1213375880290487,545869874126144,2019,48,1,351,50.0,2.0,2,LIGUS2,1,LIGUS2,1,2022-05-23 09:17:32,,11,1
1213375898290487,545869878126144,2019,48,1,351,37.0,3.0,1,LYJA,1,LYJA,25,2022-05-23 09:17:32,,11,1
1213375899290487,545869878126144,2019,48,1,351,37.0,3.0,1,TRSE6,1,TRSE6,7,2022-05-23 09:17:32,,11,1
1213375908290487,545869880126144,2019,48,1,351,60.0,2.0,1,LYJA,1,LYJA,1,2022-05-23 09:17:32,,11,1
1213375913290487,545869881126144,2019,48,1,351,101.0,1.0,1,TRSE6,1,TRSE6,2,2022-05-23 09:17:32,,11,1
1213375914290487,545869881126144,2019,48,1,351,101.0,2.0,2,TRSE6,1,TRSE6,10,2022-05-23 09:17:32,,11,1
1213375919290487,545869882126144,2019,48,1,351,112.0,3.0,1,LYJA,1,LYJA,1,2022-05-23 09:17:32,,11,1
1213375920290487,545869882126144,2019,48,1,351,112.0,1.0,1,TRSE6,1,TRSE6,4,2022-05-23 09:17:32,,11,1
1213375921290487,545869882126144,2019,48,1,351,112.0,2.0,1,TRSE6,1,TRSE6,2,2022-05-23 09:17:32,,11,1
1213375930290487,545869884126144,2019,48,1,361,22.0,2.0,2,TRSE6,1,TRSE6,90,2022-05-23 09:17:33,,11,1
1213375940290487,545869886126144,2019,48,1,245,97.0,2.0,2,LYJA,1,LYJA,10,2022-05-23 09:17:33,,11,1
1213375945290487,545869887126144,2019,48,2,67,39.0,1.0,1,LESPE,1,LESPE,1,2022-05-23 09:17:33,,11,1
1213375946290487,545869887126144,2019,48,2,67,39.0,1.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213375955290487,545869889126144,2019,48,2,315,5.0,1.0,1,LECU,1,LECU,1,2022-05-23 09:17:33,,11,1
1213375956290487,545869889126144,2019,48,2,315,5.0,2.0,1,LECU,1,LECU,3,2022-05-23 09:17:33,,11,1
1213375957290487,545869889126144,2019,48,2,315,5.0,3.0,1,LECU,1,LECU,1,2022-05-23 09:17:33,,11,1
1213375958290487,545869889126144,2019,48,2,315,5.0,4.0,1,LECU,1,LECU,1,2022-05-23 09:17:33,,11,1
1213375959290487,545869889126144,2019,48,2,315,5.0,1.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213375960290487,545869889126144,2019,48,2,315,5.0,2.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213375961290487,545869889126144,2019,48,2,315,5.0,3.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213375962290487,545869889126144,2019,48,2,315,5.0,4.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213375967290487,545869890126144,2019,48,2,315,7.0,2.0,1,LECU,1,LECU,1,2022-05-23 09:17:33,,11,1
1213375968290487,545869890126144,2019,48,2,315,7.0,4.0,2,LECU,1,LECU,1,2022-05-23 09:17:33,,11,1
1213376077290487,545869892126144,2019,48,2,203,65.0,1.0,1,LIGUS2,1,LIGUS2,1,2022-05-23 09:17:33,,11,1
1213376078290487,545869892126144,2019,48,2,203,65.0,2.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213376079290487,545869892126144,2019,48,2,203,65.0,3.0,1,LOJA,1,LOJA,1,2022-05-23 09:17:33,,11,1
1213376088290487,545869894126144,2019,48,2,203,89.0,1.0,1,LESPE,1,LESPE,20,2022-05-23 09:17:33,,11,1
1213376089290487,545869894126144,2019,48,2,203,89.0,2.0,1,LESPE,1,LESPE,5,2022-05-23 09:17:33,,11,1
1213376090290487,545869894126144,2019,48,2,203,89.0,3.0,1,LESPE,1,LESPE,15,2022-05-23 09:17:33,,11,1
1213376091290487,545869894126144,2019,48,2,203,89.0,4.0,1,LESPE,1,LESPE,10,2022-05-23 09:17:33,,11,1
1213376092290487,545869894126144,2019,48,2,203,89.0,1.0,1,LIGUS2,1,LIGUS2,5,2022-05-23 09:17:33,,11,1
1213374640290487,545869744126144,2019,48,2,67,38.0,1.0,2,LOJA,1,LOJA,1,2022-05-23 09:17:28,,11,1
1213374641290487,545869744126144,2019,48,2,67,38.0,2.0,2,LOJA,1,LOJA,3,2022-05-23 09:17:28,,11,1
1213374642290487,545869744126144,2019,48,2,67,38.0,3.0,2,LOJA,1,LOJA,1,2022-05-23 09:17:28,,11,1
1213374643290487,545869744126144,2019,48,2,67,38.0,3.0,3,LOJA,1,LOJA,3,2022-05-23 09:17:28,,11,1
1213374648290487,545869745126144,2019,48,2,67,72.0,1.0,1,LIGUS2,1,LIGUS2,25,2022-05-23 09:17:28,,11,1
1213374649290487,545869745126144,2019,48,2,67,72.0,2.0,1,LIGUS2,1,LIGUS2,35,2022-05-23 09:17:28,,11,1
1213374650290487,545869745126144,2019,48,2,67,72.0,3.0,1,LIGUS2,1,LIGUS2,35,2022-05-23 09:17:28,,11,1
1213374651290487,545869745126144,2019,48,2,67,72.0,4.0,2,LIGUS2,1,LIGUS2,10,2022-05-23 09:17:28,,11,1
1213374652290487,545869745126144,2019,48,2,67,72.0,4.0,2,LOJA,1,LOJA,3,2022-05-23 09:17:28,,11,1
1213374657290487,545869746126144,2019,48,2,67,109.0,3.0,1,LESPE,1,LESPE,1,2022-05-23 09:17:28,,11,1
1213374658290487,545869746126144,2019,48,2,67,109.0,4.0,1,LESPE,1,LESPE,1,2022-05-23 09:17:28,,11,1
1213374659290487,545869746126144,2019,48,2,67,109.0,3.0,1,LIGUS2,1,LIGUS2,1,2022-05-23 09:17:28,,11,1
1213374660290487,545869746126144,2019,48,2,67,109.0,1.0,1,MEAZ,1,MEAZ,1,2022-05-23 09:17:28,,11,1
