CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1589675137290487,478253894489998,2020,49,1,57,81955.0,3.0,1,ISTI,1,ISTI,1,2024-05-08 12:17:35,,4,1
1589675138290487,478253894489998,2020,49,1,57,81955.0,4.0,1,ISTI,1,ISTI,1,2024-05-08 12:17:35,,4,1
1860097283290487,670959283126144,2022,49,4,7,84842.0,2.0,1,EUES,1,EUES,1,2025-05-20 11:31:32,,4,3
1860097284290487,670959283126144,2022,49,4,7,84842.0,4.0,1,EUES,1,EUES,1,2025-05-20 11:31:32,,4,3
1860097285290487,670959283126144,2022,49,4,7,84842.0,4.0,1,ONAC,1,ONAC,1,2025-05-20 11:31:32,,4,3
1860077744290487,670958750126144,2022,49,1,3,80655.0,4.0,1,ISTI,1,ISTI,1,2025-05-20 11:31:17,,4,3
1860100524290487,670959341126144,2022,49,3,41,84511.0,2.0,1,ONAC,1,ONAC,1,2025-05-20 11:31:34,,4,3
1860100525290487,670959341126144,2022,49,3,41,84511.0,4.0,1,ONAC,1,ONAC,1,2025-05-20 11:31:34,,4,3
1860084103290487,670958898126144,2022,49,3,39,80800.0,1.0,1,CIAR4,1,CIAR4,1,2025-05-20 11:31:22,,4,3
1589727193290487,548486567126144,2021,49,1,5,84470.0,1.0,1,ISTI,1,ISTI,1,2024-05-08 12:18:11,,4,2
1589727194290487,548486567126144,2021,49,1,5,84470.0,2.0,1,ISTI,1,ISTI,1,2024-05-08 12:18:11,,4,2
1589716603290487,548486411126144,2021,49,5,17,83193.0,1.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:04,,4,2
1589731874290487,548486687126144,2021,49,2,13,86275.0,2.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:14,,4,2
1589731875290487,548486687126144,2021,49,2,13,86275.0,4.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:14,,4,2
1589714234290487,548486352126144,2021,49,3,41,85830.0,1.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:03,,4,2
1589731107290487,548486652126144,2021,49,4,37,82177.0,1.0,1,CEVIS2,1,CEVIS2,1,2024-05-08 12:18:13,,4,2
1589731108290487,548486652126144,2021,49,4,37,82177.0,3.0,1,CEVIS2,1,CEVIS2,1,2024-05-08 12:18:13,,4,2
1589700881290487,548485947126144,2021,49,3,39,82733.0,3.0,1,ONAC,1,ONAC,14,2024-05-08 12:17:53,,4,2
1589725415290487,548486544126144,2021,49,3,39,85823.0,1.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:10,,4,2
1589710837290487,548486280126144,2021,49,3,27,81639.0,3.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1589710838290487,548486280126144,2021,49,3,27,81639.0,4.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1589710715290487,548486279126144,2021,49,3,27,81706.0,1.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1589710716290487,548486279126144,2021,49,3,27,81706.0,3.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1589719643290487,548486460126144,2021,49,1,49,88501.0,3.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:06,,4,2
1589736830290487,548486801126144,2021,49,1,51,87998.0,1.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:18,,4,2
1589736831290487,548486801126144,2021,49,1,51,87998.0,2.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:18,,4,2
1589736832290487,548486801126144,2021,49,1,51,87998.0,3.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:18,,4,2
1589724330290487,548486516126144,2021,49,1,57,87382.0,1.0,1,CIAR4,1,CIAR4,1,2024-05-08 12:18:09,,4,2
1589724331290487,548486516126144,2021,49,1,57,87382.0,2.0,1,CIAR4,1,CIAR4,1,2024-05-08 12:18:09,,4,2
1589724332290487,548486516126144,2021,49,1,57,87382.0,3.0,1,CIAR4,1,CIAR4,4,2024-05-08 12:18:09,,4,2
1589724333290487,548486516126144,2021,49,1,57,87382.0,4.0,1,CIAR4,1,CIAR4,1,2024-05-08 12:18:09,,4,2
1589728374290487,548486597126144,2021,49,1,49,88612.0,2.0,1,EUES,1,EUES,1,2024-05-08 12:18:12,,4,2
1589728375290487,548486597126144,2021,49,1,49,88612.0,3.0,1,EUES,1,EUES,1,2024-05-08 12:18:12,,4,2
1589725651290487,548486547126144,2021,49,3,39,88539.0,1.0,1,EUES,1,EUES,1,2024-05-08 12:18:10,,4,2
1589727319290487,548486570126144,2021,49,4,15,88294.0,1.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:11,,4,2
1589727320290487,548486570126144,2021,49,4,15,88294.0,3.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:11,,4,2
1589727321290487,548486570126144,2021,49,4,15,88294.0,4.0,1,CANU4,1,CANU4,1,2024-05-08 12:18:11,,4,2
1589701489290487,548485964126144,2021,49,1,51,86143.0,1.0,1,CANU4,1,CANU4,2,2024-05-08 12:17:54,,4,2
1589701490290487,548485964126144,2021,49,1,51,86143.0,4.0,1,CANU4,1,CANU4,2,2024-05-08 12:17:54,,4,2
1589711431290487,548486286126144,2021,49,3,31,82382.0,1.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1589711432290487,548486286126144,2021,49,3,31,82382.0,3.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1589711433290487,548486286126144,2021,49,3,31,82382.0,4.0,1,CEDI3,1,CEDI3,1,2024-05-08 12:18:01,,4,2
1860097282290487,670959283126144,2022,49,4,7,84842.0,1.0,1,EUES,1,EUES,1,2025-05-20 11:31:32,,4,3
43337531010690,2377744010690,2002,49,2,9,82603.0,2.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43337532010690,2377744010690,2002,49,2,9,82603.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43337533010690,2377744010690,2002,49,2,9,82603.0,4.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43337350010690,2377058010690,2002,49,1,5,85239.0,1.0,1,CANU4,1,CANU4,2,2011-08-25 19:56:01,,2,3
43337351010690,2377058010690,2002,49,1,5,85239.0,3.0,1,CANU4,1,CANU4,2,2011-08-25 19:56:01,,2,3
43337352010690,2377058010690,2002,49,1,5,85239.0,4.0,1,CANU4,1,CANU4,2,2011-08-25 19:56:01,,2,3
43337487010690,2377604010690,2002,49,4,7,87181.0,1.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:08,,2,3
43335595010690,2380242010690,2002,49,5,17,83621.0,3.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:18,,2,3
43335596010690,2380242010690,2002,49,5,17,83621.0,4.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:18,,2,3
43337692010690,2378381010690,2002,49,2,13,82097.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:12,,2,3
43337511010690,2377673010690,2002,49,4,7,87585.0,1.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43337512010690,2377673010690,2002,49,4,7,87585.0,2.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43337513010690,2377673010690,2002,49,4,7,87585.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43337514010690,2377673010690,2002,49,4,7,87585.0,4.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:56:09,,2,3
43336486010690,2382916010690,2002,49,5,25,80598.0,1.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:43,,2,3
43336487010690,2382916010690,2002,49,5,25,80598.0,2.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:43,,2,3
43336488010690,2382916010690,2002,49,5,25,80598.0,3.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:43,,2,3
43336489010690,2382916010690,2002,49,5,25,80598.0,4.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:43,,2,3
43333028010690,2389609010690,2002,49,2,47,88617.0,1.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:54:16,,2,3
43333029010690,2389609010690,2002,49,2,47,88617.0,2.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:54:16,,2,3
43333030010690,2389609010690,2002,49,2,47,88617.0,3.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:54:16,,2,3
43333031010690,2389609010690,2002,49,2,47,88617.0,4.0,1,CIAR4,1,CIAR4,2,2011-08-25 19:54:16,,2,3
43336534010690,2383027010690,2002,49,5,25,82708.0,1.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:44,,2,3
43336535010690,2383027010690,2002,49,5,25,82708.0,2.0,1,CEBI2,1,CESTM,2,2011-08-25 19:55:44,,2,3
