CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
809477556290487,678976673126144,2019,51,3,9,56.0,4.0,1,MIVI,1,MIVI,3,2020-12-10 11:46:33,,11,3
809477557290487,678976673126144,2019,51,3,9,56.0,2.0,1,ROSA5,1,ROSA5,1,2020-12-10 11:46:33,,11,3
809477562290487,678976674126144,2019,51,1,41,37.0,4.0,2,ALJU,1,ALJU,1,2020-12-10 11:46:33,,11,3
809477563290487,678976674126144,2019,51,1,41,37.0,2.0,2,HEDER,1,HEDER,85,2020-12-10 11:46:33,,11,3
809477564290487,678976674126144,2019,51,1,41,37.0,4.0,2,HEDER,1,HEDER,90,2020-12-10 11:46:33,,11,3
809477565290487,678976674126144,2019,51,1,41,37.0,2.0,2,LIGUS2,1,LIGUS2,2,2020-12-10 11:46:33,,11,3
809477566290487,678976674126144,2019,51,1,41,37.0,4.0,2,LIGUS2,1,LIGUS2,1,2020-12-10 11:46:33,,11,3
809477567290487,678976674126144,2019,51,1,41,37.0,2.0,2,LOJA,1,LOJA,5,2020-12-10 11:46:33,,11,3
809477568290487,678976674126144,2019,51,1,41,37.0,4.0,2,LOJA,1,LOJA,5,2020-12-10 11:46:33,,11,3
809477574290487,678976675126144,2019,51,2,11,27.0,4.0,2,LOJA,1,LOJA,1,2020-12-10 11:46:33,,11,3
809477575290487,678976675126144,2019,51,2,11,27.0,1.0,2,MIVI,1,MIVI,1,2020-12-10 11:46:33,,11,3
809477601290487,678976680126144,2019,51,2,31,14.0,3.0,1,LOJA,1,LOJA,4,2020-12-10 11:46:34,,11,3
809477602290487,678976680126144,2019,51,2,31,14.0,4.0,1,LOJA,1,LOJA,2,2020-12-10 11:46:34,,11,3
809477596290487,678976680126144,2019,51,2,31,14.0,1.0,1,AIAL,1,AIAL,23,2020-12-10 11:46:34,,11,3
809477597290487,678976680126144,2019,51,2,31,14.0,3.0,1,AIAL,1,AIAL,6,2020-12-10 11:46:34,,11,3
809477598290487,678976680126144,2019,51,2,31,14.0,1.0,1,LIGUS2,1,LIGUS2,2,2020-12-10 11:46:34,,11,3
