CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
886199340290487,618642524126144,2020,50,3,1,836.0,1.0,1,LONIC,1,LONIC,2,2021-08-10 14:47:36,,9,2
886199341290487,618642524126144,2020,50,3,1,836.0,2.0,1,LONIC,1,LONIC,2,2021-08-10 14:47:36,,9,2
886199342290487,618642524126144,2020,50,3,1,836.0,3.0,1,LONIC,1,LONIC,2,2021-08-10 14:47:36,,9,2
886199343290487,618642524126144,2020,50,3,1,836.0,1.0,1,RHCA3,1,RHCA3,1,2021-08-10 14:47:36,,9,2
886199344290487,618642524126144,2020,50,3,1,836.0,2.0,1,RHCA3,1,RHCA3,1,2021-08-10 14:47:36,,9,2
886199345290487,618642524126144,2020,50,3,1,836.0,3.0,1,RHCA3,1,RHCA3,3,2021-08-10 14:47:36,,9,2
886199346290487,618642524126144,2020,50,3,1,836.0,4.0,2,RHCA3,1,RHCA3,1,2021-08-10 14:47:36,,9,2
886199765290487,618642391126144,2020,50,3,25,1130.0,2.0,2,CEOR7,1,CEOR7,2,2021-08-10 14:47:37,,9,2
886199766290487,618642391126144,2020,50,3,25,1130.0,2.0,2,FRAL4,1,FRAL4,1,2021-08-10 14:47:37,,9,2
886199767290487,618642391126144,2020,50,3,25,1130.0,2.0,2,LONIC,1,LONIC,1,2021-08-10 14:47:37,,9,2
886200174290487,618642432126144,2020,50,2,17,33.0,3.0,1,CEOR7,1,CEOR7,1,2021-08-10 14:47:39,,9,2
886198416290487,618642520126144,2020,50,3,7,932.0,2.0,2,LOMO2,1,LOMO2,2,2021-08-10 14:47:33,,9,2
886198482290487,618642465126144,2020,50,2,15,964.0,3.0,1,LONIC,1,LONIC,1,2021-08-10 14:47:33,,9,2
1274533885290487,722577755290487,2021,50,3,21,677.0,1.0,1,LONIC,1,LONIC,30,2022-11-18 12:16:57,,9,3
1274533886290487,722577755290487,2021,50,3,21,677.0,2.0,1,LONIC,1,LONIC,70,2022-11-18 12:16:57,,9,3
1274533887290487,722577755290487,2021,50,3,21,677.0,3.0,1,LONIC,1,LONIC,11,2022-11-18 12:16:57,,9,3
1274533888290487,722577755290487,2021,50,3,21,677.0,4.0,1,LONIC,1,LONIC,15,2022-11-18 12:16:57,,9,3
1274533889290487,722577755290487,2021,50,3,21,677.0,1.0,1,RHCA3,1,RHCA3,6,2022-11-18 12:16:57,,9,3
1274533890290487,722577755290487,2021,50,3,21,677.0,2.0,1,RHCA3,1,RHCA3,15,2022-11-18 12:16:57,,9,3
1274533891290487,722577755290487,2021,50,3,21,677.0,3.0,1,RHCA3,1,RHCA3,20,2022-11-18 12:16:57,,9,3
1274533892290487,722577755290487,2021,50,3,21,677.0,4.0,1,RHCA3,1,RHCA3,70,2022-11-18 12:16:57,,9,3
1274533893290487,722577755290487,2021,50,3,21,677.0,1.0,1,ROMU,1,ROMU,1,2022-11-18 12:16:57,,9,3
1274533894290487,722577755290487,2021,50,3,21,677.0,2.0,1,ROMU,1,ROMU,2,2022-11-18 12:16:57,,9,3
1274533895290487,722577755290487,2021,50,3,21,677.0,4.0,1,ROMU,1,ROMU,11,2022-11-18 12:16:57,,9,3
1274534050290487,722577794290487,2021,50,3,21,1111.0,4.0,1,BETH,1,BETH,1,2022-11-18 12:16:57,,9,3
1274534051290487,722577794290487,2021,50,3,21,1111.0,2.0,1,BEVU,1,BEVU,1,2022-11-18 12:16:57,,9,3
1274534052290487,722577794290487,2021,50,3,21,1111.0,1.0,1,LONIC,1,LONIC,5,2022-11-18 12:16:57,,9,3
1274534053290487,722577794290487,2021,50,3,21,1111.0,2.0,1,LONIC,1,LONIC,2,2022-11-18 12:16:57,,9,3
1274534054290487,722577794290487,2021,50,3,21,1111.0,3.0,1,LONIC,1,LONIC,1,2022-11-18 12:16:57,,9,3
1274534055290487,722577794290487,2021,50,3,21,1111.0,4.0,1,LONIC,1,LONIC,1,2022-11-18 12:16:57,,9,3
1274853233290487,722577890290487,2021,50,2,9,1518.0,1.0,1,FRAL4,1,FRAL4,65,2022-12-01 08:32:01,,9,3
222862503010661,122567104010661,2007,50,3,7,245.0,3.0,1,LONIC,1,LONIC,1,2010-03-01 11:20:20,2012-02-29 11:15:30,6,5
222862504010661,122567104010661,2007,50,3,7,245.0,4.0,1,LONIC,1,LONIC,1,2010-03-01 11:20:20,2012-02-29 11:15:30,6,5
222862513010661,122566968010661,2007,50,2,19,1017.0,1.0,1,BEVU,1,BEVU,2,2010-03-01 11:20:20,2012-02-28 07:13:18,6,5
222862510010661,122567156010661,2007,50,2,11,874.0,4.0,1,BEVU,1,BEVU,5,2010-03-01 11:20:20,2012-02-28 07:12:21,6,5
222862496010661,122567184010661,2007,50,3,1,1415.0,2.0,1,FRAL4,1,FRAL4,1,2010-03-01 11:20:20,2012-02-28 07:05:51,6,5
222862500010661,122567184010661,2007,50,3,1,1415.0,2.0,1,LONIC,1,LONIC,3,2010-03-01 11:20:20,2012-02-28 07:02:51,6,5
222862497010661,122567184010661,2007,50,3,1,1415.0,3.0,1,FRAL4,1,FRAL4,13,2010-03-01 11:20:20,2012-02-28 07:07:33,6,5
222862498010661,122567184010661,2007,50,3,1,1415.0,4.0,1,FRAL4,1,FRAL4,8,2010-03-01 11:20:20,2012-02-28 07:06:32,6,5
222862501010661,122567184010661,2007,50,3,1,1415.0,4.0,1,LONIC,1,LONIC,5,2010-03-01 11:20:20,2012-02-28 07:02:51,6,5
222862502010661,122567184010661,2007,50,3,1,1415.0,4.0,1,ROMU,1,ROMU,40,2010-03-01 11:20:20,2012-02-28 07:02:56,6,5
222862495010661,122567184010661,2007,50,3,1,1415.0,1.0,1,FRAL4,1,FRAL4,8,2010-03-01 11:20:20,2012-02-28 07:06:05,6,5
222862499010661,122567184010661,2007,50,3,1,1415.0,1.0,1,LONIC,1,LONIC,2,2010-03-01 11:20:20,2012-02-28 07:02:51,6,5
222862519010661,122567000010661,2007,50,2,23,959.0,1.0,1,BEVU,1,BEVU,2,2010-03-01 11:20:20,2012-02-28 07:06:05,6,5
222862520010661,122567000010661,2007,50,2,23,959.0,1.0,1,LONIC,1,LONIC,1,2010-03-01 11:20:20,2012-02-29 11:15:30,6,5
222862523010661,122566760010661,2007,50,3,27,1327.0,1.0,1,BEVU,1,BEVU,1,2010-03-01 11:20:20,2012-02-28 07:14:08,6,5
222862484010661,118137754010661,2008,50,3,21,1314.0,1.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:20:12,2012-02-28 07:13:06,7,1
222862485010661,118137754010661,2008,50,3,21,1314.0,2.0,1,RHCA3,1,RHCA3,1,2010-03-01 11:20:12,2012-02-28 07:13:06,7,1
