CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
245026031010661,169116137010661,2010,55,5,105,20281.0,1.0,1,ALPE4,1,ALPE4,1,2011-02-09 08:21:35,,8,1
245026032010661,169116137010661,2010,55,5,105,20281.0,2.0,1,ALPE4,1,ALPE4,25,2011-02-09 08:21:35,,8,1
245026033010661,169116137010661,2010,55,5,105,20281.0,4.0,1,ALPE4,1,ALPE4,25,2011-02-09 08:21:35,,8,1
245026034010661,169116137010661,2010,55,5,105,20281.0,2.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245025984010661,169116561010661,2010,55,3,97,20336.0,3.0,1,PHAR3,1,PHAR3,10,2011-02-09 08:21:34,,8,1
245025985010661,169116561010661,2010,55,3,97,20336.0,4.0,1,PHAR3,1,PHAR3,5,2011-02-09 08:21:34,,8,1
245026120010661,169117167010661,2010,55,4,121,20281.0,2.0,2,LYNU,1,LYNU,5,2011-02-09 08:21:35,,8,1
245026121010661,169117167010661,2010,55,4,121,20281.0,3.0,2,LYNU,1,LYNU,10,2011-02-09 08:21:35,,8,1
245026185010661,169114367010661,2010,55,3,141,20279.0,4.0,1,LOTA,1,LOTA,1,2011-02-09 08:21:35,,8,1
245026186010661,169114367010661,2010,55,3,141,20279.0,1.0,1,PHAR3,1,PHAR3,1,2011-02-09 08:21:35,,8,1
245026187010661,169114367010661,2010,55,3,141,20279.0,3.0,1,PHAR3,1,PHAR3,2,2011-02-09 08:21:35,,8,1
245026188010661,169114367010661,2010,55,3,141,20279.0,4.0,1,PHAR3,1,PHAR3,1,2011-02-09 08:21:35,,8,1
245026189010661,169114367010661,2010,55,3,141,20279.0,4.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245025939010661,169113991010661,2010,55,3,77,20148.0,2.0,2,CIAR4,1,CIAR4,1,2011-02-09 08:21:34,,8,1
245025940010661,169113991010661,2010,55,3,77,20148.0,2.0,2,LOMO2,1,LOMO2,1,2011-02-09 08:21:34,,8,1
245025941010661,169113991010661,2010,55,3,77,20148.0,4.0,3,PHAR3,1,PHAR3,79,2011-02-09 08:21:34,,8,1
245026083010661,169113471010661,2010,55,5,117,20045.0,1.0,1,LONIC,1,LONIC,2,2011-02-09 08:21:35,,8,1
245026084010661,169113471010661,2010,55,5,117,20045.0,2.0,1,LONIC,1,LONIC,1,2011-02-09 08:21:35,,8,1
245026085010661,169113471010661,2010,55,5,117,20045.0,3.0,1,LONIC,1,LONIC,2,2011-02-09 08:21:35,,8,1
245026086010661,169113471010661,2010,55,5,117,20045.0,1.0,1,RHCA3,1,RHCA3,65,2011-02-09 08:21:35,,8,1
245026087010661,169113471010661,2010,55,5,117,20045.0,2.0,1,RHCA3,1,RHCA3,65,2011-02-09 08:21:35,,8,1
245026088010661,169113471010661,2010,55,5,117,20045.0,3.0,1,RHCA3,1,RHCA3,60,2011-02-09 08:21:35,,8,1
245026089010661,169113471010661,2010,55,5,117,20045.0,4.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026090010661,169113457010661,2010,55,5,117,20186.0,1.0,1,ALPE4,1,ALPE4,2,2011-02-09 08:21:35,,8,1
245026091010661,169113457010661,2010,55,5,117,20186.0,1.0,2,ALPE4,1,ALPE4,1,2011-02-09 08:21:35,,8,1
245026092010661,169113457010661,2010,55,5,117,20186.0,2.0,2,ALPE4,1,ALPE4,1,2011-02-09 08:21:35,,8,1
245026093010661,169113457010661,2010,55,5,117,20186.0,1.0,1,HEMA3,1,HEMA3,1,2011-02-09 08:21:35,,8,1
245026094010661,169113457010661,2010,55,5,117,20186.0,1.0,2,HEMA3,1,HEMA3,1,2011-02-09 08:21:35,,8,1
245026095010661,169113457010661,2010,55,5,117,20186.0,2.0,2,HEMA3,1,HEMA3,15,2011-02-09 08:21:35,,8,1
245026096010661,169113457010661,2010,55,5,117,20186.0,1.0,1,LONIC,1,LONIC,1,2011-02-09 08:21:35,,8,1
245026097010661,169113457010661,2010,55,5,117,20186.0,1.0,2,LONIC,1,LONIC,1,2011-02-09 08:21:35,,8,1
245026098010661,169113457010661,2010,55,5,117,20186.0,2.0,2,LONIC,1,LONIC,8,2011-02-09 08:21:35,,8,1
245026099010661,169113457010661,2010,55,5,117,20186.0,3.0,2,LONIC,1,LONIC,7,2011-02-09 08:21:35,,8,1
245026100010661,169113457010661,2010,55,5,117,20186.0,2.0,2,PHAR3,1,PHAR3,4,2011-02-09 08:21:35,,8,1
245026101010661,169113457010661,2010,55,5,117,20186.0,1.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026102010661,169113457010661,2010,55,5,117,20186.0,1.0,2,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026005010661,169116855010661,2010,55,4,103,20236.0,3.0,1,CIVU,1,CIVU,1,2011-02-09 08:21:34,,8,1
245026006010661,169116855010661,2010,55,4,103,20236.0,4.0,1,CIVU,1,CIVU,1,2011-02-09 08:21:34,,8,1
245026007010661,169116855010661,2010,55,4,103,20236.0,3.0,1,ELUM,1,ELUM,1,2011-02-09 08:21:34,,8,1
245026008010661,169116855010661,2010,55,4,103,20236.0,4.0,1,ELUM,1,ELUM,1,2011-02-09 08:21:34,,8,1
245025997010661,169113409010661,2010,55,5,101,20073.0,2.0,1,LONIC,1,LONIC,3,2011-02-09 08:21:34,,8,1
245025998010661,169113409010661,2010,55,5,101,20073.0,3.0,1,LONIC,1,LONIC,22,2011-02-09 08:21:34,,8,1
245025999010661,169113409010661,2010,55,5,101,20073.0,4.0,1,LONIC,1,LONIC,30,2011-02-09 08:21:34,,8,1
245026000010661,169113409010661,2010,55,5,101,20073.0,1.0,1,RHCA3,1,RHCA3,45,2011-02-09 08:21:34,,8,1
245026001010661,169113409010661,2010,55,5,101,20073.0,2.0,1,RHCA3,1,RHCA3,10,2011-02-09 08:21:34,,8,1
245026002010661,169113409010661,2010,55,5,101,20073.0,3.0,1,RHCA3,1,RHCA3,12,2011-02-09 08:21:34,,8,1
245026003010661,169113409010661,2010,55,5,101,20073.0,4.0,1,RHCA3,1,RHCA3,40,2011-02-09 08:21:34,,8,1
245026035010661,169116267010661,2010,55,5,105,20285.0,2.0,1,ALPE4,1,ALPE4,1,2011-02-09 08:21:35,,8,1
245026036010661,169116267010661,2010,55,5,105,20285.0,3.0,1,ALPE4,1,ALPE4,1,2011-02-09 08:21:35,,8,1
245026037010661,169116267010661,2010,55,5,105,20285.0,1.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026038010661,169116267010661,2010,55,5,105,20285.0,2.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026039010661,169116267010661,2010,55,5,105,20285.0,3.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026040010661,169116267010661,2010,55,5,105,20285.0,4.0,1,RHCA3,1,RHCA3,55,2011-02-09 08:21:35,,8,1
245026104010661,169115769010661,2010,55,4,121,20133.0,4.0,2,PHAR3,1,PHAR3,1,2011-02-09 08:21:35,,8,1
245026105010661,169115769010661,2010,55,4,121,20133.0,4.0,2,RHCA3,1,RHCA3,16,2011-02-09 08:21:35,,8,1
245026106010661,169115769010661,2010,55,4,121,20133.0,4.0,2,ROMU,1,ROMU,1,2011-02-09 08:21:35,,8,1
245026140010661,169117637010661,2010,55,5,127,20227.0,2.0,2,RHCA3,1,RHCA3,85,2011-02-09 08:21:35,,8,1
245026141010661,169117637010661,2010,55,5,127,20227.0,2.0,2,ROMU,1,ROMU,1,2011-02-09 08:21:35,,8,1
245025907010661,169116783010661,2010,55,1,69,20375.0,1.0,1,PHAR3,1,PHAR3,1,2011-02-09 08:21:34,,8,1
245025908010661,169116783010661,2010,55,1,69,20375.0,4.0,1,PHAR3,1,PHAR3,1,2011-02-09 08:21:34,,8,1
245025992010661,169114549010661,2010,55,2,99,20090.0,1.0,1,CIAR4,1,CIAR4,2,2011-02-09 08:21:34,,8,1
245025898010661,169114757010661,2010,55,4,63,20204.0,4.0,1,LONIC,1,LONIC,1,2011-02-09 08:21:34,,8,1
245025942010661,169113983010661,2010,55,3,77,20151.0,1.0,1,ELUM,1,ELUM,1,2011-02-09 08:21:34,,8,1
245025943010661,169113983010661,2010,55,3,77,20151.0,2.0,1,LONIC,1,LONIC,1,2011-02-09 08:21:34,,8,1
245025944010661,169113983010661,2010,55,3,77,20151.0,1.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:34,,8,1
245025945010661,169113983010661,2010,55,3,77,20151.0,2.0,1,ULPU,1,ULPU,1,2011-02-09 08:21:34,,8,1
245025792010661,169115875010661,2010,55,5,29,20451.0,1.0,1,FRAL4,1,FRAL4,10,2011-02-09 08:21:34,,8,1
245025793010661,169115875010661,2010,55,5,29,20451.0,2.0,1,FRAL4,1,FRAL4,5,2011-02-09 08:21:34,,8,1
245025794010661,169115875010661,2010,55,5,29,20451.0,3.0,1,FRAL4,1,FRAL4,5,2011-02-09 08:21:34,,8,1
245025795010661,169115875010661,2010,55,5,29,20451.0,4.0,1,FRAL4,1,FRAL4,5,2011-02-09 08:21:34,,8,1
245025799010661,169115777010661,2010,55,4,33,20320.0,1.0,1,ALPE4,1,ALPE4,2,2011-02-09 08:21:34,,8,1
245025800010661,169115777010661,2010,55,4,33,20320.0,2.0,1,ALPE4,1,ALPE4,1,2011-02-09 08:21:34,,8,1
245025801010661,169115777010661,2010,55,4,33,20320.0,1.0,1,LYNU,1,LYNU,2,2011-02-09 08:21:34,,8,1
245025802010661,169115777010661,2010,55,4,33,20320.0,2.0,1,LYNU,1,LYNU,3,2011-02-09 08:21:34,,8,1
245025803010661,169115777010661,2010,55,4,33,20320.0,4.0,1,LYNU,1,LYNU,35,2011-02-09 08:21:34,,8,1
245026009010661,169116855010661,2010,55,4,103,20236.0,1.0,1,ROMU,1,ROMU,1,2011-02-09 08:21:34,,8,1
245026010010661,169116855010661,2010,55,4,103,20236.0,3.0,1,ROMU,1,ROMU,2,2011-02-09 08:21:34,,8,1
245026011010661,169116855010661,2010,55,4,103,20236.0,4.0,1,ROMU,1,ROMU,10,2011-02-09 08:21:34,,8,1
245025905010661,169116777010661,2010,55,1,69,20373.0,3.0,2,FRAL4,1,FRAL4,10,2011-02-09 08:21:34,,8,1
245025906010661,169116777010661,2010,55,1,69,20373.0,3.0,2,LONIC,1,LONIC,30,2011-02-09 08:21:34,,8,1
245025969010661,169117509010661,2010,55,4,93,20223.0,1.0,1,LONIC,1,LONIC,100,2011-02-09 08:21:34,,8,1
245025970010661,169117509010661,2010,55,4,93,20223.0,4.0,1,LONIC,1,LONIC,99,2011-02-09 08:21:34,,8,1
245026128010661,169117117010661,2010,55,4,123,20159.0,3.0,1,BETH,1,BETH,2,2011-02-09 08:21:35,,8,1
245026129010661,169117117010661,2010,55,4,123,20159.0,4.0,1,BETH,1,BETH,1,2011-02-09 08:21:35,,8,1
245026130010661,169117117010661,2010,55,4,123,20159.0,2.0,1,LONIC,1,LONIC,1,2011-02-09 08:21:35,,8,1
245026131010661,169117117010661,2010,55,4,123,20159.0,2.0,1,PHAR3,1,PHAR3,1,2011-02-09 08:21:35,,8,1
245026132010661,169117117010661,2010,55,4,123,20159.0,2.0,1,RHCA3,1,RHCA3,3,2011-02-09 08:21:35,,8,1
245026133010661,169117117010661,2010,55,4,123,20159.0,3.0,1,RHCA3,1,RHCA3,1,2011-02-09 08:21:35,,8,1
245026126010661,169117117010661,2010,55,4,123,20159.0,1.0,1,BETH,1,BETH,1,2011-02-09 08:21:35,,8,1
245026127010661,169117117010661,2010,55,4,123,20159.0,2.0,1,BETH,1,BETH,5,2011-02-09 08:21:35,,8,1
245025783010661,169113675010661,2010,55,5,27,20125.0,3.0,2,ALPE4,1,ALPE4,50,2011-02-09 08:21:34,,8,1
245025784010661,169113675010661,2010,55,5,27,20125.0,3.0,2,BETH,1,BETH,3,2011-02-09 08:21:34,,8,1
245025785010661,169113675010661,2010,55,5,27,20125.0,3.0,2,FRAL4,1,FRAL4,3,2011-02-09 08:21:34,,8,1
245025786010661,169113675010661,2010,55,5,27,20125.0,3.0,2,RHCA3,1,RHCA3,7,2011-02-09 08:21:34,,8,1
245025900010661,169116627010661,2010,55,1,67,20360.0,4.0,1,CIAR4,1,CIAR4,1,2011-02-09 08:21:34,,8,1
245025882010661,169116007010661,2010,55,5,55,20036.0,3.0,1,PHAR3,1,PHAR3,60,2011-02-09 08:21:34,,8,1
245025883010661,169116007010661,2010,55,5,55,20036.0,1.0,1,RHCA3,1,RHCA3,10,2011-02-09 08:21:34,,8,1
245025884010661,169116007010661,2010,55,5,55,20036.0,2.0,1,RHCA3,1,RHCA3,40,2011-02-09 08:21:34,,8,1
245026041010661,169117615010661,2010,55,4,109,20287.0,3.0,2,LONIC,1,LONIC,1,2011-02-09 08:21:35,,8,1
245026042010661,169117615010661,2010,55,4,109,20287.0,3.0,2,RHCA3,1,RHCA3,15,2011-02-09 08:21:35,,8,1
245025876010661,169115337010661,2010,55,3,53,20038.0,3.0,2,CIVU,1,CIVU,1,2011-02-09 08:21:34,,8,1
