CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
1841463503290487,1287838349290487,2024,54,2,33,3590.0,2.0,1,ELUM,1,ELUM,45,2025-04-21 10:30:25,,9,4
1841463504290487,1287838349290487,2024,54,2,33,3590.0,3.0,1,ELUM,1,ELUM,20,2025-04-21 10:30:25,,9,4
1841463505290487,1287838349290487,2024,54,2,33,3590.0,4.0,1,ELUM,1,ELUM,33,2025-04-21 10:30:25,,9,4
1841463506290487,1287838349290487,2024,54,2,33,3590.0,3.0,1,LOJA,1,LOJA,1,2025-04-21 10:30:25,,9,4
1841463507290487,1287838349290487,2024,54,2,33,3590.0,4.0,1,LOJA,1,LOJA,1,2025-04-21 10:30:25,,9,4
1841463508290487,1287838349290487,2024,54,2,33,3590.0,1.0,1,MIVI,1,MIVI,1,2025-04-21 10:30:25,,9,4
1841463509290487,1287838349290487,2024,54,2,33,3590.0,2.0,1,MIVI,1,MIVI,55,2025-04-21 10:30:25,,9,4
1841463510290487,1287838349290487,2024,54,2,33,3590.0,3.0,1,MIVI,1,MIVI,1,2025-04-21 10:30:25,,9,4
1841463511290487,1287838349290487,2024,54,2,33,3590.0,4.0,1,MIVI,1,MIVI,1,2025-04-21 10:30:25,,9,4
1841463512290487,1287838349290487,2024,54,2,33,3590.0,1.0,1,ROMU,1,ROMU,5,2025-04-21 10:30:25,,9,4
1841463513290487,1287838349290487,2024,54,2,33,3590.0,2.0,1,ROMU,1,ROMU,4,2025-04-21 10:30:25,,9,4
1841463514290487,1287838349290487,2024,54,2,33,3590.0,3.0,1,ROMU,1,ROMU,15,2025-04-21 10:30:25,,9,4
1841463515290487,1287838349290487,2024,54,2,33,3590.0,4.0,1,ROMU,1,ROMU,10,2025-04-21 10:30:25,,9,4
1841463516290487,1287838349290487,2024,54,2,33,3590.0,2.0,1,ROPS,1,ROPS,40,2025-04-21 10:30:25,,9,4
1841463936290487,1287838615290487,2024,54,4,35,1005.0,4.0,1,AIAL,1,AIAL,6,2025-04-21 10:30:26,,9,4
1841463937290487,1287838615290487,2024,54,4,35,1005.0,1.0,1,BEVU,1,BEVU,1,2025-04-21 10:30:26,,9,4
1841463938290487,1287838615290487,2024,54,4,35,1005.0,1.0,1,ELUM,1,ELUM,1,2025-04-21 10:30:26,,9,4
1841463939290487,1287838615290487,2024,54,4,35,1005.0,1.0,1,MIVI,1,MIVI,3,2025-04-21 10:30:26,,9,4
1841463940290487,1287838615290487,2024,54,4,35,1005.0,2.0,1,MIVI,1,MIVI,70,2025-04-21 10:30:26,,9,4
1841463941290487,1287838615290487,2024,54,4,35,1005.0,3.0,1,MIVI,1,MIVI,50,2025-04-21 10:30:26,,9,4
1841463942290487,1287838615290487,2024,54,4,35,1005.0,4.0,1,MIVI,1,MIVI,70,2025-04-21 10:30:26,,9,4
1841463943290487,1287838615290487,2024,54,4,35,1005.0,1.0,1,ROMU,1,ROMU,1,2025-04-21 10:30:26,,9,4
1841463944290487,1287838615290487,2024,54,4,35,1005.0,2.0,1,ROMU,1,ROMU,2,2025-04-21 10:30:26,,9,4
1841463945290487,1287838615290487,2024,54,4,35,1005.0,3.0,1,ROMU,1,ROMU,1,2025-04-21 10:30:26,,9,4
1841463946290487,1287838615290487,2024,54,4,35,1005.0,4.0,1,ROMU,1,ROMU,1,2025-04-21 10:30:26,,9,4
1841465165290487,1287838350290487,2024,54,3,81,2239.0,1.0,1,LONIC,1,LONIC,1,2025-04-21 10:30:29,,9,4
1841465166290487,1287838350290487,2024,54,3,81,2239.0,1.0,1,MIVI,1,MIVI,3,2025-04-21 10:30:29,,9,4
1841463686290487,1287838408290487,2024,54,3,25,1520.0,1.0,1,ROPS,1,ROPS,7,2025-04-21 10:30:25,,9,4
1841463687290487,1287838408290487,2024,54,3,25,1520.0,4.0,1,ROPS,1,ROPS,4,2025-04-21 10:30:25,,9,4
1841466354290487,1287838706290487,2024,54,2,27,48.0,1.0,1,MIVI,1,MIVI,80,2025-04-21 10:30:34,,9,4
1841466355290487,1287838706290487,2024,54,2,27,48.0,2.0,1,MIVI,1,MIVI,65,2025-04-21 10:30:34,,9,4
1841466356290487,1287838706290487,2024,54,2,27,48.0,3.0,1,MIVI,1,MIVI,11,2025-04-21 10:30:34,,9,4
1841466357290487,1287838706290487,2024,54,2,27,48.0,4.0,1,MIVI,1,MIVI,45,2025-04-21 10:30:34,,9,4
1841466358290487,1287838706290487,2024,54,2,27,48.0,3.0,1,ROMU,1,ROMU,2,2025-04-21 10:30:34,,9,4
1841466359290487,1287838706290487,2024,54,2,27,48.0,4.0,1,ROMU,1,ROMU,1,2025-04-21 10:30:34,,9,4
1841466360290487,1287838706290487,2024,54,2,27,48.0,1.0,1,ROPS,1,ROPS,3,2025-04-21 10:30:34,,9,4
1841466361290487,1287838706290487,2024,54,2,27,48.0,3.0,1,ROPS,1,ROPS,2,2025-04-21 10:30:34,,9,4
1841466345290487,1287838706290487,2024,54,2,27,48.0,1.0,1,AIAL,1,AIAL,1,2025-04-21 10:30:34,,9,4
1841466346290487,1287838706290487,2024,54,2,27,48.0,2.0,1,AIAL,1,AIAL,7,2025-04-21 10:30:34,,9,4
1841466347290487,1287838706290487,2024,54,2,27,48.0,1.0,1,ALPE4,1,ALPE4,2,2025-04-21 10:30:34,,9,4
1841466348290487,1287838706290487,2024,54,2,27,48.0,2.0,1,ALPE4,1,ALPE4,2,2025-04-21 10:30:34,,9,4
1841466349290487,1287838706290487,2024,54,2,27,48.0,3.0,1,ALPE4,1,ALPE4,1,2025-04-21 10:30:34,,9,4
1841466350290487,1287838706290487,2024,54,2,27,48.0,4.0,1,ALPE4,1,ALPE4,1,2025-04-21 10:30:34,,9,4
1841466351290487,1287838706290487,2024,54,2,27,48.0,2.0,1,BETH,1,BETH,3,2025-04-21 10:30:34,,9,4
1841466352290487,1287838706290487,2024,54,2,27,48.0,3.0,1,BETH,1,BETH,11,2025-04-21 10:30:34,,9,4
1841466353290487,1287838706290487,2024,54,2,27,48.0,4.0,1,BETH,1,BETH,2,2025-04-21 10:30:34,,9,4
1841464169290487,1287838351290487,2024,54,4,17,2157.0,1.0,1,BETH,1,BETH,1,2025-04-21 10:30:27,,9,4
1841464170290487,1287838351290487,2024,54,4,17,2157.0,2.0,1,BETH,1,BETH,20,2025-04-21 10:30:27,,9,4
