CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,COVER_PCT,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE
335180273489998,40422785010690,2014,56,1,39,85032.0,2.0,1,CIAR4,1,CIAR4,1,2015-06-03 11:12:04,,3,4
335181402489998,40422822010690,2014,56,1,39,82123.0,2.0,1,CIAR4,1,CIAR4,10,2015-06-03 11:12:12,,3,4
335181403489998,40422822010690,2014,56,1,39,82123.0,4.0,1,CIAR4,1,CIAR4,1,2015-06-03 11:12:12,,3,4
533378857126144,452870382489998,2014,56,3,11,77711.0,3.0,1,CAAC,1,CAAC,1,2018-04-25 15:00:31,,3,4
533378858126144,452870382489998,2014,56,3,11,77711.0,1.0,1,CIAR4,1,CIAR4,1,2018-04-25 15:00:31,,3,4
533378859126144,452870382489998,2014,56,3,11,77711.0,2.0,1,CIAR4,1,CIAR4,1,2018-04-25 15:00:31,,3,4
533378860126144,452870382489998,2014,56,3,11,77711.0,3.0,1,CIAR4,1,CIAR4,1,2018-04-25 15:00:31,,3,4
533378861126144,452870382489998,2014,56,3,11,77711.0,4.0,1,CIAR4,1,CIAR4,1,2018-04-25 15:00:31,,3,4
533378862126144,452870382489998,2014,56,3,11,77711.0,4.0,1,CYOF,1,CYOF,1,2018-04-25 15:00:31,,3,4
388941870489998,40417492010690,2015,56,2,7,87082.0,4.0,1,CIAR4,1,CIAR4,4,2016-06-01 09:36:00,,3,5
388940984489998,40417405010690,2015,56,2,7,81463.0,1.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:35:57,,3,5
388940985489998,40417405010690,2015,56,2,7,81463.0,2.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:35:57,,3,5
388940986489998,40417405010690,2015,56,2,7,81463.0,3.0,2,CIAR4,1,CIAR4,1,2016-06-01 09:35:57,,3,5
388940987489998,40417405010690,2015,56,2,7,81463.0,4.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:35:57,,3,5
388941240489998,40417428010690,2015,56,2,7,88450.0,2.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:35:58,,3,5
388946364489998,40419258010690,2015,56,2,19,87854.0,4.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:36:14,,3,5
388947026489998,40419674010690,2015,56,1,23,84275.0,1.0,1,CIAR4,1,CIAR4,10,2016-06-01 09:36:16,,3,5
388947143489998,40419679010690,2015,56,1,23,90507.0,4.0,1,CIAR4,1,CIAR4,5,2016-06-01 09:36:16,,3,5
388948695489998,40419930010690,2015,56,1,23,80383.0,2.0,1,CIAR4,1,CIAR4,3,2016-06-01 09:36:20,,3,5
657200067126144,40420584010690,2015,56,1,29,81828.0,4.0,1,CIAR4,1,CIAR4,1,2019-04-25 14:16:36,,3,5
388945664489998,40419003010690,2015,56,1,17,86953.0,2.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:36:12,,3,5
388955079489998,40421486010690,2015,56,1,35,83204.0,2.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:36:37,,3,5
533379391126144,452870386489998,2015,56,3,11,79382.0,4.0,1,CIAR4,1,CIAR4,1,2018-04-25 15:00:32,,3,5
533379258126144,452870385489998,2015,56,3,11,78351.0,1.0,1,CYOF,1,CYOF,1,2018-04-25 15:00:31,,3,5
533379115126144,452870384489998,2015,56,3,11,78175.0,1.0,1,CAAC,1,CAAC,1,2018-04-25 15:00:31,,3,5
533379116126144,452870384489998,2015,56,3,11,78175.0,2.0,1,CAAC,1,CAAC,1,2018-04-25 15:00:31,,3,5
388940583489998,40417303010690,2015,56,2,7,84705.0,2.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:35:55,,3,5
388951131489998,40420779010690,2015,56,1,29,81018.0,1.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:36:27,,3,5
388951132489998,40420779010690,2015,56,1,29,81018.0,3.0,1,CIAR4,1,CIAR4,1,2016-06-01 09:36:27,,3,5
