Distribution Data
Symbol,Country,State,State FIP,County,County FIP
MIHI2,United States,Alabama,01,,
MIHI2,United States,Alabama,01,Baldwin,003
MIHI2,United States,Florida,12,,
MIHI2,United States,Florida,12,Bay,005
MIHI2,United States,Florida,12,Calhoun,013
MIHI2,United States,Florida,12,Escambia,033
MIHI2,United States,Florida,12,Flagler,035
MIHI2,United States,Florida,12,Leon,073
MIHI2,United States,Florida,12,Levy,075
MIHI2,United States,Florida,12,Marion,083
MIHI2,United States,Florida,12,Martin,085
MIHI2,United States,Florida,12,Okaloosa,091
MIHI2,United States,Florida,12,Santa Rosa,113
MIHI2,United States,Florida,12,Wakulla,129
MIHI2,United States,Georgia,13,,
MIHI2,United States,Georgia,13,Charlton,049
MIHI2,United States,Georgia,13,Decatur,087
MIHI2,United States,Hawaii,15,,
MIHI2,United States,Hawaii,15,Hawaii,001
MIHI2,United States,Louisiana,22,,
MIHI2,United States,Louisiana,22,St. Helena,091
MIHI2,United States,Louisiana,22,St. Tammany,103
MIHI2,United States,Louisiana,22,Tangipahoa,105
MIHI2,United States,Louisiana,22,Washington,117
MIHI2,United States,Mississippi,28,,
MIHI2,United States,Texas,48,,
MIHI2,United States,Texas,48,Brazos,041
MIHI2,United States,Texas,48,Cameron,061
MIHI2,United States,Puerto Rico,72,,
