Distribution Data
Symbol,Country,State,State FIP,County,County FIP
NEOL,United States,Alabama,01,,
NEOL,United States,Alabama,01,Baldwin,003
NEOL,United States,Alabama,01,Chilton,021
NEOL,United States,Alabama,01,Lee,081
NEOL,United States,Alabama,01,Mobile,097
NEOL,United States,Alabama,01,Russell,113
NEOL,United States,Alabama,01,Tuscaloosa,125
NEOL,United States,Arizona,04,,
NEOL,United States,Arizona,04,Maricopa,013
NEOL,United States,California,06,,
NEOL,United States,California,06,Contra Costa,013
NEOL,United States,California,06,Los Angeles,037
NEOL,United States,California,06,Riverside,065
NEOL,United States,California,06,San Bernardino,071
NEOL,United States,California,06,Shasta,089
NEOL,United States,Florida,12,,
NEOL,United States,Florida,12,Brevard,009
NEOL,United States,Florida,12,Collier,021
NEOL,United States,Florida,12,Duval,031
NEOL,United States,Florida,12,Franklin,037
NEOL,United States,Florida,12,Lee,071
NEOL,United States,Florida,12,Miami-Dade,086
NEOL,United States,Florida,12,Monroe,087
NEOL,United States,Florida,12,Orange,095
NEOL,United States,Florida,12,Polk,105
NEOL,United States,Georgia,13,,
NEOL,United States,Louisiana,22,,
NEOL,United States,Louisiana,22,Caldwell,021
NEOL,United States,Louisiana,22,Cameron,023
NEOL,United States,Louisiana,22,East Baton Rouge,033
NEOL,United States,Louisiana,22,Iberia,045
NEOL,United States,Louisiana,22,Jefferson,051
NEOL,United States,Louisiana,22,Lafayette,055
NEOL,United States,Louisiana,22,Lafourche,057
NEOL,United States,Louisiana,22,LaSalle,059
NEOL,United States,Louisiana,22,Lincoln,061
NEOL,United States,Louisiana,22,Orleans,071
NEOL,United States,Louisiana,22,Ouachita,073
NEOL,United States,Louisiana,22,St. Charles,089
NEOL,United States,Louisiana,22,St. James,093
NEOL,United States,Louisiana,22,St. Tammany,103
NEOL,United States,Louisiana,22,Tangipahoa,105
NEOL,United States,Louisiana,22,Terrebonne,109
NEOL,United States,Louisiana,22,Webster,119
NEOL,United States,Mississippi,28,,
NEOL,United States,Mississippi,28,Forrest,035
NEOL,United States,North Carolina,37,,
NEOL,United States,South Carolina,45,,
NEOL,United States,Texas,48,,
NEOL,United States,Texas,48,Bexar,029
NEOL,United States,Texas,48,Brazos,041
NEOL,United States,Texas,48,Galveston,167
NEOL,United States,Texas,48,Harris,201
NEOL,United States,Texas,48,Hays,209
NEOL,United States,Texas,48,Nueces,355
NEOL,United States,Texas,48,Starr,427
NEOL,United States,Texas,48,Travis,453
NEOL,United States,Utah,49,,
NEOL,United States,Utah,49,Washington,053
NEOL,United States,Guam,66,,
NEOL,United States,Palau,70,,
NEOL,United States,Palau,70,Koror,150
NEOL,United States,Puerto Rico,72,,
NEOL,United States,U.S. Minor Outlying Islands,74,,
NEOL,United States,U.S. Minor Outlying Islands,74,Midway Islands,300
NEOL,United States,Virgin Islands,78,,
