Distribution Data
Symbol,Country,State,State FIP,County,County FIP
URPL,United States,Alabama,01,,
URPL,United States,Alabama,01,Baldwin,003
URPL,United States,Alabama,01,Butler,013
URPL,United States,Alabama,01,Coffee,031
URPL,United States,Alabama,01,Crenshaw,041
URPL,United States,Alabama,01,Geneva,061
URPL,United States,Alabama,01,Houston,069
URPL,United States,Arkansas,05,,
URPL,United States,Florida,12,,
URPL,United States,Florida,12,Broward,011
URPL,United States,Florida,12,Escambia,033
URPL,United States,Florida,12,Gadsden,039
URPL,United States,Florida,12,Highlands,055
URPL,United States,Florida,12,Hillsborough,057
URPL,United States,Florida,12,Leon,073
URPL,United States,Florida,12,Manatee,081
URPL,United States,Florida,12,Miami-Dade,086
URPL,United States,Florida,12,Palm Beach,099
URPL,United States,Georgia,13,,
URPL,United States,Georgia,13,Sumter,261
URPL,United States,Georgia,13,Thomas,275
URPL,United States,Hawaii,15,,
URPL,United States,Louisiana,22,,
URPL,United States,Louisiana,22,Lafourche,057
URPL,United States,Louisiana,22,St. Charles,089
URPL,United States,Louisiana,22,St. John the Baptist,095
URPL,United States,Maryland,24,,
URPL,United States,Mississippi,28,,
URPL,United States,New Jersey,34,,
URPL,United States,Pennsylvania,42,,
URPL,United States,South Carolina,45,,
URPL,United States,Texas,48,,
URPL,United States,Texas,48,Galveston,167
URPL,United States,Puerto Rico,72,,
